scenario,epoch_s,single_residual,two_residual,bic_improvement,second_delay_chip,second_doppler_hz,amplitude_ratio,boundary,physical_evidence_status
cleanStatic,30.0,1.2201193291917606e-25,3.193234064178418e-26,-10.462217233618503,-0.625,-50.0,8.315628421726367e-17,False,NOT_INTERPRETABLE_UNVERIFIED_CENTER
cleanStatic,60.0,11742.573353362472,9359.228421113035,31.960253501960096,0.75,0.0,0.3816621618811591,False,NOT_INTERPRETABLE_UNVERIFIED_CENTER
cleanStatic,80.0,21727.126090952755,12709.94319314692,89.8028657643872,0.625,0.0,0.4202977335496905,False,NOT_INTERPRETABLE_UNVERIFIED_CENTER
cleanStatic,100.0,36081.614318076776,24712.790548461617,60.310268650746025,1.0,0.0,0.38518054662261925,True,NOT_INTERPRETABLE_UNVERIFIED_CENTER
ds1,10.0,6827.549035715887,5567.783569321282,27.679930527448164,-0.125,0.0,0.3440450133020234,False,NOT_INTERPRETABLE_UNVERIFIED_CENTER
ds1,60.0,4362.600475057587,3446.4186027135834,33.61980011720334,0.875,0.0,0.6659566636562916,False,NOT_INTERPRETABLE_UNVERIFIED_CENTER
ds1,123.0,6166.243535910285,4424.113841679336,51.62549071939384,0.75,0.0,0.4072173107526489,False,NOT_INTERPRETABLE_UNVERIFIED_CENTER
ds1,127.0,107.25475064302174,82.67354528037094,38.21522707095981,-1.0,0.0,0.5667808846882194,True,NOT_INTERPRETABLE_UNVERIFIED_CENTER
ds2,10.0,6918.835704673359,5809.570115105774,22.214336132692097,-0.625,0.0,0.7077965366885045,False,NOT_INTERPRETABLE_UNVERIFIED_CENTER
ds2,60.0,2149.198381475082,1551.9376835032233,50.423235852829976,-1.0,0.0,0.443241281899687,True,NOT_INTERPRETABLE_UNVERIFIED_CENTER
ds2,108.1,8279.58722370924,6581.680555900472,32.45484350185711,0.375,0.0,0.35155106096650107,False,NOT_INTERPRETABLE_UNVERIFIED_CENTER
ds2,112.1,23010.38303697721,18651.952170322063,28.806798366299745,0.625,0.0,0.410026519733341,False,NOT_INTERPRETABLE_UNVERIFIED_CENTER
ds3,10.0,3828.6612991975785,2698.8204707073187,54.93175700529548,1.0,0.0,0.5835684313005409,True,NOT_INTERPRETABLE_UNVERIFIED_CENTER
ds3,60.0,2350.4702100429886,2008.3353510414893,18.954603567366007,0.875,0.0,0.18892863332290608,False,NOT_INTERPRETABLE_UNVERIFIED_CENTER
ds3,116.9,7036.2645452729985,5826.72795268304,24.810064094775726,-0.125,0.0,0.28305897164704114,False,NOT_INTERPRETABLE_UNVERIFIED_CENTER
ds3,120.9,9118.158718696262,7155.542299894245,34.86297096410499,0.875,0.0,0.7779077748232601,False,NOT_INTERPRETABLE_UNVERIFIED_CENTER
ds4,10.0,4490.090743374076,3687.0884396754427,26.383478450506004,0.625,0.0,0.19527849520525561,False,NOT_INTERPRETABLE_UNVERIFIED_CENTER
ds4,60.0,9754.378575295525,8047.932154018068,25.498085790697246,-1.0,0.0,0.23670567174097137,True,NOT_INTERPRETABLE_UNVERIFIED_CENTER
ds4,111.8,4471.9978971528335,3054.8378627386264,60.80511848626463,-1.0,0.0,0.3420012769642035,True,NOT_INTERPRETABLE_UNVERIFIED_CENTER
ds4,115.8,17611.935379669285,11776.17537022819,64.80497697083808,-1.0,0.0,0.7552248041217562,True,NOT_INTERPRETABLE_UNVERIFIED_CENTER
ds7,10.0,63728.03262809677,47177.94774667584,45.76830199137498,1.0,0.0,0.29722846813602444,True,NOT_INTERPRETABLE_UNVERIFIED_CENTER
ds7,60.0,11742.573353362472,9359.228421113035,31.960253501960096,0.75,0.0,0.3816621618811591,False,NOT_INTERPRETABLE_UNVERIFIED_CENTER
ds7,108.0,44796.56547040332,32592.98892381647,49.01019150285549,-1.0,0.0,0.4436677654413378,True,NOT_INTERPRETABLE_UNVERIFIED_CENTER
ds7,112.0,26020.502014046568,17651.3905443867,62.106910470958496,1.0,0.0,0.3368629588231677,True,NOT_INTERPRETABLE_UNVERIFIED_CENTER
ds8,10.0,63728.03262809677,47177.94774667584,45.76830199137498,1.0,0.0,0.29722846813602444,True,NOT_INTERPRETABLE_UNVERIFIED_CENTER
ds8,60.0,11742.573353362472,9359.228421113035,31.960253501960096,0.75,0.0,0.3816621618811591,False,NOT_INTERPRETABLE_UNVERIFIED_CENTER
ds8,108.0,44796.56547040332,32592.98892381647,49.01019150285549,-1.0,0.0,0.4436677654413378,True,NOT_INTERPRETABLE_UNVERIFIED_CENTER
ds8,112.0,27913.81874462302,18612.10200942969,65.33072413769287,-1.0,0.0,0.3907101958951605,True,NOT_INTERPRETABLE_UNVERIFIED_CENTER
