bic_improvement,grid_boundary,prn,requested_time_s,scenario,second_amplitude_ratio,second_delay_chip,second_doppler_hz,single_residual,status,tracker_time_s,two_residual
,,13,30.0,cleanStatic,,,,,OK,30.0006986,
,,13,30.5,cleanStatic,,,,,OK,30.500698,
,,13,31.0,cleanStatic,,,,,OK,31.00069744,
,,13,31.5,cleanStatic,,,,,OK,31.50069684,
,,13,32.0,cleanStatic,,,,,OK,32.00069628,
,,13,32.5,cleanStatic,,,,,OK,32.50069568,
,,13,33.0,cleanStatic,,,,,OK,33.00069512,
,,13,33.5,cleanStatic,,,,,OK,33.50069452,
,,13,34.0,cleanStatic,,,,,OK,34.00069396,
,,13,34.5,cleanStatic,,,,,OK,34.50069336,
,,13,35.0,cleanStatic,,,,,OK,35.00069276,
,,13,35.5,cleanStatic,,,,,OK,35.5006922,
,,13,36.0,cleanStatic,,,,,OK,36.0006916,
,,13,36.5,cleanStatic,,,,,OK,36.50069104,
,,13,37.0,cleanStatic,,,,,OK,37.00069044,
,,13,37.5,cleanStatic,,,,,OK,37.50068988,
,,13,38.0,cleanStatic,,,,,OK,38.00068928,
,,13,38.5,cleanStatic,,,,,OK,38.50068872,
,,13,39.0,cleanStatic,,,,,OK,39.00068812,
,,13,39.5,cleanStatic,,,,,OK,39.50068756,
,,13,40.0,cleanStatic,,,,,OK,40.00068696,
,,13,40.5,cleanStatic,,,,,OK,40.5006864,
,,13,41.0,cleanStatic,,,,,OK,41.0006858,
,,13,41.5,cleanStatic,,,,,OK,41.5006852,
,,13,42.0,cleanStatic,,,,,OK,42.00068464,
,,13,42.5,cleanStatic,,,,,OK,42.50068404,
,,13,43.0,cleanStatic,,,,,OK,43.00068348,
,,13,43.5,cleanStatic,,,,,OK,43.50068288,
,,13,44.0,cleanStatic,,,,,OK,44.00068232,
,,13,44.5,cleanStatic,,,,,OK,44.50068172,
,,13,45.0,cleanStatic,,,,,OK,45.00068116,
,,13,45.5,cleanStatic,,,,,OK,45.50068056,
,,13,46.0,cleanStatic,,,,,OK,46.00068,
,,13,46.5,cleanStatic,,,,,OK,46.5006794,
,,13,47.0,cleanStatic,,,,,OK,47.00067884,
,,13,47.5,cleanStatic,,,,,OK,47.50067824,
,,13,48.0,cleanStatic,,,,,OK,48.00067768,
,,13,48.5,cleanStatic,,,,,OK,48.50067708,
,,13,49.0,cleanStatic,,,,,OK,49.00067652,
,,13,49.5,cleanStatic,,,,,OK,49.50067596,
,,13,50.0,cleanStatic,,,,,OK,50.00067536,
,,13,50.5,cleanStatic,,,,,OK,50.5006748,
,,13,51.0,cleanStatic,,,,,OK,51.0006742,
,,13,51.5,cleanStatic,,,,,OK,51.50067364,
,,13,52.0,cleanStatic,,,,,OK,52.00067304,
,,13,52.5,cleanStatic,,,,,OK,52.50067248,
,,13,53.0,cleanStatic,,,,,OK,53.00067188,
,,13,53.5,cleanStatic,,,,,OK,53.50067132,
,,13,54.0,cleanStatic,,,,,OK,54.00067072,
,,13,54.5,cleanStatic,,,,,OK,54.50067016,
,,13,55.0,cleanStatic,,,,,OK,55.00066956,
,,13,55.5,cleanStatic,,,,,OK,55.500669,
,,13,56.0,cleanStatic,,,,,OK,56.0006684,
,,13,56.5,cleanStatic,,,,,OK,56.50066784,
,,13,57.0,cleanStatic,,,,,OK,57.00066724,
,,13,57.5,cleanStatic,,,,,OK,57.50066668,
,,13,58.0,cleanStatic,,,,,OK,58.00066608,
,,13,58.5,cleanStatic,,,,,OK,58.50066552,
,,13,59.0,cleanStatic,,,,,OK,59.00066496,
,,13,59.5,cleanStatic,,,,,OK,59.50066436,
,,13,60.0,cleanStatic,,,,,OK,60.0006638,
,,13,60.5,cleanStatic,,,,,OK,60.5006632,
,,13,61.0,cleanStatic,,,,,OK,61.00066264,
,,13,61.5,cleanStatic,,,,,OK,61.50066204,
,,13,62.0,cleanStatic,,,,,OK,62.00066148,
,,13,62.5,cleanStatic,,,,,OK,62.50066088,
,,13,63.0,cleanStatic,,,,,OK,63.00066032,
,,13,63.5,cleanStatic,,,,,OK,63.50065976,
,,13,64.0,cleanStatic,,,,,OK,64.00065916,
,,13,64.5,cleanStatic,,,,,OK,64.5006586,
,,13,65.0,cleanStatic,,,,,OK,65.000658,
,,13,65.5,cleanStatic,,,,,OK,65.50065744,
,,13,66.0,cleanStatic,,,,,OK,66.00065684,
,,13,66.5,cleanStatic,,,,,OK,66.50065628,
,,13,67.0,cleanStatic,,,,,OK,67.00065572,
,,13,67.5,cleanStatic,,,,,OK,67.50065512,
,,13,68.0,cleanStatic,,,,,OK,68.00065456,
,,13,68.5,cleanStatic,,,,,OK,68.50065396,
,,13,69.0,cleanStatic,,,,,OK,69.0006534,
,,13,69.5,cleanStatic,,,,,OK,69.50065284,
,,13,70.0,cleanStatic,,,,,OK,70.00065224,
,,13,70.5,cleanStatic,,,,,OK,70.50065168,
,,13,71.0,cleanStatic,,,,,OK,71.00065108,
,,13,71.5,cleanStatic,,,,,OK,71.50065052,
,,13,72.0,cleanStatic,,,,,OK,72.00064996,
,,13,72.5,cleanStatic,,,,,OK,72.50064936,
,,13,73.0,cleanStatic,,,,,OK,73.0006488,
,,13,73.5,cleanStatic,,,,,OK,73.5006482,
,,13,74.0,cleanStatic,,,,,OK,74.00064764,
,,13,74.5,cleanStatic,,,,,OK,74.50064708,
,,13,75.0,cleanStatic,,,,,OK,75.00064648,
,,13,75.5,cleanStatic,,,,,OK,75.50064592,
,,13,76.0,cleanStatic,,,,,OK,76.00064536,
,,13,76.5,cleanStatic,,,,,OK,76.50064476,
,,13,77.0,cleanStatic,,,,,OK,77.0006442,
,,13,77.5,cleanStatic,,,,,OK,77.5006436,
,,13,78.0,cleanStatic,,,,,OK,78.00064304,
,,13,78.5,cleanStatic,,,,,OK,78.50064248,
,,13,79.0,cleanStatic,,,,,OK,79.00064188,
,,13,79.5,cleanStatic,,,,,OK,79.50064132,
,,13,80.0,cleanStatic,,,,,OK,80.00064072,
,,13,80.5,cleanStatic,,,,,OK,80.50064016,
,,13,81.0,cleanStatic,,,,,OK,81.0006396,
,,13,81.5,cleanStatic,,,,,OK,81.500639,
,,13,82.0,cleanStatic,,,,,OK,82.00063844,
,,13,82.5,cleanStatic,,,,,OK,82.50063788,
,,13,83.0,cleanStatic,,,,,OK,83.00063728,
,,13,83.5,cleanStatic,,,,,OK,83.50063672,
,,13,84.0,cleanStatic,,,,,OK,84.00063616,
,,13,84.5,cleanStatic,,,,,OK,84.50063556,
,,3,95.0,ds1,,,,,OK,94.99906528,
,,3,100.0,ds1,,,,,OK,99.999063,
,,3,105.0,ds1,,,,,OK,104.99906076,
,,3,110.0,ds1,,,,,OK,109.99905848,
,,3,115.0,ds1,,,,,OK,114.99905624,
,,3,120.0,ds1,,,,,OK,119.99905404,
,,3,125.0,ds1,,,,,OK,124.9990518,
,,3,127.0,ds1,,,,,OK,126.99905092,
,,3,129.0,ds1,,,,,OK,128.99905004,
,,3,131.0,ds1,,,,,OK,130.99904912,
