boundary_fraction,candidate,exact_center_fraction,median_prn_spearman,n,pooled_spearman,prn_count,within_tolerance_fraction
0.74625,prev_to_cur_aux_previous_rem_-1_carrier_-1_replica_+1,0.00375,-0.02552467385138968,800,-0.01893663896349838,19,0.0175
0.71875,prev_to_cur_aux_previous_rem_-1_carrier_+1_replica_+1,0.0025,0.053561299732598655,800,0.045453938209278455,19,0.015
0.74625,prev_to_cur_aux_previous_rem_+1_carrier_-1_replica_+1,0.00375,-0.02552467385138968,800,-0.01893663896349838,19,0.0175
0.71875,prev_to_cur_aux_previous_rem_+1_carrier_+1_replica_+1,0.0025,0.053561299732598655,800,0.045453938209278455,19,0.015
0.74625,prev_to_cur_aux_current_rem_-1_carrier_-1_replica_+1,0.00375,-0.02552467385138968,800,-0.01893663896349838,19,0.0175
0.71875,prev_to_cur_aux_current_rem_-1_carrier_+1_replica_+1,0.0025,0.053561299732598655,800,0.045453938209278455,19,0.015
0.74625,prev_to_cur_aux_current_rem_+1_carrier_-1_replica_+1,0.00375,-0.02552467385138968,800,-0.01893663896349838,19,0.0175
0.71875,prev_to_cur_aux_current_rem_+1_carrier_+1_replica_+1,0.0025,0.053561299732598655,800,0.045453938209278455,19,0.015
0.74625,prev_to_cur_aux_next_rem_-1_carrier_-1_replica_+1,0.00375,-0.02552467385138968,800,-0.01893663896349838,19,0.0175
0.71875,prev_to_cur_aux_next_rem_-1_carrier_+1_replica_+1,0.0025,0.053561299732598655,800,0.045453938209278455,19,0.015
0.74625,prev_to_cur_aux_next_rem_+1_carrier_-1_replica_+1,0.00375,-0.02552467385138968,800,-0.01893663896349838,19,0.0175
0.71875,prev_to_cur_aux_next_rem_+1_carrier_+1_replica_+1,0.0025,0.053561299732598655,800,0.045453938209278455,19,0.015
0.74875,cur_to_next_aux_previous_rem_-1_carrier_-1_replica_+1,0.00125,-0.06522972206466252,800,-0.04364669319795812,19,0.01625
0.71125,cur_to_next_aux_previous_rem_-1_carrier_+1_replica_+1,0.00375,0.0556680982092213,800,0.04409217045651634,19,0.01625
0.74875,cur_to_next_aux_previous_rem_+1_carrier_-1_replica_+1,0.00125,-0.06522972206466252,800,-0.04364669319795812,19,0.01625
0.71125,cur_to_next_aux_previous_rem_+1_carrier_+1_replica_+1,0.00375,0.0556680982092213,800,0.04409217045651634,19,0.01625
0.74875,cur_to_next_aux_current_rem_-1_carrier_-1_replica_+1,0.00125,-0.06522972206466252,800,-0.04364669319795812,19,0.01625
0.71125,cur_to_next_aux_current_rem_-1_carrier_+1_replica_+1,0.00375,0.0556680982092213,800,0.04409217045651634,19,0.01625
0.74875,cur_to_next_aux_current_rem_+1_carrier_-1_replica_+1,0.00125,-0.06522972206466252,800,-0.04364669319795812,19,0.01625
0.71125,cur_to_next_aux_current_rem_+1_carrier_+1_replica_+1,0.00375,0.0556680982092213,800,0.04409217045651634,19,0.01625
0.74875,cur_to_next_aux_next_rem_-1_carrier_-1_replica_+1,0.00125,-0.06522972206466252,800,-0.04364669319795812,19,0.01625
0.71125,cur_to_next_aux_next_rem_-1_carrier_+1_replica_+1,0.00375,0.0556680982092213,800,0.04409217045651634,19,0.01625
0.74875,cur_to_next_aux_next_rem_+1_carrier_-1_replica_+1,0.00125,-0.06522972206466252,800,-0.04364669319795812,19,0.01625
0.71125,cur_to_next_aux_next_rem_+1_carrier_+1_replica_+1,0.00375,0.0556680982092213,800,0.04409217045651634,19,0.01625
