channel,cur_to_next_samples,next_sample_count,prev_to_cur_samples,previous_sample_count,prn,role,sample_count,tracker_row
epl_tracking_ch_6,25000,1056439,25000,1006439,7,train,1031439,1
epl_tracking_ch_2,25000,1064232,25000,1014232,3,train,1039232,1
epl_tracking_ch_5,25000,1066044,25000,1016044,6,train,1041044,1
epl_tracking_ch_6,25000,1081439,25000,1031439,7,train,1056439,2
epl_tracking_ch_2,25000,1089232,25000,1039232,3,train,1064232,2
epl_tracking_ch_5,25000,1091044,25000,1041044,6,train,1066044,2
epl_tracking_ch_6,25000,1106439,25000,1056439,7,train,1081439,3
epl_tracking_ch_2,25000,1114232,25000,1064232,3,train,1089232,3
epl_tracking_ch_5,25000,1116044,25000,1066044,6,train,1091044,3
epl_tracking_ch_6,25000,1131439,25000,1081439,7,train,1106439,4
epl_tracking_ch_2,25000,1139232,25000,1089232,3,train,1114232,4
epl_tracking_ch_5,25000,1141044,25000,1091044,6,train,1116044,4
epl_tracking_ch_6,25000,1156439,25000,1106439,7,train,1131439,5
epl_tracking_ch_2,25000,1164232,25000,1114232,3,train,1139232,5
epl_tracking_ch_5,25000,1166044,25000,1116044,6,train,1141044,5
epl_tracking_ch_6,25000,1181439,25000,1131439,7,train,1156439,6
epl_tracking_ch_2,25000,1189232,25000,1139232,3,train,1164232,6
epl_tracking_ch_5,25000,1191044,25000,1141044,6,train,1166044,6
epl_tracking_ch_6,25000,1206439,25000,1156439,7,train,1181439,7
epl_tracking_ch_2,25000,1214232,25000,1164232,3,train,1189232,7
epl_tracking_ch_5,25000,1216044,25000,1166044,6,train,1191044,7
epl_tracking_ch_6,25000,1231439,25000,1181439,7,train,1206439,8
epl_tracking_ch_2,25000,1239232,25000,1189232,3,train,1214232,8
epl_tracking_ch_5,25000,1241044,25000,1191044,6,train,1216044,8
epl_tracking_ch_6,25000,1256439,25000,1206439,7,train,1231439,9
epl_tracking_ch_2,25000,1264232,25000,1214232,3,train,1239232,9
epl_tracking_ch_5,25000,1266044,25000,1216044,6,train,1241044,9
epl_tracking_ch_6,25000,1281439,25000,1231439,7,train,1256439,10
epl_tracking_ch_2,25000,1289232,25000,1239232,3,train,1264232,10
epl_tracking_ch_5,25000,1291044,25000,1241044,6,train,1266044,10
epl_tracking_ch_6,25000,1306439,25000,1256439,7,train,1281439,11
epl_tracking_ch_2,25000,1314232,25000,1264232,3,train,1289232,11
epl_tracking_ch_5,25000,1316044,25000,1266044,6,train,1291044,11
epl_tracking_ch_6,25000,1331439,25000,1281439,7,train,1306439,12
epl_tracking_ch_2,25000,1339232,25000,1289232,3,train,1314232,12
epl_tracking_ch_5,25000,1341044,25000,1291044,6,train,1316044,12
epl_tracking_ch_6,25000,1356439,25000,1306439,7,train,1331439,13
epl_tracking_ch_2,25000,1364232,25000,1314232,3,train,1339232,13
epl_tracking_ch_5,25000,1366044,25000,1316044,6,train,1341044,13
epl_tracking_ch_6,25000,1381439,25000,1331439,7,train,1356439,14
epl_tracking_ch_2,25000,1389232,25000,1339232,3,train,1364232,14
epl_tracking_ch_5,25000,1391044,25000,1341044,6,train,1366044,14
epl_tracking_ch_6,25000,1406439,25000,1356439,7,train,1381439,15
epl_tracking_ch_2,25000,1414232,25000,1364232,3,train,1389232,15
epl_tracking_ch_5,25000,1416044,25000,1366044,6,train,1391044,15
epl_tracking_ch_6,25000,1431439,25000,1381439,7,train,1406439,16
epl_tracking_ch_2,25000,1439232,25000,1389232,3,train,1414232,16
epl_tracking_ch_5,25000,1441044,25000,1391044,6,train,1416044,16
epl_tracking_ch_6,25000,1456439,25000,1406439,7,train,1431439,17
epl_tracking_ch_2,25000,1464232,25000,1414232,3,train,1439232,17
epl_tracking_ch_5,25000,1466044,25000,1416044,6,train,1441044,17
epl_tracking_ch_6,25000,1481439,25000,1431439,7,train,1456439,18
epl_tracking_ch_2,25000,1489232,25000,1439232,3,train,1464232,18
epl_tracking_ch_5,25000,1491044,25000,1441044,6,train,1466044,18
epl_tracking_ch_6,25000,1506439,25000,1456439,7,train,1481439,19
epl_tracking_ch_2,25000,1514232,25000,1464232,3,train,1489232,19
