prn,input_int,input_gxx,int_gxx_exact,length,alphabet,alphabet_exact,cyclic_zero_shift,cyclic_max_nonzero_shift,cyclic_nonzero_equal_1023_count,zero_shift_peak_exact,nonzero_no_1023_peak,code_sha256,status
1,1,G01,True,1023,"-1,1",True,1023,63,0,True,True,b201d6e762aac9d6ca916158d4770a38006236cf07cd67842773eed6cdf4b026,PASS
2,2,G02,True,1023,"-1,1",True,1023,63,0,True,True,5b0803d6f13a8fe6752aab5fe4bea62d4bee6e9ef06ab333a347868b7a1c31a1,PASS
3,3,G03,True,1023,"-1,1",True,1023,63,0,True,True,a8392ee3eab65918d9f24ae908570b67a47d0ee9544f25e95751f9d85089fc97,PASS
4,4,G04,True,1023,"-1,1",True,1023,63,0,True,True,31df08f2c6cc0baab236f28f4a321c16071bb62aab105cf28a3a6fa26a07995e,PASS
5,5,G05,True,1023,"-1,1",True,1023,63,0,True,True,f740bfe8dd15258a68a0f40d1b746cf18bb4f4b58a54d28c01c8df9747384397,PASS
6,6,G06,True,1023,"-1,1",True,1023,63,0,True,True,e3ee9acc97ee32bafc9fa201829d1c3210d020e55687c4d86324dee391191751,PASS
7,7,G07,True,1023,"-1,1",True,1023,63,0,True,True,17052287f4b9fc1057ae086d2ababa880d648373d9d1be933cdde379f0e4d8d5,PASS
8,8,G08,True,1023,"-1,1",True,1023,63,0,True,True,79c249dbc34a2ce4a14518d7010b2ef4cd73b2140d9d47af9935270d4ee13e95,PASS
9,9,G09,True,1023,"-1,1",True,1023,63,0,True,True,3cc7c860323f9a3c22355271a139d3f810dfdc8d1b062f2a90b43e65f0ac283e,PASS
10,10,G10,True,1023,"-1,1",True,1023,63,0,True,True,07b10022863e4a04052d031e0d3ec3f1d3dc977b0a19c580a47e5d0965e20392,PASS
11,11,G11,True,1023,"-1,1",True,1023,63,0,True,True,7e6c944e9e65e6ab1844360397153bbd6b18bf2708949b2c1d252414e2dec163,PASS
12,12,G12,True,1023,"-1,1",True,1023,63,0,True,True,fd6b58a8eae833bd3b7e0866040876d0c63ca1d97648645ceacf0e21a5a30ad2,PASS
13,13,G13,True,1023,"-1,1",True,1023,63,0,True,True,08314d3867c93c89aa95ddf59251149e93158c9d3b6af1b20382b346b758dbe4,PASS
14,14,G14,True,1023,"-1,1",True,1023,63,0,True,True,05337adfa24a8321e7bbe88d03f6f19ed1b91f93efd60308b84a8a999cfc32cc,PASS
15,15,G15,True,1023,"-1,1",True,1023,63,0,True,True,c15045cb04907b2fd826ec8dfab8fdff5a07a9b63150ef41df81dbb70dda4a38,PASS
16,16,G16,True,1023,"-1,1",True,1023,63,0,True,True,fcab89e21e43c3bdb3f432f784a449762b8ac84cb08f2751176b4824d783b985,PASS
17,17,G17,True,1023,"-1,1",True,1023,63,0,True,True,69ec1ec61c5f59ab45890b0a586228d74618261b957034e38568102230c1f468,PASS
18,18,G18,True,1023,"-1,1",True,1023,63,0,True,True,b703b5a570f435583fd04f3ded6ec8a9c5848d6f10e876df314f55f16e83d52a,PASS
19,19,G19,True,1023,"-1,1",True,1023,63,0,True,True,c57e33ff6d2ce4859738653e10fbc2ccb4dfeb0d32288422aa720c770282f8e8,PASS
20,20,G20,True,1023,"-1,1",True,1023,63,0,True,True,c0c83c190df7392df1a4ca4ef5aa75309f7c8da9dd89c738ee6052ba46f901f8,PASS
21,21,G21,True,1023,"-1,1",True,1023,63,0,True,True,b64c4014d3ae28d5e8054d170b95ef0ebdaa2d1de58fcadc53fa39ace8656ec9,PASS
22,22,G22,True,1023,"-1,1",True,1023,63,0,True,True,8a19678949062926ae2b6734f89781bbda0b0114f79198336d45f26bc7990ae4,PASS
23,23,G23,True,1023,"-1,1",True,1023,63,0,True,True,44dbb99a328f0fd1e589b7a34205240155fee6d9e314780a66c463115f8f5616,PASS
24,24,G24,True,1023,"-1,1",True,1023,63,0,True,True,968a9181d2905e60fae3e501374e859f250269321b24074168c5b97b50d47cdb,PASS
25,25,G25,True,1023,"-1,1",True,1023,63,0,True,True,07448c55fb9c00add4479397bf22e4454d6c261b34f87e58ab42887c2103671b,PASS
26,26,G26,True,1023,"-1,1",True,1023,63,0,True,True,10267abb4c2687baa138a1cd4387b53bc3604a38203dbcc711fccc673a931c61,PASS
27,27,G27,True,1023,"-1,1",True,1023,63,0,True,True,bf2c63da592971aa695f50c6db9d12cff3ae0b3e443acedf256c2c40bff3da57,PASS
28,28,G28,True,1023,"-1,1",True,1023,63,0,True,True,fc516c942d6a725b983033f4c81885530c01a111c5fd39c7d0fe26bf27a20499,PASS
29,29,G29,True,1023,"-1,1",True,1023,63,0,True,True,b5cdf2dde3e8c06e872de55cbe6880cd93233029c71c3ee2e7ed2765601c0cd2,PASS
30,30,G30,True,1023,"-1,1",True,1023,63,0,True,True,0128f534a2e5e05718ec0165bd7b4feafab5bc725fc4d690b04435a6b80d9dda,PASS
31,31,G31,True,1023,"-1,1",True,1023,63,0,True,True,d95cda0d4b3ffbb50d4ef9604cb7fc7a1f332df82f4e11953c5a820ad8eed1c1,PASS
32,32,G32,True,1023,"-1,1",True,1023,63,0,True,True,0447f1c8818d49e0609c5676dfce374e4fe240bac1c213e656b90c460820c63d,PASS
