prompt_semantics,prompt_offset,state_shift,channel,prn,prompt_mat_row,state_mat_row,support_start_sample,mat_prompt_magnitude,reconstructed_center_magnitude,relative_error
current,0,-1,2,3,22,20,1539232,5781185.289933557,5597524.647513577,0.03176868292731905
current,0,0,2,3,22,21,1564232,5781185.289933557,5781171.579747814,2.3715181325378865e-06
current,0,1,2,3,22,22,1589232,5781185.289933557,6614358.943848562,0.14411813704808307
next,1,-1,2,3,23,20,1539232,6623489.193806182,5597524.647513577,0.15489789690485412
next,1,0,2,3,23,21,1564232,6623489.193806182,5781171.579747814,0.1271712822972586
next,1,1,2,3,23,22,1589232,6623489.193806182,6614358.943848562,0.0013784652907952166
current,0,-1,0,16,22,20,2580084,5234707.1726419,5304867.119522614,0.013402840802135163
current,0,0,0,16,22,21,2605084,5234707.1726419,5234708.737146358,2.988714375984358e-07
current,0,1,0,16,22,22,2630084,5234707.1726419,4427988.3594302125,0.15410963528730592
next,1,-1,0,16,23,20,2580084,4427995.839723896,5304867.119522614,0.19802893036444114
next,1,0,0,16,23,21,2605084,4427995.839723896,5234708.737146358,0.18218465568223374
next,1,1,0,16,23,22,2630084,4427995.839723896,4427988.3594302125,1.689318137265694e-06
current,0,-1,10,23,42,40,4040036,7376869.9969420675,7029576.514840002,0.04707870441610451
current,0,0,10,23,42,41,4065036,7376869.9969420675,7376857.877964755,1.6428346056862608e-06
current,0,1,10,23,42,42,4090036,7376869.9969420675,5963196.8719754,0.19163590053134694
next,1,-1,10,23,43,40,4040036,5963186.726715449,7029576.514840002,0.17882884387085518
next,1,0,10,23,43,41,4065036,5963186.726715449,7376857.877964755,0.23706639017624087
next,1,1,10,23,43,42,4090036,5963186.726715449,5963196.8719754,1.701315154978289e-06
current,0,-1,7,10,22,20,16709887,3073286.6598581597,2926424.260450443,0.047786755894256516
current,0,0,7,10,22,21,16734887,3073286.6598581597,3073282.4462438063,1.3710450146309228e-06
current,0,1,7,10,22,22,16759887,3073286.6598581597,2842687.49879458,0.07503340449023477
next,1,-1,7,10,23,20,16709887,2842694.5755555066,2926424.260450443,0.029454337309021028
next,1,0,7,10,23,21,16734887,2842694.5755555066,3073282.4462438063,0.08111594987063953
next,1,1,7,10,23,22,16759887,2842694.5755555066,2842687.49879458,2.489455247056682e-06
current,0,-1,5,6,977,975,25441052,4510447.699070957,4866850.966941836,0.07901727093394517
current,0,0,5,6,977,976,25466052,4510447.699070957,4509193.52469076,0.00027805984325113275
current,0,1,5,6,977,977,25491052,4510447.699070957,4539751.61410794,0.006496897202248775
next,1,-1,5,6,978,975,25441052,4539746.251907207,4866850.966941836,0.07205352389403008
next,1,0,5,6,978,976,25466052,4539746.251907207,4509193.52469076,0.006730051752036004
next,1,1,5,6,978,977,25491052,4539746.251907207,4539751.61410794,1.1811675004747002e-06
current,0,-1,9,19,1797,1795,46939801,5790756.161261736,5785090.525589256,0.000978393065551919
current,0,0,9,19,1797,1796,46964801,5790756.161261736,5790784.2390620485,4.848727787942764e-06
current,0,1,9,19,1797,1797,46989801,5790756.161261736,5099028.820845559,0.11945371574158259
next,1,-1,9,19,1798,1795,46939801,5099019.815129957,5785090.525589256,0.13454952821002375
next,1,0,9,19,1798,1796,46964801,5099019.815129957,5790784.2390620485,0.13566615722485875
