scenario,phase,role,status,reason,receiver_second,score,power_only,prompt_magnitude,epl_3point_complex,fixed_9_delay_tap_complex,dense_one_source_residual,dense_two_source_score,selected_delay_chips,selected_doppler_hz,beta_alpha_ratio,grid_boundary,prn_count,dominant_fraction
cleanStatic,train,train,NOT_EVALUATED,Checkpoint 2 fresh replay failed mandatory clean foundation gates; physics was not authorized,,,,,,,,,,,,,,
cleanStatic,h1_selection,h1_selection,NOT_EVALUATED,Checkpoint 2 fresh replay failed mandatory clean foundation gates; physics was not authorized,,,,,,,,,,,,,,
cleanStatic,calibration,calibration,NOT_EVALUATED,Checkpoint 2 fresh replay failed mandatory clean foundation gates; physics was not authorized,,,,,,,,,,,,,,
cleanStatic,holdout,holdout,NOT_EVALUATED,Checkpoint 2 fresh replay failed mandatory clean foundation gates; physics was not authorized,,,,,,,,,,,,,,
ds3,pre_onset,pre_onset,NOT_EVALUATED,Checkpoint 2 fresh replay failed mandatory clean foundation gates; physics was not authorized,,,,,,,,,,,,,,
ds3,transition,transition,NOT_EVALUATED,Checkpoint 2 fresh replay failed mandatory clean foundation gates; physics was not authorized,,,,,,,,,,,,,,
ds3,established,established,NOT_EVALUATED,Checkpoint 2 fresh replay failed mandatory clean foundation gates; physics was not authorized,,,,,,,,,,,,,,
ds4,pre_onset,pre_onset,NOT_EVALUATED,Checkpoint 2 fresh replay failed mandatory clean foundation gates; physics was not authorized,,,,,,,,,,,,,,
ds4,transition_only,transition_only,NOT_EVALUATED,Checkpoint 2 fresh replay failed mandatory clean foundation gates; physics was not authorized,,,,,,,,,,,,,,
ds7,pre_onset,pre_onset,NOT_EVALUATED,Checkpoint 2 fresh replay failed mandatory clean foundation gates; physics was not authorized,,,,,,,,,,,,,,
ds7,transition,transition,NOT_EVALUATED,Checkpoint 2 fresh replay failed mandatory clean foundation gates; physics was not authorized,,,,,,,,,,,,,,
ds7,held,held,NOT_EVALUATED,Checkpoint 2 fresh replay failed mandatory clean foundation gates; physics was not authorized,,,,,,,,,,,,,,
ds7,time_push,time_push,NOT_EVALUATED,Checkpoint 2 fresh replay failed mandatory clean foundation gates; physics was not authorized,,,,,,,,,,,,,,
ds8,pre_onset,pre_onset,NOT_EVALUATED,Checkpoint 2 fresh replay failed mandatory clean foundation gates; physics was not authorized,,,,,,,,,,,,,,
ds8,transition,transition,NOT_EVALUATED,Checkpoint 2 fresh replay failed mandatory clean foundation gates; physics was not authorized,,,,,,,,,,,,,,
ds8,held,held,NOT_EVALUATED,Checkpoint 2 fresh replay failed mandatory clean foundation gates; physics was not authorized,,,,,,,,,,,,,,
ds8,time_push,time_push,NOT_EVALUATED,Checkpoint 2 fresh replay failed mandatory clean foundation gates; physics was not authorized,,,,,,,,,,,,,,
