scenario,phase,status,reason,n,mean_score,alarm_fraction,prn_coverage_min
cleanStatic,train,NOT_EVALUATED,Checkpoint 2 fresh replay failed mandatory clean foundation gates; physics was not authorized,,,,
cleanStatic,h1_selection,NOT_EVALUATED,Checkpoint 2 fresh replay failed mandatory clean foundation gates; physics was not authorized,,,,
cleanStatic,calibration,NOT_EVALUATED,Checkpoint 2 fresh replay failed mandatory clean foundation gates; physics was not authorized,,,,
cleanStatic,holdout,NOT_EVALUATED,Checkpoint 2 fresh replay failed mandatory clean foundation gates; physics was not authorized,,,,
ds3,pre_onset,NOT_EVALUATED,Checkpoint 2 fresh replay failed mandatory clean foundation gates; physics was not authorized,,,,
ds3,transition,NOT_EVALUATED,Checkpoint 2 fresh replay failed mandatory clean foundation gates; physics was not authorized,,,,
ds3,established,NOT_EVALUATED,Checkpoint 2 fresh replay failed mandatory clean foundation gates; physics was not authorized,,,,
ds4,pre_onset,NOT_EVALUATED,Checkpoint 2 fresh replay failed mandatory clean foundation gates; physics was not authorized,,,,
ds4,transition_only,NOT_EVALUATED,Checkpoint 2 fresh replay failed mandatory clean foundation gates; physics was not authorized,,,,
ds7,pre_onset,NOT_EVALUATED,Checkpoint 2 fresh replay failed mandatory clean foundation gates; physics was not authorized,,,,
ds7,transition,NOT_EVALUATED,Checkpoint 2 fresh replay failed mandatory clean foundation gates; physics was not authorized,,,,
ds7,held,NOT_EVALUATED,Checkpoint 2 fresh replay failed mandatory clean foundation gates; physics was not authorized,,,,
ds7,time_push,NOT_EVALUATED,Checkpoint 2 fresh replay failed mandatory clean foundation gates; physics was not authorized,,,,
ds8,pre_onset,NOT_EVALUATED,Checkpoint 2 fresh replay failed mandatory clean foundation gates; physics was not authorized,,,,
ds8,transition,NOT_EVALUATED,Checkpoint 2 fresh replay failed mandatory clean foundation gates; physics was not authorized,,,,
ds8,held,NOT_EVALUATED,Checkpoint 2 fresh replay failed mandatory clean foundation gates; physics was not authorized,,,,
ds8,time_push,NOT_EVALUATED,Checkpoint 2 fresh replay failed mandatory clean foundation gates; physics was not authorized,,,,
