scenario,phase,delay_chips,doppler_hz,beta_alpha_ratio,grid_boundary,prn_count
cleanStatic,all,-0.625,50.0,2.1055699241630488e-08,0,3
cleanStatic,all,-1.0,100.0,1.7602737128662456e-08,1,3
cleanStatic,all,-1.0,250.0,1.3722500945888135e-08,1,3
cleanStatic,all,-1.0,0.0,2.327650600222263e-08,1,3
cleanStatic,all,-1.0,250.0,2.210908497670336e-08,1,3
cleanStatic,all,0.25,250.0,1.624646480887713e-08,1,3
cleanStatic,all,-0.75,250.0,2.8900383397253245e-08,1,3
cleanStatic,all,0.75,200.0,1.7979137440856584e-08,0,3
cleanStatic,all,-1.0,-100.0,5.3251864654036724e-08,1,3
cleanStatic,all,0.875,-250.0,3.0164397724879046e-08,1,3
cleanStatic,all,-0.5,200.0,6.875525166800668e-08,0,3
cleanStatic,all,-0.625,-50.0,4.190298283042771e-08,0,3
ds3,pre_onset,1.0,250.0,2.409577248236232e-08,1,3
ds3,pre_onset,-0.625,-250.0,1.6432954285826723e-08,1,3
ds3,pre_onset,-1.0,-100.0,2.8177643272553747e-08,1,3
ds3,pre_onset,-0.75,0.0,2.0035825497442388e-08,0,3
ds3,pre_onset,-0.625,-50.0,2.9391986581887066e-08,0,3
ds3,pre_onset,-1.0,150.0,2.7912036947298623e-08,1,3
ds3,transition,-1.0,-100.0,3.2679377142227435e-08,1,3
ds3,transition,1.0,50.0,6.700591379028032e-08,1,3
ds3,transition,1.0,0.0,6.939858249842748e-08,1,3
ds3,transition,-0.625,0.0,1.0369794050521292e-07,0,3
ds3,transition,-0.5,0.0,2.921845040946124e-07,0,3
ds3,transition,-0.625,0.0,1.8765567074061572e-07,0,3
ds3,established,-0.625,0.0,1.9602713099880056e-07,0,3
ds3,established,1.0,50.0,1.1899012699202817e-07,1,3
ds3,established,1.0,-50.0,7.58109494784536e-08,1,3
ds3,established,0.75,250.0,5.96845304851436e-08,1,3
ds3,established,-1.0,100.0,5.427044986085246e-08,1,3
ds3,established,-0.5,0.0,4.9530895919533037e-08,0,3
ds4,pre_onset,0.875,-250.0,4.3672282756170365e-07,1,3
ds4,pre_onset,-1.0,-100.0,2.1271005812974173e-08,1,3
ds4,pre_onset,-0.625,150.0,3.103195381107884e-08,0,3
ds4,pre_onset,0.75,-100.0,3.470850540709235e-08,0,3
ds4,pre_onset,0.875,-250.0,2.3730392788987782e-08,1,3
ds4,pre_onset,-1.0,150.0,3.7962162925432204e-08,1,3
ds4,transition_only,1.0,0.0,1.0816241156288661e-07,1,3
ds4,transition_only,1.0,0.0,1.5034650168764552e-07,1,3
ds4,transition_only,1.0,50.0,2.44282632038258e-07,1,3
ds4,transition_only,1.0,0.0,1.512746263473212e-07,1,3
ds4,transition_only,1.0,-50.0,1.7365223850235768e-07,1,3
ds4,transition_only,1.0,0.0,1.6076528640669988e-07,1,3
ds7,pre_onset,1.0,-100.0,7.603484877469162e-08,1,3
ds7,pre_onset,-0.625,0.0,7.08759425214007e-08,0,3
ds7,pre_onset,0.375,-50.0,4.954914110682164e-08,0,3
ds7,pre_onset,-0.125,-200.0,5.9413357425968345e-08,0,3
ds7,pre_onset,-1.0,150.0,3.895985436956251e-08,1,3
ds7,pre_onset,-0.625,0.0,7.599573199209895e-08,0,3
ds7,transition,0.5,250.0,4.974593862343666e-08,1,3
ds7,transition,1.0,-250.0,8.020440455069559e-08,1,3
ds7,transition,-0.625,0.0,7.697464047127546e-08,0,3
ds7,transition,-0.625,-50.0,4.709181188999259e-08,0,3
ds7,transition,-1.0,200.0,3.7720675712618384e-08,1,3
ds7,transition,-0.625,-250.0,5.635589945566119e-08,1,3
ds7,held,0.875,-50.0,2.001806780956947e-07,0,3
ds7,held,0.75,-250.0,2.4375270926243916e-08,1,3
ds7,held,-0.5,-250.0,2.730933821222204e-08,1,3
ds7,held,1.0,-200.0,3.0652881252860817e-08,1,3
ds7,held,0.875,-250.0,6.660062021341235e-08,1,3
ds7,held,0.75,100.0,5.744185856511124e-08,0,3
ds7,time_push,1.0,-250.0,3.470591471384223e-08,1,3
ds7,time_push,-1.0,-100.0,5.997776384462104e-08,1,3
ds7,time_push,-0.625,50.0,7.53739467241787e-08,0,3
ds7,time_push,0.125,0.0,2.3016530029480296e-07,0,3
ds7,time_push,0.5,0.0,2.319253089550284e-07,0,3
ds7,time_push,0.5,0.0,2.3915228412343165e-07,0,3
ds8,pre_onset,-0.625,50.0,2.1055699241630488e-08,0,3
ds8,pre_onset,-0.5,0.0,3.986599937824998e-08,0,3
ds8,pre_onset,-0.75,0.0,3.713377635704578e-08,0,3
ds8,pre_onset,-0.875,-100.0,3.881615917332247e-08,0,3
ds8,pre_onset,-1.0,0.0,3.503606797928225e-08,1,3
ds8,pre_onset,0.875,-100.0,2.9399438261094867e-08,0,3
ds8,transition,-0.875,-100.0,3.2413199322855695e-08,0,3
ds8,transition,-0.5,-150.0,3.228824376743801e-08,0,3
ds8,transition,-1.0,-50.0,4.032347409095935e-08,1,3
ds8,transition,-0.75,0.0,3.7110840504189555e-08,0,3
ds8,transition,-0.625,-50.0,4.266933906403801e-08,0,3
ds8,transition,-0.5,-250.0,1.3744531870785506e-08,1,3
ds8,held,0.75,-100.0,3.491229576123711e-08,0,3
ds8,held,1.0,0.0,3.246569549298493e-08,1,3
ds8,held,0.375,-250.0,3.267670979504211e-08,1,3
ds8,held,-0.75,-50.0,3.277270171292575e-08,0,3
ds8,held,-0.625,200.0,3.102405762855281e-08,0,3
ds8,held,-0.625,50.0,2.9661705579386375e-08,0,3
ds8,time_push,-0.625,150.0,2.05262669780358e-08,0,3
ds8,time_push,0.125,0.0,1.4276361737560954e-07,0,3
ds8,time_push,0.5,0.0,2.238913529781614e-07,0,3
ds8,time_push,0.625,0.0,2.4816687352956375e-07,0,3
ds8,time_push,0.5,0.0,2.0861706246367235e-07,0,3
ds8,time_push,0.5,0.0,2.5430684886247177e-07,0,3
