scenario,channel,prn,rows,row_delta_min,row_delta_median,row_delta_max,row_delta_in_range_ratio,l20_window_count,l20_sample_coverage_s,cn0_ok_ratio,lock_ok_ratio,dat_rows_match,dat_rows,dat_row_bytes,dominant_l20_prn,dominant_l20_fraction,bin_sample_window_count
cleanStatic,0,30,35798,25000,500001.0,500002,0.3501131379724558,105,2.1,0.999441309570367,0.8055757304877368,True,35798,148,30,1.0,105
cleanStatic,1,19,36261,24999,499999.0,500000,0.35581908439051296,2644,52.88,0.9994484432310196,0.9559306141584623,True,36261,148,19,1.0,2644
cleanStatic,10,1,15961,24999,25000.0,25001,1.0,2710,54.2,0.6045360566380552,0.0025061086398095356,True,190026,148,1,1.0,2710
cleanStatic,10,8,48879,24999,25000.0,5815194554,0.9352264822619584,10336,206.72,0.8647271834530166,0.25559033531782566,True,190026,148,8,1.0,10336
cleanStatic,10,11,29421,24999,25000.0,5788405197,0.9312372535690007,17869,357.38,0.7746507596614663,0.019509873899595527,True,190026,148,11,1.0,17869
cleanStatic,10,12,15961,25000,25000.0,25001,1.0,0,0.0,0.5829835223356933,0.0012530543199047678,True,190026,148,12,0.0,0
cleanStatic,10,18,15961,24999,25000.0,25001,1.0,618,12.36,0.59657916170666,0.0012530543199047678,True,190026,148,18,1.0,618
cleanStatic,10,24,15960,24999,25000.0,25001,1.0,2318,46.36,0.6167293233082707,0.0012531328320802004,True,190026,148,24,1.0,2318
cleanStatic,10,25,15961,24999,25000.0,25001,1.0,1615,32.3,0.6146231439132886,0.0012530543199047678,True,190026,148,25,1.0,1615
cleanStatic,10,29,15961,24999,25000.0,25001,1.0,8970,179.4,0.6124929515694505,0.0012530543199047678,True,190026,148,29,1.0,8970
cleanStatic,10,31,15961,24999,25000.0,25001,1.0,13522,270.44,0.6097988847816553,0.00156631789988096,True,190026,148,31,1.0,13522
cleanStatic,2,3,36301,24999,500000.0,500000,0.35650137741046833,9864,197.28,0.9994490509903309,0.8317952673480069,True,36301,148,3,1.0,9864
cleanStatic,3,20,38493,25000,500001.0,500001,0.40320066507326197,1632,32.64,0.9994804250123399,0.8829137765307978,True,38493,148,20,1.0,1632
cleanStatic,4,16,36260,25000,500001.0,500001,0.35580131829338923,1991,39.82,0.9994484280198566,0.9806949806949807,True,36260,148,16,1.0,1991
cleanStatic,5,6,36303,25000,500000.0,500001,0.35656437661836815,10950,219.0,0.9994490813431397,0.9691210092829794,True,36303,148,6,1.0,10950
