scenario,phase,method,budget,n,mean_score,alarm_fraction,tracked_prn_min
cleanStatic,calibration,active_adaptive,3,14,-0.007067308920595198,0.07142857142857142,10
cleanStatic,calibration,active_adaptive,5,14,-0.008172984673207675,0.07142857142857142,10
cleanStatic,calibration,active_adaptive,9,14,-0.026643486445138937,0.07142857142857142,10
cleanStatic,calibration,active_adaptive,16,14,0.060836576491416765,0.07142857142857142,10
cleanStatic,calibration,active_context,9,14,0.11389614946428403,0.07142857142857142,10
cleanStatic,calibration,active_magnitude,3,14,-0.004102184817581892,0.07142857142857142,10
cleanStatic,calibration,active_magnitude,5,14,-0.013188767740646177,0.07142857142857142,10
cleanStatic,calibration,active_magnitude,9,14,-0.22134324058675445,0.07142857142857142,10
cleanStatic,calibration,active_no_context,9,14,-0.026643486445138937,0.07142857142857142,10
cleanStatic,calibration,analytic_two_source_glrt,187,14,-0.010369857247725973,0.07142857142857142,10
cleanStatic,calibration,dense_nf,187,14,0.10345283213447805,0.07142857142857142,10
cleanStatic,calibration,dense_one_source_residual,187,14,0.3782167531591077,0.07142857142857142,10
cleanStatic,calibration,epl_3,3,14,0.4536107235872992,0.07142857142857142,10
cleanStatic,calibration,epl_3_complex,3,14,0.1303380606871207,0.07142857142857142,10
cleanStatic,calibration,fixed_9_delay_tap_complex,9,14,0.5553898454979679,0.07142857142857142,10
cleanStatic,calibration,fixed_delay_9,9,14,0.19417319225229335,0.07142857142857142,10
cleanStatic,calibration,learned_fixed,3,14,-0.007067308920595198,0.07142857142857142,10
cleanStatic,calibration,learned_fixed,5,14,-0.008172984673207675,0.07142857142857142,10
cleanStatic,calibration,learned_fixed,9,14,-0.025204916698080244,0.07142857142857142,10
cleanStatic,calibration,learned_fixed,16,14,0.09841872157352884,0.07142857142857142,10
cleanStatic,calibration,previous_acaf_r1_proxy,187,14,0.13949115683015384,0.07142857142857142,10
cleanStatic,calibration,prompt_magnitude_only,0,14,0.06867907110785822,0.07142857142857142,10
cleanStatic,calibration,random_fixed,3,14,-0.2042705306318055,0.07142857142857142,10
cleanStatic,calibration,random_fixed,5,14,0.39506556244124696,0.07142857142857142,10
cleanStatic,calibration,random_fixed,9,14,-0.17570616000144826,0.07142857142857142,10
cleanStatic,calibration,random_fixed,16,14,-0.12225288270202787,0.07142857142857142,10
cleanStatic,calibration,raw_power_only,0,14,-0.19306023376437742,0.07142857142857142,10
cleanStatic,calibration,uniform_fixed,3,14,-0.12638529747081545,0.07142857142857142,10
cleanStatic,calibration,uniform_fixed,5,14,0.20642818625840992,0.07142857142857142,10
cleanStatic,calibration,uniform_fixed,9,14,-0.02105448956963632,0.07142857142857142,10
cleanStatic,calibration,uniform_fixed,16,14,-0.07516968943964887,0.07142857142857142,10
cleanStatic,holdout,active_adaptive,3,12,0.19071668780584586,0.0,11
cleanStatic,holdout,active_adaptive,5,12,-0.11245152907449525,0.0,11
cleanStatic,holdout,active_adaptive,9,12,-0.1352372597119431,0.0,11
cleanStatic,holdout,active_adaptive,16,12,0.33896457270049907,0.0,11
cleanStatic,holdout,active_context,9,12,1.4314472343192441,0.4166666666666667,11
cleanStatic,holdout,active_magnitude,3,12,-0.28285492077015467,0.0,11
cleanStatic,holdout,active_magnitude,5,12,-0.029152050847893674,0.0,11
cleanStatic,holdout,active_magnitude,9,12,-0.4424627224317059,0.0,11
cleanStatic,holdout,active_no_context,9,12,-0.1352372597119431,0.0,11
cleanStatic,holdout,analytic_two_source_glrt,187,12,-0.19629488596276015,0.0,11
cleanStatic,holdout,dense_nf,187,12,0.2087026342350291,0.08333333333333333,11
cleanStatic,holdout,dense_one_source_residual,187,12,0.4005230669595617,0.08333333333333333,11
cleanStatic,holdout,epl_3,3,12,0.11904122795049536,0.0,11
cleanStatic,holdout,epl_3_complex,3,12,-0.13390287648479274,0.0,11
cleanStatic,holdout,fixed_9_delay_tap_complex,9,12,0.26319797008415924,0.0,11
cleanStatic,holdout,fixed_delay_9,9,12,0.5892952065325835,0.08333333333333333,11
cleanStatic,holdout,learned_fixed,3,12,0.19071668780584586,0.0,11
cleanStatic,holdout,learned_fixed,5,12,-0.11245152907449525,0.0,11
cleanStatic,holdout,learned_fixed,9,12,-0.13035829571961088,0.0,11
cleanStatic,holdout,learned_fixed,16,12,0.31710821716830484,0.0,11
cleanStatic,holdout,previous_acaf_r1_proxy,187,12,0.07180083188428989,0.08333333333333333,11
cleanStatic,holdout,prompt_magnitude_only,0,12,0.011444361318676247,0.0,11
cleanStatic,holdout,random_fixed,3,12,0.4122716510359062,0.3333333333333333,11
cleanStatic,holdout,random_fixed,5,12,1.9009126405704866,0.16666666666666666,11
cleanStatic,holdout,random_fixed,9,12,0.8335015823659061,0.16666666666666666,11
cleanStatic,holdout,random_fixed,16,12,0.5189036648083364,0.08333333333333333,11
cleanStatic,holdout,raw_power_only,0,12,-0.3360713787355,0.08333333333333333,11
cleanStatic,holdout,uniform_fixed,3,12,-0.1848331598123278,0.0,11
cleanStatic,holdout,uniform_fixed,5,12,0.351235678750075,0.0,11
cleanStatic,holdout,uniform_fixed,9,12,0.1932109007645965,0.08333333333333333,11
cleanStatic,holdout,uniform_fixed,16,12,0.14404835335969482,0.08333333333333333,11
cleanStatic,selection,active_adaptive,3,12,-1.2398925023962015,0.0,10
cleanStatic,selection,active_adaptive,5,12,-1.1904461140590494,0.0,10
cleanStatic,selection,active_adaptive,9,12,-1.133165707055976,0.0,10
cleanStatic,selection,active_adaptive,16,12,-0.7201135648314061,0.0,10
cleanStatic,selection,active_context,9,12,0.8845988332776181,0.08333333333333333,10
cleanStatic,selection,active_magnitude,3,12,0.0644419348014337,0.0,10
cleanStatic,selection,active_magnitude,5,12,0.05043121575038379,0.0,10
cleanStatic,selection,active_magnitude,9,12,-0.2640728496856662,0.0,10
cleanStatic,selection,active_no_context,9,12,-1.133165707055976,0.0,10
cleanStatic,selection,analytic_two_source_glrt,187,12,0.3844804383581293,0.08333333333333333,10
cleanStatic,selection,dense_nf,187,12,0.45676798211313646,0.0,10
cleanStatic,selection,dense_one_source_residual,187,12,0.8839103809771244,0.0,10
cleanStatic,selection,epl_3,3,12,0.40304527211761493,0.0,10
cleanStatic,selection,epl_3_complex,3,12,0.556478073505055,0.0,10
cleanStatic,selection,fixed_9_delay_tap_complex,9,12,1.6310760479150337,0.0,10
cleanStatic,selection,fixed_delay_9,9,12,0.6631905603367679,0.16666666666666666,10
cleanStatic,selection,learned_fixed,3,12,-1.2398925023962015,0.0,10
cleanStatic,selection,learned_fixed,5,12,-1.1904461140590494,0.0,10
cleanStatic,selection,learned_fixed,9,12,-1.133165707055976,0.0,10
cleanStatic,selection,learned_fixed,16,12,-0.9051223064386392,0.0,10
cleanStatic,selection,previous_acaf_r1_proxy,187,12,0.602009273304361,0.16666666666666666,10
cleanStatic,selection,prompt_magnitude_only,0,12,1.2719819314809018,0.25,10
cleanStatic,selection,random_fixed,3,12,0.13779171712150182,0.16666666666666666,10
cleanStatic,selection,random_fixed,5,12,1.2626427922725718,0.0,10
cleanStatic,selection,random_fixed,9,12,0.8238080024480311,0.08333333333333333,10
cleanStatic,selection,random_fixed,16,12,0.48017231459279025,0.0,10
cleanStatic,selection,raw_power_only,0,12,-0.18827632305361008,0.08333333333333333,10
cleanStatic,selection,uniform_fixed,3,12,-0.35441839829393884,0.08333333333333333,10
cleanStatic,selection,uniform_fixed,5,12,-0.054030433232549246,0.0,10
cleanStatic,selection,uniform_fixed,9,12,-0.28131919617899,0.0,10
cleanStatic,selection,uniform_fixed,16,12,-0.2638604508263535,0.0,10
cleanStatic,train,active_adaptive,3,18,-0.3747191342552224,0.0,10
cleanStatic,train,active_adaptive,5,18,-0.22420223268208733,0.0,10
cleanStatic,train,active_adaptive,9,18,-0.23253869832368038,0.0,10
cleanStatic,train,active_adaptive,16,18,-0.08620214138258793,0.0,10
