scenario,score_col,threshold,th,pre_windows,post_windows,pre_fp_rate,post_det_rate,post_flags,first_delay_s
ds1,ai_rmse_q,q90,0.18903206288814545,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q,q95,0.21795486003160475,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q,q99,0.2959910968244072,168,702,0.0,0.9188034188034188,645,25.040794759999997
ds1,ai_rmse_q,q99_5,0.37719826676696533,168,702,0.0,0.05982905982905983,42,25.040794759999997
ds1,ai_rmse_q,q99_9,0.49577592371851364,168,702,0.0,0.0014245014245014246,1,25.040794759999997
ds1,ai_rmse_q65,q90,0.1709501744806766,168,702,0.0,0.9586894586894587,673,23.040794759999997
ds1,ai_rmse_q65,q95,0.1912437710538506,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q65,q99,0.25917824000120127,168,702,0.0,0.9558404558404558,671,25.040794759999997
ds1,ai_rmse_q65,q99_5,0.29630640010163184,168,702,0.0,0.8632478632478633,606,25.040794759999997
ds1,ai_rmse_q65,q99_9,0.3910983501054356,168,702,0.0,0.01282051282051282,9,25.040794759999997
ds1,ai_rmse_mean,q90,0.309336300925775,168,702,0.005952380952380952,0.6723646723646723,472,25.040794759999997
ds1,ai_rmse_mean,q95,0.4353104509921236,168,702,0.0,0.09259259259259259,65,25.540794759999997
ds1,ai_rmse_mean,q99,0.5997058920399707,168,702,0.0,0.024216524216524215,17,117.44783788000001
ds1,ai_rmse_mean,q99_5,0.6885577907487748,168,702,0.0,0.01282051282051282,9,117.44783788000001
ds1,ai_rmse_mean,q99_9,0.9696458740577336,168,702,0.0,0.005698005698005698,4,136.54079476
ds1,ai_rmse_top3_mean,q90,0.8484882379571599,168,702,0.005952380952380952,0.0868945868945869,61,25.540794759999997
ds1,ai_rmse_top3_mean,q95,1.2179304659366605,168,702,0.0,0.037037037037037035,26,30.04079476000001
ds1,ai_rmse_top3_mean,q99,1.82306379199028,168,702,0.0,0.01282051282051282,9,117.44783788000001
ds1,ai_rmse_top3_mean,q99_5,2.1111431275556476,168,702,0.0,0.008547008547008548,6,117.44783788000001
ds1,ai_rmse_top3_mean,q99_9,3.109057335838749,168,702,0.0,0.005698005698005698,4,136.54079476
ds1,btail70,q90,1.8953326990332149,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,btail70,q95,3.050209845006388,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,btail70,q99,4.54764887800219,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,btail70,q99_5,5.451260176144335,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,btail70,q99_9,6.679247420108968,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,btail_mean_507080,q90,1.981259664637852,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,btail_mean_507080,q95,2.5978605732543683,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,btail_mean_507080,q99,4.170007253813014,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,btail_mean_507080,q99_5,4.69479322854163,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,btail_mean_507080,q99_9,6.144208792315444,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,btail_max_507080,q90,2.9875741536925293,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,btail_max_507080,q95,3.4199263667684323,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,btail_max_507080,q99,5.139712336371398,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,btail_max_507080,q99_5,6.443778273406375,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,btail_max_507080,q99_9,7.178628400621737,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q_binom_btail70_lam0.25,q90,0.22820837171455888,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q_binom_btail70_lam0.25,q95,0.2545306407667798,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q_binom_btail70_lam0.25,q99,0.33237380846332615,168,702,0.0,0.9401709401709402,660,25.040794759999997
ds1,ai_rmse_q_binom_btail70_lam0.25,q99_5,0.41462776185854755,168,702,0.0,0.07122507122507123,50,25.040794759999997
ds1,ai_rmse_q_binom_btail70_lam0.25,q99_9,0.5323384562090282,168,702,0.0,0.002849002849002849,2,25.040794759999997
ds1,ai_rmse_q_binom_btail70_lam0.5,q90,0.2683887446877538,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q_binom_btail70_lam0.5,q95,0.2961022210187332,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q_binom_btail70_lam0.5,q99,0.3726277633688429,168,702,0.0,0.9501424501424501,667,25.040794759999997
ds1,ai_rmse_q_binom_btail70_lam0.5,q99_5,0.4542276627999442,168,702,0.0,0.08262108262108261,58,25.040794759999997
ds1,ai_rmse_q_binom_btail70_lam0.5,q99_9,0.5728139229186903,168,702,0.0,0.002849002849002849,2,25.040794759999997
ds1,ai_rmse_q_binom_btail70_lam0.75,q90,0.30755258376962336,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q_binom_btail70_lam0.75,q95,0.33282307232806024,168,702,0.0,0.9572649572649573,672,25.040794759999997
ds1,ai_rmse_q_binom_btail70_lam0.75,q99,0.41364169118166105,168,702,0.0,0.9501424501424501,667,25.040794759999997
