scenario,score_col,threshold,th,pre_fp_rate,post_det_rate,post_flags,first_delay_s
ds1,btail70_roll4_mean,q95,2.49511613258766,0.0,0.9572649572649573,672,25.040794759999997
ds1,btail70_roll4_mean,q99,3.7416515651865168,0.0,0.9558404558404558,671,25.540794759999997
ds1,btail70_roll4_mean,q99_5,4.3586021821109915,0.0,0.9558404558404558,671,25.540794759999997
ds1,btail70_roll4_max,q95,4.54764887800219,0.0,0.9572649572649573,672,25.040794759999997
ds1,btail70_roll4_max,q99,6.443778273406375,0.0,0.9572649572649573,672,25.040794759999997
ds1,btail70_roll4_max,q99_5,6.443778273406375,0.0,0.9572649572649573,672,25.040794759999997
ds1,btail70_ewma075,q95,2.3956039882045266,0.0,0.9572649572649573,672,25.040794759999997
ds1,btail70_ewma075,q99,3.342825202292502,0.0,0.9572649572649573,672,25.040794759999997
ds1,btail70_ewma075,q99_5,3.748270216387204,0.0,0.9572649572649573,672,25.040794759999997
ds1,btail_mean_507080_roll4_mean,q95,2.4045598525247396,0.0,0.9572649572649573,672,25.040794759999997
ds1,btail_mean_507080_roll4_mean,q99,3.484253896917547,0.0,0.9572649572649573,672,25.040794759999997
ds1,btail_mean_507080_roll4_mean,q99_5,3.95195908975753,0.0,0.9558404558404558,671,25.540794759999997
ds1,btail_mean_507080_roll4_max,q95,3.7047543296505694,0.0,0.9572649572649573,672,25.040794759999997
ds1,btail_mean_507080_roll4_max,q99,5.034421586349297,0.0,0.9572649572649573,672,25.040794759999997
ds1,btail_mean_507080_roll4_max,q99_5,6.143834282526126,0.0,0.9572649572649573,672,25.040794759999997
ds1,btail_mean_507080_ewma075,q95,2.2673000820182616,0.0,0.9572649572649573,672,25.040794759999997
ds1,btail_mean_507080_ewma075,q99,3.221368723501553,0.0,0.9572649572649573,672,25.040794759999997
ds1,btail_mean_507080_ewma075,q99_5,3.418522208079335,0.0,0.9572649572649573,672,25.040794759999997
ds1,btail_max_507080_roll4_mean,q95,3.272391421905396,0.0,0.9572649572649573,672,25.040794759999997
ds1,btail_max_507080_roll4_mean,q99,4.590100620578314,0.0,0.9572649572649573,672,25.040794759999997
ds1,btail_max_507080_roll4_mean,q99_5,5.01816314055296,0.0,0.9572649572649573,672,25.040794759999997
ds1,btail_max_507080_roll4_max,q95,5.060425746962489,0.0,0.9572649572649573,672,25.040794759999997
ds1,btail_max_507080_roll4_max,q99,6.931471805599453,0.0,0.9572649572649573,672,25.040794759999997
ds1,btail_max_507080_roll4_max,q99_5,7.053523060357283,0.0,0.9572649572649573,672,25.040794759999997
ds1,btail_max_507080_ewma075,q95,3.1339658979144747,0.0,0.9572649572649573,672,25.040794759999997
ds1,btail_max_507080_ewma075,q99,4.169877716047041,0.0,0.9572649572649573,672,25.040794759999997
ds1,btail_max_507080_ewma075,q99_5,4.6536503466170185,0.0,0.9572649572649573,672,25.040794759999997
ds2,btail70_roll4_mean,q95,2.49511613258766,0.0,1.0,692,10.371334480000002
ds2,btail70_roll4_mean,q99,3.7416515651865168,0.0,1.0,692,10.371334480000002
ds2,btail70_roll4_mean,q99_5,4.3586021821109915,0.0,1.0,692,10.371334480000002
ds2,btail70_roll4_max,q95,4.54764887800219,0.0,1.0,692,10.371334480000002
ds2,btail70_roll4_max,q99,6.443778273406375,0.0,1.0,692,10.371334480000002
ds2,btail70_roll4_max,q99_5,6.443778273406375,0.0,1.0,692,10.371334480000002
ds2,btail70_ewma075,q95,2.3956039882045266,0.0,1.0,692,10.371334480000002
ds2,btail70_ewma075,q99,3.342825202292502,0.0,1.0,692,10.371334480000002
ds2,btail70_ewma075,q99_5,3.748270216387204,0.0,1.0,692,10.371334480000002
ds2,btail_mean_507080_roll4_mean,q95,2.4045598525247396,0.0,1.0,692,10.371334480000002
ds2,btail_mean_507080_roll4_mean,q99,3.484253896917547,0.0,1.0,692,10.371334480000002
ds2,btail_mean_507080_roll4_mean,q99_5,3.95195908975753,0.0,1.0,692,10.371334480000002
ds2,btail_mean_507080_roll4_max,q95,3.7047543296505694,0.0,1.0,692,10.371334480000002
ds2,btail_mean_507080_roll4_max,q99,5.034421586349297,0.0,1.0,692,10.371334480000002
ds2,btail_mean_507080_roll4_max,q99_5,6.143834282526126,0.0,1.0,692,10.371334480000002
ds2,btail_mean_507080_ewma075,q95,2.2673000820182616,0.0,1.0,692,10.371334480000002
ds2,btail_mean_507080_ewma075,q99,3.221368723501553,0.0,1.0,692,10.371334480000002
ds2,btail_mean_507080_ewma075,q99_5,3.418522208079335,0.0,1.0,692,10.371334480000002
ds2,btail_max_507080_roll4_mean,q95,3.272391421905396,0.0,1.0,692,10.371334480000002
ds2,btail_max_507080_roll4_mean,q99,4.590100620578314,0.0,1.0,692,10.371334480000002
ds2,btail_max_507080_roll4_mean,q99_5,5.01816314055296,0.0,1.0,692,10.371334480000002
ds2,btail_max_507080_roll4_max,q95,5.060425746962489,0.0,1.0,692,10.371334480000002
ds2,btail_max_507080_roll4_max,q99,6.931471805599453,0.0,1.0,692,10.371334480000002
ds2,btail_max_507080_roll4_max,q99_5,7.053523060357283,0.0,1.0,692,10.371334480000002
ds2,btail_max_507080_ewma075,q95,3.1339658979144747,0.0,1.0,692,10.371334480000002
ds2,btail_max_507080_ewma075,q99,4.169877716047041,0.0,1.0,692,10.371334480000002
ds2,btail_max_507080_ewma075,q99_5,4.6536503466170185,0.0,1.0,692,10.371334480000002
ds3,btail70_roll4_mean,q95,2.49511613258766,0.0,0.9740634005763689,676,19.45092984
ds3,btail70_roll4_mean,q99,3.7416515651865168,0.0,0.968299711815562,672,19.45092984
ds3,btail70_roll4_mean,q99_5,4.3586021821109915,0.0,0.946685878962536,657,19.45092984
ds3,btail70_roll4_max,q95,4.54764887800219,0.0,0.9639769452449568,669,18.95092984
ds3,btail70_roll4_max,q99,6.443778273406375,0.0,0.9236311239193083,641,19.45092984
ds3,btail70_roll4_max,q99_5,6.443778273406375,0.0,0.9236311239193083,641,19.45092984
ds3,btail70_ewma075,q95,2.3956039882045266,0.0,0.9740634005763689,676,19.45092984
ds3,btail70_ewma075,q99,3.342825202292502,0.0,0.9740634005763689,676,19.45092984
ds3,btail70_ewma075,q99_5,3.748270216387204,0.0,0.9697406340057637,673,19.45092984
