group,model,mean_roc_auc,mean_pr_auc,mean_post_detection_rate,max_stable_pre_fpr
development_DS1_DS3,B0-Exact,0.97421839705404,0.9966892329700924,0.9490125310351244,0.0
development_DS1_DS3,magnitude all9,0.4572062705754177,0.8808290878178028,0.0949428278852026,0.02
development_DS1_DS3,phase all9,0.7835519996120631,0.9593644362375016,0.1775311959252821,0.02
development_DS1_DS3,complex K3,0.9750813675506258,0.9967447275157283,0.9444020330421147,0.03
development_DS1_DS3,complex fixed K5,0.9749555015907063,0.996720903456107,0.939754874589283,0.02
development_DS1_DS3,complex adaptive K5,0.9742238425586676,0.9965843376846651,0.8784523264013372,0.01
development_DS1_DS3,complex fixed K7,0.9715412714542472,0.9960745162578585,0.9337309937405619,0.03
development_DS1_DS3,complex adaptive K7,0.9726358550808533,0.9963848672976799,0.8909759258303968,0.01
development_DS1_DS3,complex all9,0.9648303676168887,0.9951093950418373,0.8616542634089471,0.04
exploratory_DS7_DS8,B0-Exact,0.9357115180009201,0.9774394746422295,0.7413949275362319,0.0416666666666666
exploratory_DS7_DS8,magnitude all9,0.8682520272601795,0.9601635132677084,0.6285110420979986,0.0166666666666666
exploratory_DS7_DS8,phase all9,0.8701306576374511,0.9582922163123486,0.5327769151138716,0.0083333333333333
exploratory_DS7_DS8,complex K3,0.6929723444329423,0.9078811106410145,0.34456521739130436,0.0166666666666666
exploratory_DS7_DS8,complex fixed K5,0.7734877142282033,0.9346484040807521,0.4595798826777087,0.025
exploratory_DS7_DS8,complex adaptive K5,0.7552339256958822,0.9279881704245613,0.34767080745341616,0.0083333333333333
exploratory_DS7_DS8,complex fixed K7,0.8539697636300898,0.955493038752746,0.6273248792270532,0.05
exploratory_DS7_DS8,complex adaptive K7,0.8032136387163561,0.9431143077550121,0.45700483091787436,0.0083333333333333
exploratory_DS7_DS8,complex all9,0.875160419542213,0.9620773661140261,0.6455055210489993,0.025
all_scenarios,B0-Exact,0.9588156454327921,0.9889893296389471,0.8659654896355674,0.0416666666666666
all_scenarios,magnitude all9,0.6216245732493224,0.912562857997765,0.308370113570321,0.02
all_scenarios,phase all9,0.8181834628222184,0.9589355482674403,0.3196294836007179,0.02
all_scenarios,complex K3,0.8622377583035524,0.9611992807658428,0.7044673067817906,0.03
all_scenarios,complex fixed K5,0.8943683866457052,0.9718919037059649,0.7476848778246532,0.025
all_scenarios,complex adaptive K5,0.8866278758135534,0.9691458707806235,0.6661397188221688,0.01
all_scenarios,complex fixed K7,0.9245126683245841,0.9798419252558135,0.8111685479351584,0.05
all_scenarios,complex adaptive K7,0.9048669685350544,0.9750766434806127,0.7173874878653878,0.01
all_scenarios,complex all9,0.9289623883870185,0.9818965834707127,0.7751947664649681,0.04
