scenario,model,operating_point,threshold,epoch_count,alarm_comparison,clean_test_fpr,roc_auc,pr_auc,stable_pre_fpr,post_detection_rate,persistent_detection_rate,persistent_alarm_ratio,first_alarm_delay_s,first_sustained_alarm_delay_s,pre_onset_alarm,tracked_prn_count_median,tracked_prn_count_min,tracked_prn_count_max,diagnostic_only
DS1,B0-Exact,matched_clean_fpr_diagnostic,1.4326209677940234,910,strict_greater,,0.9735911602209945,0.9966472749771169,0.18,0.9654696132596685,1.0,1.0,0.5,0.0,True,10.0,8,11,True
DS1,complex K3,matched_clean_fpr_diagnostic,-0.5010720862470395,910,strict_greater,,0.9652209944751381,0.9954502163253376,0.05,0.9281767955801105,0.9953416149068323,0.9953416149068323,23.5,26.0,True,10.0,7,11,True
DS1,complex adaptive K5,matched_clean_fpr_diagnostic,-0.4030021545718566,910,strict_greater,,0.9628038674033149,0.9951118886107507,0.03,0.9129834254143646,0.9813664596273292,0.9813664596273292,26.0,26.0,True,10.0,7,11,True
DS1,complex adaptive K7,matched_clean_fpr_diagnostic,-0.3598863839709283,910,strict_greater,,0.9601243093922652,0.9947755034006284,0.02,0.8977900552486188,0.9658385093167702,0.9658385093167702,26.0,26.0,True,10.0,7,11,True
DS1,complex all9,matched_clean_fpr_diagnostic,-0.3161939669534101,910,strict_greater,,0.9495165745856353,0.9932555097309027,0.04,0.8812154696132597,0.9503105590062112,0.9503105590062112,26.0,26.0,True,10.0,7,11,True
DS1,complex fixed K5,matched_clean_fpr_diagnostic,-0.4323939835258368,910,strict_greater,,0.9638674033149172,0.9952848107783955,0.01,0.9212707182320442,0.9875776397515528,0.9875776397515528,23.5,26.0,True,10.0,7,11,True
DS1,complex fixed K7,matched_clean_fpr_diagnostic,-0.3759186258604709,910,strict_greater,,0.9586878453038674,0.9944744077496224,0.02,0.9019337016574586,0.9720496894409938,0.9720496894409938,26.0,26.0,True,10.0,7,11,True
DS1,complex random K5 seed11,matched_clean_fpr_diagnostic,-0.36121344211751794,910,strict_greater,,0.9426933701657458,0.9917850526113682,0.1,0.9102209944751382,0.9767080745341615,0.9767080745341615,2.0,26.0,True,10.0,7,11,True
DS1,complex random K5 seed23,matched_clean_fpr_diagnostic,-0.39317544182811687,910,strict_greater,,0.9508839779005525,0.9932709003048636,0.08,0.9226519337016574,0.9891304347826086,0.9891304347826086,1.0,26.0,True,10.0,7,11,True
DS1,complex random K5 seed37,matched_clean_fpr_diagnostic,-0.3866168234738952,910,strict_greater,,0.9568922651933701,0.9943185935205983,0.05,0.9157458563535912,0.984472049689441,0.984472049689441,26.0,26.0,True,10.0,7,11,True
DS1,complex random K7 seed11,matched_clean_fpr_diagnostic,-0.3447372818503796,910,strict_greater,,0.9575,0.9944292934424616,0.01,0.8867403314917127,0.9549689440993789,0.9549689440993789,26.0,26.0,True,10.0,7,11,True
DS1,complex random K7 seed23,matched_clean_fpr_diagnostic,-0.3853745166275971,910,strict_greater,,0.9511602209944752,0.9932642139278908,0.06,0.9240331491712708,0.9906832298136646,0.9906832298136646,1.0,26.0,True,10.0,7,11,True
DS1,complex random K7 seed37,matched_clean_fpr_diagnostic,-0.33896503084097634,910,strict_greater,,0.9336740331491713,0.9901897977125527,0.08,0.899171270718232,0.967391304347826,0.967391304347826,3.0,26.0,True,10.0,7,11,True
DS1,magnitude all9,matched_clean_fpr_diagnostic,-0.07253682470136491,910,strict_greater,,0.4838121546961326,0.8797400733215848,0.09,0.08011049723756906,0.08385093167701864,0.08385093167701864,5.5,,True,10.0,7,11,True
DS1,phase all9,matched_clean_fpr_diagnostic,-0.3997493525168968,910,strict_greater,,0.8023895027624309,0.9623894640349075,0.07,0.39917127071823205,0.42391304347826086,0.42391304347826086,1.5,39.0,True,10.0,7,11,True
DS2,B0-Exact,matched_clean_fpr_diagnostic,1.4326209677940234,901,strict_greater,,0.9898461538461538,0.9986493380127921,0.01,0.9706293706293706,1.0,1.0,11.0,11.0,True,9.0,7,10,True
DS2,complex K3,matched_clean_fpr_diagnostic,-0.5010720862470395,901,strict_greater,,0.9865454545454545,0.9982509415308451,0.03,0.9706293706293706,1.0,1.0,10.5,10.5,True,11.0,8,11,True
DS2,complex adaptive K5,matched_clean_fpr_diagnostic,-0.4030021545718566,901,strict_greater,,0.9852447552447553,0.9979834063287863,0.03,0.958041958041958,0.9905511811023622,0.9905511811023622,10.5,10.5,True,11.0,8,11,True
DS2,complex adaptive K7,matched_clean_fpr_diagnostic,-0.3598863839709283,901,strict_greater,,0.9828111888111888,0.997668755290602,0.02,0.9174825174825175,0.9574803149606299,0.9574803149606299,10.5,10.5,True,11.0,8,11,True
