scenario,comparator,metric,operating_point,estimate,ci_low,ci_high,reps,block_s,bootstrap_seed,phase_population_hash,delta_definition,paired_on
DS1,Magnitude all9,roc_auc,q99,-0.018089482078401775,-0.039245951417004044,0.00604649493651994,2000,10.0,2361,e25335c7ef5d134f2a5c14210df06768b3c57e09d959c62a08bca3031f8ae44b,Complex-comparator,same timestamp/label/block
DS1,Magnitude all9,post_detection,q99,0.0013850415512465242,0.0,0.0041551246537396835,2000,10.0,3137,539e3031dc494ec133426535f4220bae79069f250de696090acf6a8250f11b94,Complex-comparator,same timestamp/label/block
DS1,Magnitude all9,stable_pre_fpr,q99,0.08080808080808081,0.06060606060606061,0.10101010101010101,2000,10.0,3109,db3e3a97430d30fd4e22c86e9b472a842fece9c823feb3c1c6c95bc5bd292249,Complex-comparator,same timestamp/label/block
DS1,B0 Exact,roc_auc,q99,-0.02940065474691511,-0.06002832617949543,-0.0028318684120833782,2000,10.0,1680,e25335c7ef5d134f2a5c14210df06768b3c57e09d959c62a08bca3031f8ae44b,Complex-comparator,same timestamp/label/block
DS1,B0 Exact,post_detection,q99,-0.01939058171745156,-0.04432132963988922,0.0,2000,10.0,2456,539e3031dc494ec133426535f4220bae79069f250de696090acf6a8250f11b94,Complex-comparator,same timestamp/label/block
DS1,B0 Exact,stable_pre_fpr,q99,0.0707070707070707,0.030303030303030304,0.10101010101010101,2000,10.0,2428,db3e3a97430d30fd4e22c86e9b472a842fece9c823feb3c1c6c95bc5bd292249,Complex-comparator,same timestamp/label/block
DS2,Magnitude all9,roc_auc,q99,-0.025960870981908912,-0.056523015981961355,0.0003181559342694425,2000,10.0,2362,5cc141740f724b3277aba8b89bf071f36807f0cfc054664cb3b72193f60f8f3f,Complex-comparator,same timestamp/label/block
DS2,Magnitude all9,post_detection,q99,0.0028050490883591017,0.0,0.008498583569405138,2000,10.0,3138,034055cd6fd04f74db1239bf4f39c9009b14356fcc590a0723e96ff8d7bfad42,Complex-comparator,same timestamp/label/block
DS2,Magnitude all9,stable_pre_fpr,q99,0.10101010101010101,0.04040404040404041,0.16161616161616163,2000,10.0,3110,db3e3a97430d30fd4e22c86e9b472a842fece9c823feb3c1c6c95bc5bd292249,Complex-comparator,same timestamp/label/block
DS2,B0 Exact,roc_auc,q99,-0.022305807018289547,-0.050000000000000044,-0.0009771102207837973,2000,10.0,1681,5cc141740f724b3277aba8b89bf071f36807f0cfc054664cb3b72193f60f8f3f,Complex-comparator,same timestamp/label/block
