scenario,operating_point,threshold,rows,clean_test_fpr,stable_pre_fpr,post_detection,persistent_detection,roc_auc,pr_auc,sustained3_delay_s,model,diagnostic_only,source_file,roc_definition,phase_definition,status,reason,included_in_attack_go
cleanStatic,q99,4.007979690355477,107,0.205607476635514,,,,,,,Complex all9,false,per_epoch/cleanStatic.csv,,,,,
cleanStatic,q995,4.836281906951478,107,0.11214953271028037,,,,,,,Complex all9,true,per_epoch/cleanStatic.csv,,,,,
cleanStatic,q99,4.143134726391533,107,0.009345794392523364,,,,,,,Magnitude all9,false,per_epoch/cleanStatic.csv,,,,,
cleanStatic,q995,4.836281906951478,107,0.0,,,,,,,Magnitude all9,true,per_epoch/cleanStatic.csv,,,,,
cleanStatic,q99,3.9120856662048844,107,0.17757009345794392,,,,,,,Complex EPL,false,per_epoch/cleanStatic.csv,,,,,
cleanStatic,q995,3.956596130413059,107,0.16822429906542055,,,,,,,Complex EPL,true,per_epoch/cleanStatic.csv,,,,,
cleanStatic,q99,3.8377044824334807,107,0.06542056074766354,,,,,,,Magnitude EPL,false,per_epoch/cleanStatic.csv,,,,,
cleanStatic,q995,4.836281906951478,107,0.0,,,,,,,Magnitude EPL,true,per_epoch/cleanStatic.csv,,,,,
cleanStatic,q99,1.7035537524611113,107,0.009345794392523364,,,,,,,B0 Exact,false,per_epoch/cleanStatic.csv,,,,,
cleanStatic,q995,1.7035537524611113,107,0.009345794392523364,,,,,,,B0 Exact,true,per_epoch/cleanStatic.csv,,,,,
DS1,q99,4.007979690355477,909,,0.09090909090909091,0.9321329639889196,1.0,0.9440037494054114,0.9624802110457056,26.0,Complex all9,false,per_epoch/DS1.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS1,q995,4.836281906951478,909,,0.050505050505050504,0.9307479224376731,1.0,0.9440037494054114,0.9624802110457056,26.0,Complex all9,true,per_epoch/DS1.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS1,q99,4.143134726391533,909,,0.010101010101010102,0.9307479224376731,1.0,0.9620932314838132,0.9873209910578498,26.0,Magnitude all9,false,per_epoch/DS1.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS1,q995,4.836281906951478,909,,0.010101010101010102,0.9307479224376731,1.0,0.9620932314838132,0.9873209910578498,26.0,Magnitude all9,true,per_epoch/DS1.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS1,q99,3.9120856662048844,909,,0.09090909090909091,0.9390581717451524,1.0,0.935441674361342,0.9522232412677714,19.0,Complex EPL,false,per_epoch/DS1.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS1,q995,3.956596130413059,909,,0.08080808080808081,0.9390581717451524,1.0,0.935441674361342,0.9522232412677714,19.0,Complex EPL,true,per_epoch/DS1.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS1,q99,3.8377044824334807,909,,0.020202020202020204,0.9390581717451524,1.0,0.9708931419457735,0.9962537516755091,26.0,Magnitude EPL,false,per_epoch/DS1.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS1,q995,4.836281906951478,909,,0.0,0.9307479224376731,1.0,0.9708931419457735,0.9962537516755091,26.0,Magnitude EPL,true,per_epoch/DS1.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS1,q99,1.7035537524611113,909,,0.020202020202020204,0.9515235457063712,1.0,0.9734044041523265,0.9966469779594158,6.0,B0 Exact,false,per_epoch/DS1.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS1,q995,1.7035537524611113,909,,0.020202020202020204,0.9515235457063712,1.0,0.9734044041523265,0.9966469779594158,6.0,B0 Exact,true,per_epoch/DS1.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS2,q99,4.007979690355477,900,,0.10101010101010101,0.9789621318373072,1.0,0.9678340204286908,0.9650144387623444,N/A: already alarming in stable-pre,Complex all9,false,per_epoch/DS2.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS2,q995,4.836281906951478,900,,0.050505050505050504,0.9775596072931276,1.0,0.9678340204286908,0.9650144387623444,N/A: already alarming in stable-pre,Complex all9,true,per_epoch/DS2.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS2,q99,4.143134726391533,900,,0.0,0.9761570827489481,1.0,0.9937948914105997,0.9991759626417605,10.5,Magnitude all9,false,per_epoch/DS2.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS2,q995,4.836281906951478,900,,0.0,0.9761570827489481,1.0,0.9937948914105997,0.9991759626417605,10.5,Magnitude all9,true,per_epoch/DS2.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS2,q99,3.9120856662048844,900,,0.09090909090909091,0.9817671809256662,1.0,0.9795571422499894,0.9769702120999252,10.0,Complex EPL,false,per_epoch/DS2.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS2,q995,3.956596130413059,900,,0.09090909090909091,0.9817671809256662,1.0,0.9795571422499894,0.9769702120999252,10.0,Complex EPL,true,per_epoch/DS2.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS2,q99,3.8377044824334807,900,,0.06060606060606061,0.9761570827489481,1.0,0.9906569198294304,0.9987839909036136,10.5,Magnitude EPL,false,per_epoch/DS2.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS2,q995,4.836281906951478,900,,0.0,0.9747545582047685,1.0,0.9906569198294304,0.9987839909036136,10.5,Magnitude EPL,true,per_epoch/DS2.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS2,q99,1.7035537524611113,900,,0.0,0.9719495091164095,1.0,0.9901398274469804,0.9986998770555121,11.0,B0 Exact,false,per_epoch/DS2.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS2,q995,1.7035537524611113,900,,0.0,0.9719495091164095,1.0,0.9901398274469804,0.9986998770555121,11.0,B0 Exact,true,per_epoch/DS2.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
DS3,q99,4.007979690355477,901,,0.13131313131313133,0.957983193277311,1.0,0.9444020032255326,0.9484803349966863,N/A: already alarming in stable-pre,Complex all9,false,per_epoch/DS3.csv,stable-pre label 0 versus wholly-post label 1; transition excluded,actual source_start/source_end,,,
