scenario,threshold,comparison,held_out_clean_fpr,stable_pre_fpr,roc_auc,pr_auc,post_detection,persistent_detection,first_sustained_3_delay_s,q99,q995,count,alarms,exact_binomial_ci_low,exact_binomial_ci_high,held_out_clean_exact_binomial_ci_low,held_out_clean_exact_binomial_ci_high,held_out_clean_count,stable_pre_exact_binomial_ci_low,stable_pre_exact_binomial_ci_high,stable_pre_count,post_exact_binomial_ci_low,post_exact_binomial_ci_high,post_count,persistent_exact_binomial_ci_low,persistent_exact_binomial_ci_high,persistent_count,model,operating_point,calibration_q99,calibration_q995,calibration_count,delta_roc_auc_vs_primary,delta_post_detection_vs_primary,matched_target_fpr,common_timestamp_count
cleanStatic,0.634626592894918,strict_greater,0.0,,,,,,,0.6144736418127255,0.6287782117346526,107,0,0.0,0.033887999474011485,0.0,0.033887999474011485,107,,,0,,,0,,,0,ensemble::complex IG K5::policyNone,q99,0.634626592894918,0.639766953377429,125,,,,
cleanStatic,0.639766953377429,strict_greater,0.0,,,,,,,0.6144736418127255,0.6287782117346526,107,0,0.0,0.033887999474011485,0.0,0.033887999474011485,107,,,0,,,0,,,0,ensemble::complex IG K5::policyNone,q995,0.634626592894918,0.639766953377429,125,,,,
DS1,0.634626592894918,strict_greater,,0.13,0.9755739972337483,0.9968176275174618,0.9557399723374828,1.0,0.0,0.7028881559979809,0.7028881559979809,723,691,0.9380899197732541,0.969532335619718,,,0,0.07107304618542953,0.21204067708744978,100,0.9380899197732541,0.969532335619718,723,0.9942794430126666,1.0,643,ensemble::complex IG K5::policyNone,q99,0.634626592894918,0.639766953377429,125,-0.00123098201936378,-0.008298755186721962,,
DS1,0.639766953377429,strict_greater,,0.1,0.9755739972337483,0.9968176275174618,0.9515905947441217,1.0,0.0,0.7028881559979809,0.7028881559979809,723,688,0.9333144405570661,0.9660528066339124,,,0,0.04900468922148595,0.17622259774002266,100,0.9333144405570661,0.9660528066339124,723,0.9942794430126666,1.0,643,ensemble::complex IG K5::policyNone,q995,0.634626592894918,0.639766953377429,125,-0.00123098201936378,-0.009681881051175734,,
DS2,0.634626592894918,strict_greater,,0.16,0.7452100840336134,0.9556207636261081,0.49019607843137253,0.444794952681388,0.0,0.665254697038124,0.665254697038124,714,350,0.45293351131274934,0.5275399568737784,,,0,0.09431028997394623,0.24678759741086234,100,0.45293351131274934,0.5275399568737784,714,0.4056592361959439,0.4844470084599021,634,ensemble::complex IG K5::policyNone,q99,0.634626592894918,0.639766953377429,125,0.037997198879551775,-0.07983193277310924,,
DS2,0.639766953377429,strict_greater,,0.11,0.7452100840336134,0.9556207636261081,0.4369747899159664,0.38958990536277605,0.0,0.665254697038124,0.665254697038124,714,312,0.4002174459007776,0.47425494854851136,,,0,0.05620702028548746,0.18830113219644257,100,0.4002174459007776,0.47425494854851136,714,0.3514325421360198,0.4287804518161569,634,ensemble::complex IG K5::policyNone,q995,0.634626592894918,0.639766953377429,125,0.037997198879551775,-0.07563025210084029,,
DS3,0.634626592894918,strict_greater,,0.12,0.40121508379888265,0.891456508374937,0.3268156424581006,0.26572327044025157,0.0,0.6617200614925595,0.6617200614925595,716,234,0.2925346154774839,0.3625312342762371,,,0,0.06356890256115931,0.20023568361996882,100,0.2925346154774839,0.3625312342762371,716,0.23176249163726484,0.3018752907232869,636,ensemble::complex IG K5::policyNone,q99,0.634626592894918,0.639766953377429,125,0.003156424581005568,-0.025139664804469275,,
DS3,0.639766953377429,strict_greater,,0.08,0.40121508379888265,0.891456508374937,0.31424581005586594,0.2578616352201258,0.5,0.6617200614925595,0.6617200614925595,716,225,0.28036987270530095,0.3496608440216807,,,0,0.0351715625181628,0.15155763586442095,100,0.28036987270530095,0.3496608440216807,716,0.22426762436779826,0.293721050688514,636,ensemble::complex IG K5::policyNone,q995,0.634626592894918,0.639766953377429,125,0.003156424581005568,-0.03631284916201116,,
DS7,0.634626592894918,strict_greater,,1.0,0.17237798546209762,0.5925873703952423,1.0,1.0,0.0,1.4887000811675037,1.4892191738426401,321,321,0.98857394263048,1.0,,,0,0.9697270274225799,1.0,120,0.98857394263048,1.0,321,0.9848099961256375,1.0,241,ensemble::complex IG K5::policyNone,q99,0.634626592894918,0.639766953377429,125,-0.022949117341640707,0.0,,
DS7,0.639766953377429,strict_greater,,1.0,0.17237798546209762,0.5925873703952423,1.0,1.0,0.0,1.4887000811675037,1.4892191738426401,321,321,0.98857394263048,1.0,,,0,0.9697270274225799,1.0,120,0.98857394263048,1.0,321,0.9848099961256375,1.0,241,ensemble::complex IG K5::policyNone,q995,0.634626592894918,0.639766953377429,125,-0.022949117341640707,0.0,,
