scenario,metric,ci_low,ci_high,reps,block_seconds,phase_aware,model,operating_point
cleanStatic,clean_fpr,0.0,0.037037037037037035,100,10,False,seed::complex IG K5::model101::policyNone,q99
cleanStatic,clean_fpr,0.0,0.0,100,10,False,seed::complex IG K5::model101::policyNone,q995
DS1,post_detection,0.9391424619640387,1.0,100,10,True,seed::complex IG K5::model101::policyNone,q99
DS1,roc_auc,0.9425728518326417,1.0,100,10,True,seed::complex IG K5::model101::policyNone,q99
DS1,pr_auc,0.9921386460953486,1.0,100,10,True,seed::complex IG K5::model101::policyNone,q99
DS1,post_detection,0.9286652835408022,1.0,100,10,True,seed::complex IG K5::model101::policyNone,q995
DS1,roc_auc,0.9425728518326417,1.0,100,10,True,seed::complex IG K5::model101::policyNone,q995
DS1,pr_auc,0.9921386460953486,1.0,100,10,True,seed::complex IG K5::model101::policyNone,q995
DS2,post_detection,0.5188725490196079,0.6917717086834732,100,10,True,seed::complex IG K5::model101::policyNone,q99
DS2,roc_auc,0.5627112561126145,0.8058977591036415,100,10,True,seed::complex IG K5::model101::policyNone,q99
DS2,pr_auc,0.8976656317604046,0.9624689300296256,100,10,True,seed::complex IG K5::model101::policyNone,q99
DS2,post_detection,0.43522408963585435,0.609453781512605,100,10,True,seed::complex IG K5::model101::policyNone,q995
DS2,roc_auc,0.5627112561126145,0.8058977591036415,100,10,True,seed::complex IG K5::model101::policyNone,q995
DS2,pr_auc,0.8976656317604046,0.9624689300296256,100,10,True,seed::complex IG K5::model101::policyNone,q995
DS3,post_detection,0.24506563461176323,0.5288058659217876,100,10,True,seed::complex IG K5::model101::policyNone,q99
DS3,roc_auc,0.3010310754189944,0.5971745084269663,100,10,True,seed::complex IG K5::model101::policyNone,q99
DS3,pr_auc,0.8547119902248314,0.93519430897873,100,10,True,seed::complex IG K5::model101::policyNone,q99
DS3,post_detection,0.22537564339966104,0.5073324022346367,100,10,True,seed::complex IG K5::model101::policyNone,q995
DS3,roc_auc,0.3010310754189944,0.5971745084269663,100,10,True,seed::complex IG K5::model101::policyNone,q995
DS3,pr_auc,0.8547119902248314,0.93519430897873,100,10,True,seed::complex IG K5::model101::policyNone,q995
DS7,post_detection,1.0,1.0,100,10,True,seed::complex IG K5::model101::policyNone,q99
DS7,roc_auc,0.07804971443406022,0.3069392523364486,100,10,True,seed::complex IG K5::model101::policyNone,q99
DS7,pr_auc,0.5146251588904682,0.6559995513527375,100,10,True,seed::complex IG K5::model101::policyNone,q99
DS7,post_detection,1.0,1.0,100,10,True,seed::complex IG K5::model101::policyNone,q995
DS7,roc_auc,0.07804971443406022,0.3069392523364486,100,10,True,seed::complex IG K5::model101::policyNone,q995
DS7,pr_auc,0.5146251588904682,0.6559995513527375,100,10,True,seed::complex IG K5::model101::policyNone,q995
DS8,post_detection,1.0,1.0,100,10,True,seed::complex IG K5::model101::policyNone,q99
DS8,roc_auc,0.1399129050925926,0.31449681712962957,100,10,True,seed::complex IG K5::model101::policyNone,q99
DS8,pr_auc,0.7257547480143961,0.8016012841734462,100,10,True,seed::complex IG K5::model101::policyNone,q99
DS8,post_detection,1.0,1.0,100,10,True,seed::complex IG K5::model101::policyNone,q995
DS8,roc_auc,0.1399129050925926,0.31449681712962957,100,10,True,seed::complex IG K5::model101::policyNone,q995
DS8,pr_auc,0.7257547480143961,0.8016012841734462,100,10,True,seed::complex IG K5::model101::policyNone,q995
cleanStatic,clean_fpr,0.0,0.0,100,10,False,seed::complex IG K5::model202::policyNone,q99
cleanStatic,clean_fpr,0.0,0.0,100,10,False,seed::complex IG K5::model202::policyNone,q995
DS1,post_detection,0.8339943342776204,0.997372060857538,100,10,True,seed::complex IG K5::model202::policyNone,q99
DS1,roc_auc,0.9311777316735823,0.9986901798063624,100,10,True,seed::complex IG K5::model202::policyNone,q99
DS1,pr_auc,0.9907118925748295,0.9998255918625224,100,10,True,seed::complex IG K5::model202::policyNone,q99
DS1,post_detection,0.8339943342776204,0.997372060857538,100,10,True,seed::complex IG K5::model202::policyNone,q995
DS1,roc_auc,0.9311777316735823,0.9986901798063624,100,10,True,seed::complex IG K5::model202::policyNone,q995
DS1,pr_auc,0.9907118925748295,0.9998255918625224,100,10,True,seed::complex IG K5::model202::policyNone,q995
DS2,post_detection,0.005624792289797275,0.02042206713193751,100,10,True,seed::complex IG K5::model202::policyNone,q99
DS2,roc_auc,0.18804619474908607,0.331763014527845,100,10,True,seed::complex IG K5::model202::policyNone,q99
DS2,pr_auc,0.7838249785448058,0.8390802418803288,100,10,True,seed::complex IG K5::model202::policyNone,q99
DS2,post_detection,0.005624792289797275,0.02042206713193751,100,10,True,seed::complex IG K5::model202::policyNone,q995
DS2,roc_auc,0.18804619474908607,0.331763014527845,100,10,True,seed::complex IG K5::model202::policyNone,q995
DS2,pr_auc,0.7838249785448058,0.8390802418803288,100,10,True,seed::complex IG K5::model202::policyNone,q995
DS3,post_detection,0.012569832402234637,0.05865921787709497,100,10,True,seed::complex IG K5::model202::policyNone,q99
DS3,roc_auc,0.053417829232314355,0.18675314245810054,100,10,True,seed::complex IG K5::model202::policyNone,q99
DS3,pr_auc,0.7359018723857824,0.8092739741125147,100,10,True,seed::complex IG K5::model202::policyNone,q99
DS3,post_detection,0.012569832402234637,0.05865921787709497,100,10,True,seed::complex IG K5::model202::policyNone,q995
DS3,roc_auc,0.053417829232314355,0.18675314245810054,100,10,True,seed::complex IG K5::model202::policyNone,q995
DS3,pr_auc,0.7359018723857824,0.8092739741125147,100,10,True,seed::complex IG K5::model202::policyNone,q995
DS7,post_detection,1.0,1.0,100,10,True,seed::complex IG K5::model202::policyNone,q99
DS7,roc_auc,0.05573533229491173,0.3379331961442757,100,10,True,seed::complex IG K5::model202::policyNone,q99
DS7,pr_auc,0.521700690868205,0.7234125334603257,100,10,True,seed::complex IG K5::model202::policyNone,q99
DS7,post_detection,1.0,1.0,100,10,True,seed::complex IG K5::model202::policyNone,q995
DS7,roc_auc,0.05573533229491173,0.3379331961442757,100,10,True,seed::complex IG K5::model202::policyNone,q995
DS7,pr_auc,0.521700690868205,0.7234125334603257,100,10,True,seed::complex IG K5::model202::policyNone,q995
DS8,post_detection,1.0,1.0,100,10,True,seed::complex IG K5::model202::policyNone,q99
DS8,roc_auc,0.2765066550925926,0.5314409722222222,100,10,True,seed::complex IG K5::model202::policyNone,q99
DS8,pr_auc,0.8336064755272719,0.912281280158302,100,10,True,seed::complex IG K5::model202::policyNone,q99
DS8,post_detection,1.0,1.0,100,10,True,seed::complex IG K5::model202::policyNone,q995
DS8,roc_auc,0.2765066550925926,0.5314409722222222,100,10,True,seed::complex IG K5::model202::policyNone,q995
