scenario,decision_time_s,score,phase,model,model_seed,policy_seed,alarm_primary_q99,alarm_primary_q995,alarm_matched_clean_diagnostic,threshold_source,tracked_prn_count
DS2,7.5,0.0,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS2,7.5,0.6678003108235743,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,9
DS2,8.0,0.0,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS2,8.0,0.6600823227136942,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,9
DS2,8.5,0.0,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS2,8.5,0.673767482067061,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,9
DS2,9.0,0.0,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS2,9.0,0.7027804598671574,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,9
DS2,9.5,0.0,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS2,9.5,0.6958758203011973,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,9
DS2,10.0,0.0,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS2,10.0,0.6929048002945345,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,9
DS2,10.5,0.0,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS2,10.5,0.7143174847282303,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,9
DS2,11.0,0.0,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS2,11.0,0.7441460686108035,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,9
DS2,11.5,0.0,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS2,11.5,0.7783130647681978,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,9
DS2,12.0,0.0,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS2,12.0,0.7626124230177295,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,9
DS2,12.5,0.0,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS2,12.5,0.7038120700082887,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,9
DS2,13.0,0.0,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS2,13.0,0.6437085240466188,excluded,primary 3-seed mean complex IG K7,mean,,True,False,True,primary clean calibration,9
DS2,13.5,0.14326730218241304,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS2,13.5,0.5818638745647065,excluded,primary 3-seed mean complex IG K7,mean,,False,False,False,primary clean calibration,9
DS2,14.0,0.16199048468663993,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS2,14.0,0.576923345280031,excluded,primary 3-seed mean complex IG K7,mean,,False,False,False,primary clean calibration,9
DS2,14.5,0.15752331852607132,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS2,14.5,0.5785381674490503,excluded,primary 3-seed mean complex IG K7,mean,,False,False,False,primary clean calibration,9
DS2,15.0,0.26140979107696655,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS2,15.0,0.5848820773507822,excluded,primary 3-seed mean complex IG K7,mean,,False,False,False,primary clean calibration,9
DS2,15.5,0.2063549440575565,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS2,15.5,0.5929206335743944,excluded,primary 3-seed mean complex IG K7,mean,,False,False,False,primary clean calibration,9
DS2,16.0,0.16506380879299898,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS2,16.0,0.5839279752703409,excluded,primary 3-seed mean complex IG K7,mean,,False,False,False,primary clean calibration,9
DS2,16.5,0.1970238607029824,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS2,16.5,0.5902674030513823,excluded,primary 3-seed mean complex IG K7,mean,,False,False,False,primary clean calibration,9
DS2,17.0,0.2214607914658088,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS2,17.0,0.5874427805579754,excluded,primary 3-seed mean complex IG K7,mean,,False,False,False,primary clean calibration,9
DS2,17.5,0.2397884895379286,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS2,17.5,0.5857439187194519,excluded,primary 3-seed mean complex IG K7,mean,,False,False,False,primary clean calibration,9
DS2,18.0,0.18878864411634277,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS2,18.0,0.5979890598287447,excluded,primary 3-seed mean complex IG K7,mean,,False,False,False,primary clean calibration,8
DS2,18.5,0.18750374046128104,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS2,18.5,0.6040262113277094,excluded,primary 3-seed mean complex IG K7,mean,,False,False,False,primary clean calibration,8
DS2,19.0,0.2534846162641608,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS2,19.0,0.5996631432193551,excluded,primary 3-seed mean complex IG K7,mean,,False,False,False,primary clean calibration,8
DS2,19.5,0.3650640212982563,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS2,19.5,0.5987992985652254,excluded,primary 3-seed mean complex IG K7,mean,,False,False,False,primary clean calibration,8
DS2,20.0,0.3197102733477162,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS2,20.0,0.6090646191762984,excluded,primary 3-seed mean complex IG K7,mean,,False,False,False,primary clean calibration,8
DS2,20.5,0.3526395159289872,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS2,20.5,0.6139467563630113,excluded,primary 3-seed mean complex IG K7,mean,,False,False,False,primary clean calibration,8
DS2,21.0,0.33817253288531235,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS2,21.0,0.6191055736147516,excluded,primary 3-seed mean complex IG K7,mean,,False,False,False,primary clean calibration,8
DS2,21.5,0.4542437210608731,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS2,21.5,0.6226352305871566,excluded,primary 3-seed mean complex IG K7,mean,,False,False,False,primary clean calibration,8
DS2,22.0,0.3865950481696787,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS2,22.0,0.6437944973678583,excluded,primary 3-seed mean complex IG K7,mean,,True,False,True,primary clean calibration,8
DS2,22.5,0.363639182065831,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS2,22.5,0.6260347764951223,excluded,primary 3-seed mean complex IG K7,mean,,False,False,False,primary clean calibration,8
DS2,23.0,0.44767994564950897,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS2,23.0,0.6134232507647268,excluded,primary 3-seed mean complex IG K7,mean,,False,False,False,primary clean calibration,8
DS2,23.5,0.3506040621820839,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS2,23.5,0.6243549831138424,excluded,primary 3-seed mean complex IG K7,mean,,False,False,False,primary clean calibration,8
DS2,24.0,0.30886530401058687,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
DS2,24.0,0.6562755972930325,excluded,primary 3-seed mean complex IG K7,mean,,True,True,True,primary clean calibration,9
DS2,24.5,0.432263299404829,excluded,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
