scenario,decision_time_s,score,phase,model,model_seed,policy_seed,alarm_primary_q99,alarm_primary_q995,alarm_matched_clean_diagnostic,threshold_source,tracked_prn_count
cleanStatic,347.5,0.9234048573029933,calibration,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
cleanStatic,347.5,0.6203278245011073,calibration,primary 3-seed mean complex IG K7,mean,,False,False,False,primary clean calibration,11
cleanStatic,348.0,1.1489253157953556,calibration,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
cleanStatic,348.0,0.6178801915153221,calibration,primary 3-seed mean complex IG K7,mean,,False,False,False,primary clean calibration,11
cleanStatic,348.5,1.1018863043655616,calibration,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
cleanStatic,348.5,0.6108723609866147,calibration,primary 3-seed mean complex IG K7,mean,,False,False,False,primary clean calibration,11
cleanStatic,349.0,0.9236119171394812,calibration,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
cleanStatic,349.0,0.6088429237728825,calibration,primary 3-seed mean complex IG K7,mean,,False,False,False,primary clean calibration,11
cleanStatic,349.5,0.9034471306482621,calibration,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
cleanStatic,349.5,0.5905271773090958,calibration,primary 3-seed mean complex IG K7,mean,,False,False,False,primary clean calibration,11
cleanStatic,350.0,0.9177776655052415,calibration,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
cleanStatic,350.0,0.5881288274354801,calibration,primary 3-seed mean complex IG K7,mean,,False,False,False,primary clean calibration,11
cleanStatic,350.5,1.1447049219470418,calibration,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
cleanStatic,350.5,0.566134722639287,calibration,primary 3-seed mean complex IG K7,mean,,False,False,False,primary clean calibration,11
cleanStatic,351.0,1.0987210089793262,calibration,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
cleanStatic,351.0,0.5519211071451436,calibration,primary 3-seed mean complex IG K7,mean,,False,False,False,primary clean calibration,11
cleanStatic,351.5,0.9973275518744811,calibration,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
cleanStatic,351.5,0.5571093503564041,calibration,primary 3-seed mean complex IG K7,mean,,False,False,False,primary clean calibration,11
cleanStatic,352.0,0.8451928527711708,calibration,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
cleanStatic,352.0,0.5566115144616399,calibration,primary 3-seed mean complex IG K7,mean,,False,False,False,primary clean calibration,11
cleanStatic,352.5,1.0902663123964889,calibration,B0 Exact,NA,,False,False,False,B0 Exact clean calibration,
cleanStatic,352.5,0.5667891467844604,calibration,primary 3-seed mean complex IG K7,mean,,False,False,False,primary clean calibration,11
