scenario,phase,raw_rows,valid_rows,rejected_rows,valid_rate,rejection_rate,rejected_prn_count,valid_prn_count,valid_window_count,window_valid_samples,window_rejected_samples,tracked_N_min,tracked_N_median,tracked_N_max
cleanStatic,calibration,72694,72135,559,0.9923102319311085,0.007689768068891518,2,12,1456,140874,1100,10,11.0,11
cleanStatic,clean_test,33090,33090,0,1.0,0.0,0,11,1309,65450,0,11,11.0,11
cleanStatic,excluded,31652,31435,217,0.993144193099962,0.006855806900037912,2,12,0,0,0,0,0,0
cleanStatic,train,362743,360929,1814,0.9949992143197801,0.00500078568021988,7,18,5019,716607,3536,7,11.0,11
cleanStatic,validation,53460,53457,3,0.9999438832772166,5.611672278338945e-05,1,11,1684,105883,6,10,11.0,11
DS1,excluded,157075,154155,2920,0.981410154384848,0.018589845615151996,7,14,635,303332,4568,8,11.0,11
DS1,persistent,238813,155960,82853,0.6530632754498289,0.34693672455017105,8,15,6860,312221,107206,10,11.0,11
DS1,ramp,15335,14542,793,0.9482882295402674,0.05171177045973264,1,11,412,30337,1663,10,10.0,11
DS1,stable_pre,51899,48407,3492,0.9327154665793175,0.06728453342068248,2,12,1056,97705,6941,10,11.0,11
DS1,takeover,14829,9301,5528,0.6272169397801605,0.3727830602198395,4,11,402,19118,2461,10,10.0,11
DS1,transition,19626,18369,1257,0.9359523081626414,0.0640476918373586,1,11,420,36810,2442,10,10.5,11
DS2,excluded,136625,136623,2,0.9999853613906678,1.4638609332113449e-05,1,11,549,267618,0,7,9.0,10
DS2,persistent,245548,244108,1440,0.9941355661622168,0.005864433837783244,4,15,6904,486245,2827,10,11.0,11
DS2,ramp,12036,12035,1,0.99991691591891,8.308408109006314e-05,1,11,440,26037,10,11,11.0,11
DS2,stable_pre,48325,46153,2172,0.9550543197102949,0.04494568028970512,1,11,1034,94588,4344,10,10.0,11
DS2,takeover,10725,10725,0,1.0,0.0,0,11,440,22000,0,11,11.0,11
DS2,transition,20909,20904,5,0.9997608685255154,0.00023913147448467167,1,11,423,41812,6,10,11.0,11
DS3,excluded,221173,217158,4015,0.9818467896171775,0.018153210382822495,5,15,646,423782,7668,9,11.0,12
DS3,persistent,296352,292832,3520,0.9881222330201922,0.011877766979807795,9,16,6878,586799,7003,9,11.0,11
DS3,ramp,10725,10724,1,0.9999067599067599,9.324009324009324e-05,1,11,440,21999,1,11,11.0,11
DS3,stable_pre,48314,48032,282,0.9941631825143851,0.005836817485614936,2,12,1037,101772,745,10,10.0,11
DS3,takeover,29310,27712,1598,0.9454793585806892,0.05452064141931082,4,13,423,55095,3125,9,11.0,11
DS3,transition,10725,10725,0,1.0,0.0,0,11,440,22000,0,11,11.0,11
DS7,excluded,165544,164965,579,0.9965024404387958,0.0034975595612042718,2,12,608,324605,1158,7,10.0,11
DS7,persistent,94821,94252,569,0.9939992195821601,0.00600078041783993,4,14,2488,187281,1123,10,10.0,11
DS7,ramp,10725,10725,0,1.0,0.0,0,11,440,22000,0,11,11.0,11
DS7,stable_pre,50164,49894,270,0.9946176540945698,0.005382345905430189,1,12,1237,100741,528,10,10.0,11
DS7,takeover,10725,10725,0,1.0,0.0,0,11,440,22000,0,11,11.0,11
DS7,transition,19767,19767,0,1.0,0.0,0,11,440,41509,0,11,11.0,11
DS8,excluded,153305,153061,244,0.9984084015524608,0.0015915984475392193,1,12,594,301865,470,8,10.0,11
DS8,persistent,210984,210657,327,0.9984501194403367,0.001549880559663292,4,14,6924,421370,643,10,11.0,11
DS8,ramp,21179,21177,2,0.9999055668350725,9.443316492752255e-05,1,11,430,42829,4,10,11.0,11
DS8,stable_pre,58749,58696,53,0.9990978569847997,0.0009021430152002587,2,12,1233,118731,114,9,10.0,11
DS8,takeover,10725,10725,0,1.0,0.0,0,11,440,22000,0,11,11.0,11
DS8,transition,9750,9750,0,1.0,0.0,0,10,400,20000,0,10,10.0,10
