scenario,model,model_seed,policy_seed,ordered_path,count,fraction
cleanStatic,complex K3,101,,3-5,8844,1.0
cleanStatic,complex fixed K5,101,,3-5-2-6,8844,1.0
cleanStatic,complex IG K5,101,,3-5-0-1,2821,0.318973315241972
cleanStatic,complex IG K5,101,,3-5-0-2,1307,0.14778380823156942
cleanStatic,complex IG K5,101,,3-5-0-6,36,0.004070556309362279
cleanStatic,complex IG K5,101,,3-5-0-7,19,0.0021483491632745366
cleanStatic,complex IG K5,101,,3-5-0-8,18,0.0020352781546811396
cleanStatic,complex IG K5,101,,3-5-1-0,2116,0.2392582541836273
cleanStatic,complex IG K5,101,,3-5-1-2,443,0.05009045680687472
cleanStatic,complex IG K5,101,,3-5-1-6,17,0.001922207146087743
cleanStatic,complex IG K5,101,,3-5-1-7,9,0.0010176390773405698
cleanStatic,complex IG K5,101,,3-5-1-8,1,0.00011307100859339665
cleanStatic,complex IG K5,101,,3-5-2-0,1079,0.12200361827227499
cleanStatic,complex IG K5,101,,3-5-2-1,507,0.057327001356852106
cleanStatic,complex IG K5,101,,3-5-2-6,3,0.00033921302578018993
cleanStatic,complex IG K5,101,,3-5-2-7,8,0.0009045680687471732
cleanStatic,complex IG K5,101,,3-5-2-8,7,0.0007914970601537765
cleanStatic,complex IG K5,101,,3-5-6-0,107,0.012098597919493442
cleanStatic,complex IG K5,101,,3-5-6-1,40,0.004522840343735866
cleanStatic,complex IG K5,101,,3-5-6-2,26,0.002939846223428313
cleanStatic,complex IG K5,101,,3-5-6-8,1,0.00011307100859339665
cleanStatic,complex IG K5,101,,3-5-7-0,95,0.010741745816372682
cleanStatic,complex IG K5,101,,3-5-7-1,38,0.004296698326549073
cleanStatic,complex IG K5,101,,3-5-7-2,14,0.001582994120307553
cleanStatic,complex IG K5,101,,3-5-7-8,1,0.00011307100859339665
cleanStatic,complex IG K5,101,,3-5-8-0,61,0.006897331524197196
cleanStatic,complex IG K5,101,,3-5-8-1,52,0.005879692446856626
cleanStatic,complex IG K5,101,,3-5-8-2,15,0.0016960651289009499
cleanStatic,complex IG K5,101,,3-5-8-6,2,0.0002261420171867933
cleanStatic,complex IG K5,101,,3-5-8-7,1,0.00011307100859339665
cleanStatic,complex fixed K7,101,,3-5-2-6-1-7,8844,1.0
cleanStatic,complex IG K7,101,,3-5-0-1-2-6,2331,0.2635685210312076
cleanStatic,complex IG K7,101,,3-5-0-1-2-7,395,0.044663048394391676
cleanStatic,complex IG K7,101,,3-5-0-1-2-8,76,0.008593396653098146
cleanStatic,complex IG K7,101,,3-5-0-1-6-2,12,0.0013568521031207597
cleanStatic,complex IG K7,101,,3-5-0-1-7-2,4,0.0004522840343735866
cleanStatic,complex IG K7,101,,3-5-0-1-8-2,3,0.00033921302578018993
cleanStatic,complex IG K7,101,,3-5-0-2-1-6,1114,0.12596110357304388
cleanStatic,complex IG K7,101,,3-5-0-2-1-7,156,0.017639077340569877
cleanStatic,complex IG K7,101,,3-5-0-2-1-8,37,0.004183627317955676
cleanStatic,complex IG K7,101,,3-5-0-6-1-2,29,0.0032790592492085028
cleanStatic,complex IG K7,101,,3-5-0-6-2-1,7,0.0007914970601537765
cleanStatic,complex IG K7,101,,3-5-0-7-1-2,15,0.0016960651289009499
cleanStatic,complex IG K7,101,,3-5-0-7-2-1,4,0.0004522840343735866
cleanStatic,complex IG K7,101,,3-5-0-8-1-2,15,0.0016960651289009499
cleanStatic,complex IG K7,101,,3-5-0-8-2-1,3,0.00033921302578018993
cleanStatic,complex IG K7,101,,3-5-1-0-2-6,1766,0.1996834011759385
cleanStatic,complex IG K7,101,,3-5-1-0-2-7,277,0.031320669380370876
cleanStatic,complex IG K7,101,,3-5-1-0-2-8,57,0.006445047489823609
cleanStatic,complex IG K7,101,,3-5-1-0-6-2,8,0.0009045680687471732
cleanStatic,complex IG K7,101,,3-5-1-0-7-2,2,0.0002261420171867933
cleanStatic,complex IG K7,101,,3-5-1-0-8-2,6,0.0006784260515603799
cleanStatic,complex IG K7,101,,3-5-1-2-0-6,356,0.040253279059249206
cleanStatic,complex IG K7,101,,3-5-1-2-0-7,74,0.008367254635911352
cleanStatic,complex IG K7,101,,3-5-1-2-0-8,13,0.0014699231117141565
cleanStatic,complex IG K7,101,,3-5-1-6-0-2,16,0.0018091361374943465
cleanStatic,complex IG K7,101,,3-5-1-6-2-0,1,0.00011307100859339665
cleanStatic,complex IG K7,101,,3-5-1-7-0-2,9,0.0010176390773405698
cleanStatic,complex IG K7,101,,3-5-1-8-0-2,1,0.00011307100859339665
cleanStatic,complex IG K7,101,,3-5-2-0-1-6,900,0.10176390773405698
cleanStatic,complex IG K7,101,,3-5-2-0-1-7,140,0.015829941203075532
cleanStatic,complex IG K7,101,,3-5-2-0-1-8,38,0.004296698326549073
cleanStatic,complex IG K7,101,,3-5-2-0-7-1,1,0.00011307100859339665
cleanStatic,complex IG K7,101,,3-5-2-1-0-6,424,0.04794210764360018
cleanStatic,complex IG K7,101,,3-5-2-1-0-7,72,0.008141112618724558
cleanStatic,complex IG K7,101,,3-5-2-1-0-8,10,0.0011307100859339666
cleanStatic,complex IG K7,101,,3-5-2-1-8-0,1,0.00011307100859339665
cleanStatic,complex IG K7,101,,3-5-2-6-0-1,2,0.0002261420171867933
cleanStatic,complex IG K7,101,,3-5-2-6-1-0,1,0.00011307100859339665
cleanStatic,complex IG K7,101,,3-5-2-7-0-1,4,0.0004522840343735866
cleanStatic,complex IG K7,101,,3-5-2-7-1-0,4,0.0004522840343735866
cleanStatic,complex IG K7,101,,3-5-2-8-0-1,5,0.0005653550429669833
cleanStatic,complex IG K7,101,,3-5-2-8-1-0,2,0.0002261420171867933
cleanStatic,complex IG K7,101,,3-5-6-0-1-2,87,0.00983717774762551
cleanStatic,complex IG K7,101,,3-5-6-0-2-1,20,0.002261420171867933
cleanStatic,complex IG K7,101,,3-5-6-1-0-2,38,0.004296698326549073
cleanStatic,complex IG K7,101,,3-5-6-1-2-0,2,0.0002261420171867933
cleanStatic,complex IG K7,101,,3-5-6-2-0-1,23,0.002600633197648123
cleanStatic,complex IG K7,101,,3-5-6-2-1-0,3,0.00033921302578018993
cleanStatic,complex IG K7,101,,3-5-6-8-1-0,1,0.00011307100859339665
cleanStatic,complex IG K7,101,,3-5-7-0-1-2,77,0.008706467661691543
cleanStatic,complex IG K7,101,,3-5-7-0-2-1,18,0.0020352781546811396
cleanStatic,complex IG K7,101,,3-5-7-1-0-2,33,0.0037313432835820895
cleanStatic,complex IG K7,101,,3-5-7-1-2-0,5,0.0005653550429669833
cleanStatic,complex IG K7,101,,3-5-7-2-0-1,11,0.0012437810945273632
cleanStatic,complex IG K7,101,,3-5-7-2-1-0,3,0.00033921302578018993
cleanStatic,complex IG K7,101,,3-5-7-8-0-1,1,0.00011307100859339665
cleanStatic,complex IG K7,101,,3-5-8-0-1-2,43,0.0048620533695160565
cleanStatic,complex IG K7,101,,3-5-8-0-1-6,1,0.00011307100859339665
cleanStatic,complex IG K7,101,,3-5-8-0-2-1,17,0.001922207146087743
cleanStatic,complex IG K7,101,,3-5-8-1-0-2,47,0.005314337403889643
cleanStatic,complex IG K7,101,,3-5-8-1-2-0,5,0.0005653550429669833
cleanStatic,complex IG K7,101,,3-5-8-2-0-1,10,0.0011307100859339666
cleanStatic,complex IG K7,101,,3-5-8-2-1-0,5,0.0005653550429669833
cleanStatic,complex IG K7,101,,3-5-8-6-0-1,1,0.00011307100859339665
cleanStatic,complex IG K7,101,,3-5-8-6-0-2,1,0.00011307100859339665
cleanStatic,complex IG K7,101,,3-5-8-7-0-1,1,0.00011307100859339665
cleanStatic,complex all9,101,,0-1-2-3-5-6-7-8,8844,1.0
