scenario,model,model_seed,policy_seed,unique_ordered_paths,modal_path,modal_fraction,collapsed_ge_95pct,path_entropy,scenario_phase_entropy_json,tap_frequency_json,mean_inference_ms,mean_queried_side_count,correlation_fraction,interpretation,roc_auc,delta_roc_auc_vs_fixed,delta_roc_auc_vs_random_mean
DS1,complex IG K5,101,,25,3-5-0-1,0.34068345699655134,False,1.8400787124036062,"{""excluded"": 1.7774254411566504, ""persistent"": 1.8327900762852456, ""ramp"": 1.866318517801303, ""stable_pre"": 1.8309646788725091, ""takeover"": 1.808820593099635, ""transition"": 1.9405884821787007}","{""0"": 8459, ""1"": 6654, ""2"": 3462, ""3"": 9569, ""5"": 9569, ""6"": 264, ""7"": 164, ""8"": 135}",2.76154355189642,4.0,0.5,offline replay only; not measured SDR savings,0.9755739972337483,0.0037482710926693974,0.004900875979714225
DS1,complex IG K5,202,,6,3-5-1-0,0.18434528163862474,False,1.7882371926600913,"{""excluded"": 1.790202364900526, ""persistent"": 1.7855993873668798, ""ramp"": 1.7859842655300477, ""stable_pre"": 1.7901872858396444, ""takeover"": 1.7861857560597545, ""transition"": 1.787620318210525}","{""0"": 6678, ""1"": 6412, ""2"": 6048, ""3"": 9569, ""5"": 9569}",2.7190353514438588,4.0,0.5,offline replay only; not measured SDR savings,0.9755739972337483,0.0037482710926693974,0.004900875979714225
DS1,complex IG K5,303,,15,3-5-8-7,0.36952659630055384,False,1.5750511355321881,"{""excluded"": 1.5803611009728251, ""persistent"": 1.5710591179116404, ""ramp"": 1.5231658029729067, ""stable_pre"": 1.5680273267598706, ""takeover"": 1.6298667815536425, ""transition"": 1.582968271887873}","{""0"": 5, ""1"": 16, ""2"": 49, ""3"": 9569, ""5"": 9569, ""6"": 3391, ""7"": 6964, ""8"": 8713}",2.811673068053505,4.0,0.5,offline replay only; not measured SDR savings,0.9755739972337483,0.0037482710926693974,0.004900875979714225
DS1,complex IG K7,101,,62,3-5-0-1-2-6,0.3015989131570697,False,2.24707317910002,"{""excluded"": 2.2546273613622665, ""persistent"": 2.2231234782515377, ""ramp"": 2.3502943286440927, ""stable_pre"": 2.2360419215630496, ""takeover"": 2.116987155797034, ""transition"": 2.3606283534665717}","{""0"": 9569, ""1"": 9568, ""2"": 9569, ""3"": 9569, ""5"": 9569, ""6"": 8295, ""7"": 1000, ""8"": 275}",4.109364596212259,6.0,0.75,offline replay only; not measured SDR savings,0.976804979253112,0.007206085753803659,0.00508529276164138
DS1,complex IG K7,202,,18,3-5-1-0-2-6,0.07618350924861532,False,2.87247337551643,"{""excluded"": 2.876044842462933, ""persistent"": 2.8572136716867758, ""ramp"": 2.8667952074806133, ""stable_pre"": 2.8821558971355636, ""takeover"": 2.857141830044635, ""transition"": 2.8626690298220305}","{""0"": 9569, ""1"": 9569, ""2"": 9569, ""3"": 9569, ""5"": 9569, ""6"": 3883, ""7"": 3114, ""8"": 2572}",3.8186062506513627,6.0,0.75,offline replay only; not measured SDR savings,0.976804979253112,0.007206085753803659,0.00508529276164138
DS1,complex IG K7,303,,27,3-5-8-7-6-2,0.3510293656599436,False,1.7595654582190978,"{""excluded"": 1.7463458408265693, ""persistent"": 1.746902969782945, ""ramp"": 1.7196145292984457, ""stable_pre"": 1.770631232652982, ""takeover"": 1.8566465652113906, ""transition"": 1.7699402127438049}","{""0"": 7, ""1"": 435, ""2"": 9127, ""3"": 9569, ""5"": 9569, ""6"": 9569, ""7"": 9569, ""8"": 9569}",3.9072052531680335,6.0,0.75,offline replay only; not measured SDR savings,0.976804979253112,0.007206085753803659,0.00508529276164138
DS1,complex K3,101,,1,3-5,1.0,True,-0.0,"{""excluded"": -0.0, ""persistent"": -0.0, ""ramp"": -0.0, ""stable_pre"": -0.0, ""takeover"": -0.0, ""transition"": -0.0}","{""3"": 9569, ""5"": 9569}",0.016923997147198173,2.0,0.25,offline replay only; not measured SDR savings,0.9652697095435685,,
DS1,complex K3,202,,1,3-5,1.0,True,-0.0,"{""excluded"": -0.0, ""persistent"": -0.0, ""ramp"": -0.0, ""stable_pre"": -0.0, ""takeover"": -0.0, ""transition"": -0.0}","{""3"": 9569, ""5"": 9569}",0.01632008998264404,2.0,0.25,offline replay only; not measured SDR savings,0.9652697095435685,,
DS1,complex K3,303,,1,3-5,1.0,True,-0.0,"{""excluded"": -0.0, ""persistent"": -0.0, ""ramp"": -0.0, ""stable_pre"": -0.0, ""takeover"": -0.0, ""transition"": -0.0}","{""3"": 9569, ""5"": 9569}",0.016363913617496367,2.0,0.25,offline replay only; not measured SDR savings,0.9652697095435685,,
DS1,complex all9 phase-destroyed,101,,1,0-1-2-3-5-6-7-8,1.0,True,-0.0,"{""excluded"": -0.0, ""persistent"": -0.0, ""ramp"": -0.0, ""stable_pre"": -0.0, ""takeover"": -0.0, ""transition"": -0.0}","{""0"": 9569, ""1"": 9569, ""2"": 9569, ""3"": 9569, ""5"": 9569, ""6"": 9569, ""7"": 9569, ""8"": 9569}",0.012987716894681294,8.0,1.0,offline replay only; not measured SDR savings,0.9665283540802213,,
