dataset,class,nuisance,level,median_similarity,effect_direction_maintained
TEXBAT.cleanStatic,strong,gain,0.5,0.9999999999999999,True
TEXBAT.cleanStatic,strong,gain,0.8,0.9999999999999998,True
TEXBAT.cleanStatic,strong,gain,1.25,1.0,True
TEXBAT.cleanStatic,strong,gain,2.0,0.9999999999999999,True
TEXBAT.cleanStatic,strong,global_phase,0.5235987755982988,0.9999999999999999,True
TEXBAT.cleanStatic,strong,global_phase,1.5707963267948966,0.9999999999999998,True
TEXBAT.cleanStatic,strong,global_phase,3.141592653589793,0.9999999999999998,True
TEXBAT.cleanStatic,moderate,awgn_degradation_db,3.0,0.8190094539113218,False
TEXBAT.cleanStatic,moderate,awgn_degradation_db,6.0,0.89386074027946,False
TEXBAT.cleanStatic,moderate,carrier_residual_hz,-5.0,0.999999999448056,True
TEXBAT.cleanStatic,moderate,carrier_residual_hz,5.0,0.9999999994480557,True
TEXBAT.cleanStatic,moderate,timing_chips,-0.05,0.5907262984740359,False
TEXBAT.cleanStatic,moderate,timing_chips,0.05,0.5389337325689061,True
TEXBAT.cleanStatic,moderate,receiver_linear_fir,"[0.1,0.8,0.1]",0.9873732353919651,True
TEXBAT.cleanStatic,moderate,receiver_linear_fir,"[-0.05,0.9,0.15]",0.9895240520043569,True
OAKBAT.cleanStatic,strong,gain,0.5,0.9999999999999999,True
OAKBAT.cleanStatic,strong,gain,0.8,0.9999999999999998,True
OAKBAT.cleanStatic,strong,gain,1.25,1.0,True
OAKBAT.cleanStatic,strong,gain,2.0,0.9999999999999999,True
OAKBAT.cleanStatic,strong,global_phase,0.5235987755982988,1.0000000000000002,True
OAKBAT.cleanStatic,strong,global_phase,1.5707963267948966,0.9999999999999999,True
OAKBAT.cleanStatic,strong,global_phase,3.141592653589793,0.9999999999999999,True
OAKBAT.cleanStatic,moderate,awgn_degradation_db,3.0,0.8137445713864278,True
OAKBAT.cleanStatic,moderate,awgn_degradation_db,6.0,0.893957968698815,True
OAKBAT.cleanStatic,moderate,carrier_residual_hz,-5.0,0.9999999994614023,True
OAKBAT.cleanStatic,moderate,carrier_residual_hz,5.0,0.9999999994614022,True
OAKBAT.cleanStatic,moderate,timing_chips,-0.05,0.805326667721072,False
OAKBAT.cleanStatic,moderate,timing_chips,0.05,0.7629112215949774,True
OAKBAT.cleanStatic,moderate,receiver_linear_fir,"[0.1,0.8,0.1]",0.9962682438237241,True
OAKBAT.cleanStatic,moderate,receiver_linear_fir,"[-0.05,0.9,0.15]",0.9947433380279889,True
