scenario,level,seed,statistic,above_null_threshold
separate,0.0025,16,0.2682098305966688,True
common,0.0025,16,1.8417960390718142,True
separate,0.0025,17,0.25446640162543654,False
common,0.0025,17,1.8832693811218366,True
separate,0.0025,18,0.2564643658764819,False
common,0.0025,18,1.8820611865449899,True
separate,0.0025,19,0.2362729975835679,False
common,0.0025,19,1.8194146079860973,True
separate,0.0025,20,0.2618003006765702,True
common,0.0025,20,1.8514163766779101,True
separate,0.0025,21,0.294800990096701,True
common,0.0025,21,1.8333778816439632,True
separate,0.0025,22,0.25205600124483196,False
common,0.0025,22,1.8926703275526866,True
separate,0.0025,23,0.26387894709279847,True
common,0.0025,23,1.8627749542708893,True
separate,0.0025,24,0.24602462371652659,False
common,0.0025,24,1.8376521530194803,True
separate,0.0025,25,0.35357762887500077,True
common,0.0025,25,1.8281568795541856,True
separate,0.0025,26,0.24521884751219114,False
common,0.0025,26,1.790548831653545,True
separate,0.0025,27,0.24375607287468798,False
common,0.0025,27,1.8610024694781466,True
separate,0.0025,28,0.24039458180260276,False
common,0.0025,28,1.8110401667830187,True
separate,0.0025,29,0.3195042830551524,True
common,0.0025,29,1.8499210852849657,True
separate,0.0025,30,0.2838446986235838,True
common,0.0025,30,1.8783692920754833,True
separate,0.0025,31,0.30870289640954435,True
common,0.0025,31,1.8666668474178951,True
separate,0.005,16,0.2682098305966688,True
common,0.005,16,1.8417960390718142,True
separate,0.005,17,0.25446640162543654,False
common,0.005,17,1.8832693811218366,True
separate,0.005,18,0.2564643658764819,False
common,0.005,18,1.8820611865449899,True
separate,0.005,19,0.2362729975835679,False
common,0.005,19,1.8194146079860973,True
separate,0.005,20,0.2618003006765702,True
common,0.005,20,1.8514163766779101,True
separate,0.005,21,0.294800990096701,True
common,0.005,21,1.8333778816439632,True
separate,0.005,22,0.25205600124483196,False
common,0.005,22,1.8926703275526866,True
separate,0.005,23,0.26387894709279847,True
common,0.005,23,1.8627749542708893,True
separate,0.005,24,0.24602462371652659,False
common,0.005,24,1.8376521530194803,True
separate,0.005,25,0.35357762887500077,True
common,0.005,25,1.8281568795541856,True
separate,0.005,26,0.24521884751219114,False
common,0.005,26,1.790548831653545,True
separate,0.005,27,0.24375607287468798,False
common,0.005,27,1.8610024694781466,True
separate,0.005,28,0.24039458180260276,False
common,0.005,28,1.8110401667830187,True
separate,0.005,29,0.3195042830551524,True
common,0.005,29,1.8499210852849657,True
separate,0.005,30,0.2838446986235838,True
common,0.005,30,1.8783692920754833,True
separate,0.005,31,0.30870289640954435,True
common,0.005,31,1.8666668474178951,True
separate,0.01,16,0.2682098305966688,True
common,0.01,16,1.8417960390718142,True
separate,0.01,17,0.25446640162543654,False
common,0.01,17,1.8832693811218366,True
separate,0.01,18,0.2564643658764819,False
common,0.01,18,1.8820611865449899,True
separate,0.01,19,0.2362729975835679,False
common,0.01,19,1.8194146079860973,True
separate,0.01,20,0.2618003006765702,True
common,0.01,20,1.8514163766779101,True
separate,0.01,21,0.294800990096701,True
common,0.01,21,1.8333778816439632,True
separate,0.01,22,0.25205600124483196,False
common,0.01,22,1.8926703275526866,True
separate,0.01,23,0.26387894709279847,True
common,0.01,23,1.8627749542708893,True
separate,0.01,24,0.24602462371652659,False
common,0.01,24,1.8376521530194803,True
separate,0.01,25,0.35357762887500077,True
common,0.01,25,1.8281568795541856,True
separate,0.01,26,0.24521884751219114,False
common,0.01,26,1.790548831653545,True
separate,0.01,27,0.24375607287468798,False
common,0.01,27,1.8610024694781466,True
separate,0.01,28,0.24039458180260276,False
common,0.01,28,1.8110401667830187,True
separate,0.01,29,0.3195042830551524,True
common,0.01,29,1.8499210852849657,True
separate,0.01,30,0.2838446986235838,True
common,0.01,30,1.8783692920754833,True
separate,0.01,31,0.30870289640954435,True
common,0.01,31,1.8666668474178951,True
