trial,negative_bin_count,legacy_negative_persistent_alarm_rate,support_normalized_negative_persistent_alarm_rate,enriched_negative_bin_count,legacy_enriched_negative_persistent_alarm_rate,support_normalized_enriched_negative_persistent_alarm_rate,ds7_post_bin_count,legacy_ds7_persistent_detection,legacy_ds7_detection_delay_s,support_normalized_ds7_persistent_detection,support_normalized_ds7_detection_delay_s,legacy_specificity_gates_passed,support_normalized_specificity_gates_passed,legacy_primary_delay_gate_passed,support_normalized_primary_delay_gate_passed
0,90,0.2111111111111111,0.022222222222222223,7,0.0,0.0,161,True,19.0,True,129.0,False,True,True,False
1,90,0.17777777777777778,0.0,2,0.0,0.0,161,True,20.0,True,81.0,False,True,True,False
2,90,0.2,0.0,1,0.0,0.0,161,True,19.0,True,122.0,False,True,True,False
3,90,0.1,0.0,1,0.0,0.0,161,True,41.0,True,168.0,False,True,True,False
4,90,0.17777777777777778,0.0,50,0.18,0.0,161,True,20.0,True,129.0,False,True,True,False
5,90,0.13333333333333333,0.0,6,0.0,0.0,161,True,33.0,True,129.0,False,True,True,False
6,90,0.16666666666666666,0.0,0,0.0,0.0,161,True,19.0,True,124.0,False,True,True,False
7,90,0.14444444444444443,0.0,2,0.0,0.0,161,True,18.0,True,118.0,False,True,True,False
8,90,0.28888888888888886,0.0,7,0.14285714285714285,0.0,161,True,48.0,True,65.0,False,True,True,False
9,90,0.17777777777777778,0.0,5,0.2,0.0,161,True,41.0,True,132.0,False,True,True,False
10,90,0.2,0.0,0,0.0,0.0,161,True,47.0,True,100.0,False,True,True,False
11,90,0.32222222222222224,0.0,3,0.6666666666666666,0.0,161,True,37.0,True,121.0,False,True,True,False
12,90,0.24444444444444444,0.0,1,0.0,0.0,161,True,19.0,False,,False,True,True,False
13,90,0.2,0.0,1,0.0,0.0,161,True,11.0,True,122.0,False,True,True,False
14,90,0.3,0.0,43,0.32558139534883723,0.0,161,True,57.0,True,131.0,False,True,True,False
15,90,0.23333333333333334,0.0,46,0.1956521739130435,0.0,161,True,20.0,True,129.0,False,True,True,False
16,90,0.18888888888888888,0.0,2,0.5,0.0,161,True,42.0,True,120.0,False,True,True,False
17,90,0.25555555555555554,0.044444444444444446,45,0.17777777777777778,0.06666666666666667,161,True,18.0,True,122.0,False,True,True,False
18,90,0.18888888888888888,0.044444444444444446,46,0.17391304347826086,0.06521739130434782,161,True,11.0,True,122.0,False,True,True,False
19,90,0.23333333333333334,0.0,48,0.20833333333333334,0.0,161,True,32.0,True,119.0,False,True,True,False
20,90,0.24444444444444444,0.0,5,0.2,0.0,161,True,28.0,True,126.0,False,True,True,False
21,90,0.3111111111111111,0.022222222222222223,5,0.2,0.0,161,True,16.0,True,101.0,False,True,True,False
22,90,0.05555555555555555,0.0,5,0.0,0.0,161,True,11.0,True,141.0,False,True,True,False
23,90,0.16666666666666666,0.0,6,0.0,0.0,161,True,20.0,True,122.0,False,True,True,False
24,90,0.18888888888888888,0.044444444444444446,45,0.17777777777777778,0.06666666666666667,161,True,18.0,True,122.0,False,True,True,False
25,90,0.2777777777777778,0.0,50,0.26,0.0,161,True,19.0,True,119.0,False,True,True,False
26,90,0.26666666666666666,0.0,3,0.0,0.0,161,True,41.0,True,167.0,False,True,True,False
27,90,0.28888888888888886,0.0,1,0.0,0.0,161,True,19.0,False,,False,True,True,False
28,90,0.35555555555555557,0.022222222222222223,6,0.0,0.0,161,True,12.0,True,145.0,False,True,True,False
29,90,0.23333333333333334,0.0,50,0.18,0.0,161,True,41.0,True,119.0,False,True,True,False
30,90,0.2222222222222222,0.0,1,1.0,0.0,161,True,55.0,True,132.0,False,True,True,False
31,90,0.14444444444444443,0.0,2,0.0,0.0,161,True,41.0,True,122.0,False,True,True,False
32,90,0.16666666666666666,0.0,6,0.0,0.0,161,True,18.0,True,131.0,False,True,True,False
33,90,0.14444444444444443,0.0,45,0.1111111111111111,0.0,161,True,20.0,True,168.0,False,True,True,False
34,90,0.18888888888888888,0.0,45,0.15555555555555556,0.0,161,True,12.0,True,121.0,False,True,True,False
35,90,0.17777777777777778,0.0,43,0.046511627906976744,0.0,161,True,20.0,False,,False,True,True,False
36,90,0.17777777777777778,0.0,46,0.15217391304347827,0.0,161,True,44.0,True,48.0,False,True,True,True
37,90,0.2777777777777778,0.0,1,0.0,0.0,161,True,19.0,False,,False,True,True,False
38,90,0.25555555555555554,0.0,5,0.4,0.0,161,True,41.0,True,120.0,False,True,True,False
