trial,negative_bin_count,negative_persistent_alarm_rate,enriched_negative_bin_count,enriched_negative_persistent_alarm_rate,ds7_post_bin_count,ds7_persistent_detection,ds7_detection_delay_s,specificity_gates_passed,legacy_primary_delay_gate_passed
0,90,0.2111111111111111,7,0.0,161,True,19.0,False,True
1,90,0.17777777777777778,2,0.0,161,True,20.0,False,True
2,90,0.2,1,0.0,161,True,19.0,False,True
3,90,0.1,1,0.0,161,True,41.0,False,True
4,90,0.17777777777777778,50,0.18,161,True,20.0,False,True
5,90,0.13333333333333333,6,0.0,161,True,33.0,False,True
6,90,0.16666666666666666,0,0.0,161,True,19.0,False,True
7,90,0.14444444444444443,2,0.0,161,True,18.0,False,True
8,90,0.28888888888888886,7,0.14285714285714285,161,True,48.0,False,True
9,90,0.17777777777777778,5,0.2,161,True,41.0,False,True
10,90,0.2,0,0.0,161,True,47.0,False,True
11,90,0.32222222222222224,3,0.6666666666666666,161,True,37.0,False,True
12,90,0.24444444444444444,1,0.0,161,True,19.0,False,True
13,90,0.2,1,0.0,161,True,11.0,False,True
14,90,0.3,43,0.32558139534883723,161,True,57.0,False,True
15,90,0.23333333333333334,46,0.1956521739130435,161,True,20.0,False,True
16,90,0.18888888888888888,2,0.5,161,True,42.0,False,True
17,90,0.25555555555555554,45,0.17777777777777778,161,True,18.0,False,True
18,90,0.18888888888888888,46,0.17391304347826086,161,True,11.0,False,True
19,90,0.23333333333333334,48,0.20833333333333334,161,True,32.0,False,True
20,90,0.24444444444444444,5,0.2,161,True,28.0,False,True
21,90,0.3111111111111111,5,0.2,161,True,16.0,False,True
22,90,0.05555555555555555,5,0.0,161,True,11.0,False,True
23,90,0.16666666666666666,6,0.0,161,True,20.0,False,True
24,90,0.18888888888888888,45,0.17777777777777778,161,True,18.0,False,True
25,90,0.2777777777777778,50,0.26,161,True,19.0,False,True
26,90,0.26666666666666666,3,0.0,161,True,41.0,False,True
27,90,0.28888888888888886,1,0.0,161,True,19.0,False,True
28,90,0.35555555555555557,6,0.0,161,True,12.0,False,True
29,90,0.23333333333333334,50,0.18,161,True,41.0,False,True
30,90,0.2222222222222222,1,1.0,161,True,55.0,False,True
31,90,0.14444444444444443,2,0.0,161,True,41.0,False,True
32,90,0.16666666666666666,6,0.0,161,True,18.0,False,True
33,90,0.14444444444444443,45,0.1111111111111111,161,True,20.0,False,True
34,90,0.18888888888888888,45,0.15555555555555556,161,True,12.0,False,True
35,90,0.17777777777777778,43,0.046511627906976744,161,True,20.0,False,True
36,90,0.17777777777777778,46,0.15217391304347827,161,True,44.0,False,True
37,90,0.2777777777777778,1,0.0,161,True,19.0,False,True
38,90,0.25555555555555554,5,0.4,161,True,41.0,False,True
39,90,0.26666666666666666,48,0.22916666666666666,161,True,16.0,False,True
40,90,0.2222222222222222,10,0.2,161,True,19.0,False,True
41,90,0.1,45,0.044444444444444446,161,True,19.0,False,True
42,90,0.1111111111111111,48,0.08333333333333333,161,True,75.0,False,False
43,90,0.24444444444444444,46,0.1956521739130435,161,True,20.0,False,True
44,90,0.16666666666666666,50,0.16,161,True,17.0,False,True
45,90,0.2,5,0.0,161,True,21.0,False,True
46,90,0.18888888888888888,45,0.17777777777777778,161,True,18.0,False,True
47,90,0.2111111111111111,3,0.0,161,True,42.0,False,True
48,90,0.1111111111111111,7,0.14285714285714285,161,True,61.0,False,False
49,90,0.16666666666666666,6,0.5,161,True,21.0,False,True
50,90,0.14444444444444443,6,0.16666666666666666,161,True,31.0,False,True
51,90,0.18888888888888888,1,0.0,161,True,32.0,False,True
52,90,0.2222222222222222,48,0.1875,161,True,11.0,False,True
53,90,0.26666666666666666,6,0.0,161,True,13.0,False,True
54,90,0.2,4,0.0,161,True,40.0,False,True
55,90,0.24444444444444444,46,0.2826086956521739,161,True,41.0,False,True
56,90,0.25555555555555554,50,0.22,161,True,31.0,False,True
57,90,0.24444444444444444,50,0.24,161,True,18.0,False,True
58,90,0.05555555555555555,5,0.0,161,True,19.0,False,True
59,90,0.13333333333333333,2,0.0,161,True,19.0,False,True
60,90,0.26666666666666666,7,0.14285714285714285,161,True,16.0,False,True
61,90,0.17777777777777778,48,0.20833333333333334,161,True,11.0,False,True
62,90,0.24444444444444444,44,0.25,161,True,16.0,False,True
63,90,0.2777777777777778,43,0.27906976744186046,161,True,19.0,False,True
