pair_id,condition,bin_index,bin_start_s,phase,regime,truth_time_s,truth_prn_count,tu_oracle_prn_count,tu_oracle_input_available,median_abs_code_offset_m,maximum_abs_code_offset_m,median_abs_code_rate_difference_chips_s,maximum_abs_code_rate_difference_chips_s,median_abs_carrier_doppler_difference_hz,maximum_abs_carrier_doppler_difference_hz,median_abs_code_carrier_mismatch_equivalent_hz,maximum_abs_code_carrier_mismatch_equivalent_hz,cgc_prn_count,partial_f_p_value,raw_spoof_alarm,persistent_spoof_alarm
ccfs-s1-a-tokyo,carrier-coupled,0,0.0,baseline,carrier_coupled_baseline,0.5,11,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.19506789149152123,False,False
ccfs-s1-a-tokyo,carrier-coupled,1,1.0,baseline,carrier_coupled_baseline,1.5,11,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.06029385111143098,False,False
ccfs-s1-a-tokyo,carrier-coupled,2,2.0,baseline,carrier_coupled_baseline,2.5,11,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.5434468627196724,False,False
ccfs-s1-a-tokyo,carrier-coupled,3,3.0,baseline,carrier_coupled_baseline,3.5,11,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.03221784219963237,True,False
ccfs-s1-a-tokyo,carrier-coupled,4,4.0,baseline,carrier_coupled_baseline,4.5,11,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.627154684801107,False,False
ccfs-s1-a-tokyo,carrier-coupled,5,5.0,pull-off,consistent_pull_off,5.5,11,11,True,1.6127320006489754,2.6815019994974136,0.019307771930471063,0.03210358798969537,29.73396872400008,49.43952540600003,4.417761374497786e-07,1.0296547543475754e-06,11,0.7812134693350118,False,False
ccfs-s1-a-tokyo,carrier-coupled,6,6.0,pull-off,consistent_pull_off,6.5,11,11,True,12.440822001546621,20.686850000172853,0.048552307998761535,0.0807379640173167,74.77055457300003,124.33646470299982,2.549072632973548e-07,1.2918931133754086e-06,11,0.4155959405260174,False,False
ccfs-s1-a-tokyo,carrier-coupled,7,7.0,pull-off,consistent_pull_off,7.5,11,11,True,28.797191999852657,47.88790100067854,0.05892526393290609,0.09799894702155143,90.74490772400031,150.9183771439998,7.738681233604439e-07,1.3277385733090341e-06,11,0.0012022742848587088,True,False
ccfs-s1-a-tokyo,carrier-coupled,8,8.0,pull-off,consistent_pull_off,8.5,11,11,True,45.152375001460314,75.09062900021672,0.050430972944013774,0.08388549904339015,77.6636988790001,129.1836674350002,8.550805432605557e-07,1.299349150940543e-06,11,0.002084690605268375,True,False
ccfs-s1-a-tokyo,carrier-coupled,9,9.0,pull-off,consistent_pull_off,9.5,11,11,True,55.977796997874975,93.10009000077844,0.023073752992786467,0.03839659609366208,35.533579948999886,59.13075888399999,5.043411874794401e-07,1.0514036148379091e-06,11,2.0789279081796614e-07,True,True
ccfs-s1-a-tokyo,carrier-coupled,10,10.0,guard,carrier_coupled_guard,10.5,11,0,False,57.58816300332546,95.78508599847555,1.066399272531271e-05,3.424298483878374e-05,0.016422165999756544,0.05273428500004229,3.8279722502920777e-07,1.2649829841393512e-06,11,5.192611388570891e-06,True,True
ccfs-s1-a-tokyo,carrier-coupled,11,11.0,guard,carrier_coupled_guard,11.5,11,0,False,57.586075000464916,95.78820999711752,1.0658055543899536e-05,3.42449638992548e-05,0.016413551999903575,0.05273859099997935,2.950500856968574e-07,1.3465951269608922e-06,11,3.226159934112092e-05,True,True
ccfs-s1-a-tokyo,carrier-coupled,12,12.0,hold,coupled_position_hold,12.5,11,0,False,57.58398799970746,95.79133199900389,1.0652001947164536e-05,3.42479906976223e-05,0.01640493900004003,0.05274250699994809,4.879498192167375e-07,9.620401897336706e-07,11,4.6184482214819416e-05,True,True
ccfs-s1-a-tokyo,carrier-coupled,13,13.0,hold,coupled_position_hold,13.5,11,0,False,57.581901002675295,95.79445299878716,1.0646996088325977e-05,3.42510174959898e-05,0.016395933000239893,0.05274661799990099,4.4097578211221844e-07,1.2975169738638215e-06,11,4.987075088134372e-05,True,True
ccfs-s1-a-tokyo,carrier-coupled,14,14.0,hold,coupled_position_hold,14.5,11,0,False,57.57981399819255,95.79757199808955,1.0640942491590977e-05,3.425392787903547e-05,0.01638712400017539,0.05275092499994116,1.9156004782416858e-07,9.904460966936313e-07,11,0.00034656202391299004,True,True
ccfs-s1-a-tokyo,carrier-coupled,15,15.0,hold,coupled_position_hold,15.5,11,0,False,57.57772899791598,95.80068899691105,1.0635005310177803e-05,3.425602335482836e-05,0.016378706000068632,0.05275503600000775,6.197128641360905e-07,1.4397246559383348e-06,11,2.351364755075779e-05,True,True
ccfs-s1-a-tokyo,carrier-coupled,16,16.0,hold,coupled_position_hold,16.5,11,0,False,57.57564299926162,95.80380500108004,1.0629999451339245e-05,3.425905015319586e-05,0.01637009299975034,0.05275914699996065,3.459549589024391e-07,9.669925020716619e-07,11,0.0031347069591851893,True,True
ccfs-s1-a-tokyo,carrier-coupled,17,17.0,hold,coupled_position_hold,17.5,11,0,False,57.57355799898505,95.80691900104284,1.0623945854604244e-05,3.426196053624153e-05,0.016361086999950203,0.05276345400000082,3.8670214053126983e-07,5.756296559411567e-07,11,7.498147114849639e-05,True,True
ccfs-s1-a-tokyo,carrier-coupled,18,18.0,hold,coupled_position_hold,18.5,11,0,False,57.57147400081158,95.81003199890256,1.0618939995765686e-05,3.426498733460903e-05,0.016352473000097234,0.052767368999980135,2.6767770577862393e-07,8.686629371368326e-07,11,4.447513401899306e-05,True,True
ccfs-s1-a-tokyo,carrier-coupled,19,19.0,hold,coupled_position_hold,19.5,11,0,False,57.5693900026381,95.81314300000668,1.0613002814352512e-05,3.426696639508009e-05,0.016343859999778942,0.05277128399995945,3.264183305873303e-07,9.716204658616334e-07,10,6.904720402228656e-05,True,True
ccfs-s1-a-tokyo,carrier-coupled,20,20.0,hold,coupled_position_hold,20.5,11,0,False,57.567306999117136,95.8162520006299,1.0606949217617512e-05,3.426999319344759e-05,0.016335245999925974,0.05277559099999962,7.60982402425725e-07,1.2846071513195056e-06,10,0.0007505681980912211,True,True
ccfs-s1-a-tokyo,carrier-coupled,21,21.0,hold,coupled_position_hold,21.5,11,0,False,57.56522499769926,95.81935999915004,1.0601012036204338e-05,3.427301999181509e-05,0.01632643700031622,0.05277970200006621,6.536199634865625e-07,9.77854142547585e-07,10,0.003516844918761896,True,True
ccfs-s1-a-tokyo,carrier-coupled,22,22.0,hold,coupled_position_hold,22.5,11,0,False,57.563141997903585,95.82246599718928,1.059600617736578e-05,3.427499905228615e-05,0.016317823000008502,0.05278440100005355,4.336570782470517e-07,1.1721554074028973e-06,10,0.013153040975003484,True,True
ccfs-s1-a-tokyo,carrier-coupled,23,23.0,hold,coupled_position_hold,23.5,11,0,False,57.561060000211,95.82556999847293,1.0590068995952606e-05,3.427802585065365e-05,0.01630881800019779,0.052788316000032864,3.473282959021162e-07,1.1266488399996888e-06,10,0.0010695108995968055,True,True
ccfs-s1-a-tokyo,carrier-coupled,24,24.0,hold,coupled_position_hold,24.5,11,0,False,57.558978997170925,95.82867300137877,1.0584946721792221e-05,3.428105264902115e-05,0.01630059600029199,0.052792426999985764,4.0715076465858147e-07,9.051427696249448e-07,10,0.0014507865169473976,True,True
ccfs-s1-a-tokyo,carrier-coupled,25,25.0,hold,coupled_position_hold,25.5,11,0,False,57.55689800158143,95.83177300170064,1.0579009540379047e-05,3.4283031709492207e-05,0.016291786000238062,0.05279653899992809,3.867967279802542e-07,1.2163095561845694e-06,10,0.0011496454071416938,True,True
