dataset,different_mean,effect_size,feature,pr_auc,roc_auc,same_mean
OAKBAT.cleanStatic,-0.35781799828921557,-0.036729741573702464,B0,0.5150236553878916,0.49907124173132117,-0.36767049463377305
OAKBAT.cleanStatic,-0.2780536782613109,-0.024005363068627997,B1,0.49939211164270025,0.4938509694529048,-0.2832290271827598
OAKBAT.cleanStatic,-0.18890655991512645,-0.06365353167633502,B2,0.5044328708197713,0.49007462131188667,-0.1977569990455129
OAKBAT.cleanStatic,0.9936768616186501,0.010429370983842435,B3,0.50279504771209,0.5034252732463331,0.9937307021691091
OAKBAT.cleanStatic,0.9645878692247883,0.003559726053492907,B4,0.5050399414442286,0.5040197628022279,0.9646741281339416
OAKBAT.cleanStatic,0.13101231198766913,0.015453025434375881,Full,0.5040680237720585,0.5039573478305093,0.13279635641653015
TEXBAT.cleanStatic,-1.2872328554560801,0.6837753699751473,B0,0.6321176353975817,0.6773410287431347,-0.7307599710450519
TEXBAT.cleanStatic,-0.3942750743370919,0.44142462038485913,B1,0.5894219586315734,0.6310244713500478,-0.25677226389441815
TEXBAT.cleanStatic,-0.2009911569305267,-0.057205398839269804,B2,0.5136886117532372,0.4923950103784447,-0.20940878056105597
TEXBAT.cleanStatic,0.9952434329932758,0.005207275545353492,B3,0.5027113998069164,0.499814245981313,0.9952871420455727
TEXBAT.cleanStatic,0.9688471282908592,0.008181081765954699,B4,0.5078344449769528,0.5053668400612834,0.9692240541864489
TEXBAT.cleanStatic,0.14006745414664737,0.016129373404853008,Full,0.5059162346175075,0.5021183182537121,0.1420079570043786
