dataset,gap_blocks,gap_seconds,auc,pairs
OAKBAT.cleanStatic,1,10,0.5057142857142857,175
OAKBAT.cleanStatic,2,20,0.4388888888888889,150
OAKBAT.cleanStatic,3,30,0.5092,125
OAKBAT.cleanStatic,4,40,0.5706249999999999,100
OAKBAT.cleanStatic,5,50,0.5422222222222222,75
OAKBAT.cleanStatic,6,60,0.525,50
OAKBAT.cleanStatic,7,70,0.53,25
TEXBAT.cleanStatic,1,10,0.47,175
TEXBAT.cleanStatic,2,20,0.5747222222222222,150
TEXBAT.cleanStatic,3,30,0.49960000000000004,125
TEXBAT.cleanStatic,4,40,0.49125,100
TEXBAT.cleanStatic,5,50,0.5322222222222223,75
TEXBAT.cleanStatic,6,60,0.465,50
TEXBAT.cleanStatic,7,70,0.55,25
