model,roc_auc,pr_auc,independent_test_fpr,attack_detection_rate
B0,0.8478186274509805,0.9170826691609244,0.0037735849056603774,0.6267857142857143
Full,0.8942997198879552,0.956205583248595,0.022641509433962263,0.7792857142857144
M1,0.9226838235294118,0.9698702645573598,0.011320754716981131,0.7767857142857143
P0_median,0.8478186274509805,0.9170826691609244,0.0037735849056603774,0.6267857142857143
P1_median,0.848312324929972,0.9181118356454049,0.04905660377358491,0.6507142857142857
P2_median,0.8789355742296918,0.9318977694354675,0.007547169811320755,0.7657142857142858
P3_median,0.884108893557423,0.9353421423441143,0.033962264150943396,0.7682142857142857
fisher_fusion,0.914655987394958,0.9655991968591641,0.01509433962264151,0.75
max_fusion,0.8970185574229692,0.9506741407159179,0.0,0.7589285714285714
mean_fusion,0.9146603641456583,0.9656014621087163,0.01509433962264151,0.75
minus_B0history,0.8841964285714285,0.9480492676602192,0.011320754716981131,0.7789285714285714
minus_M1,0.7715843837535014,0.8802388347833248,0.03018867924528302,0.6174999999999999
minus_concordance,0.8805182072829132,0.942134102419433,0.01509433962264151,0.77
