lag,model,alpha,validation_mse,lag_mean_best_mse
2,P1,0.1,0.01028228222776965,0.010341287007001525
2,P1,1.0,0.010280692112838849,0.010341287007001525
2,P1,10.0,0.01026553068463357,0.010341287007001525
2,P1,100.0,0.01016140146603509,0.010341287007001525
2,P2,0.1,0.010482088831758924,0.010341287007001525
2,P2,1.0,0.010481986205604928,0.010341287007001525
2,P2,10.0,0.010480962984788369,0.010341287007001525
2,P2,100.0,0.010471026544580299,0.010341287007001525
2,P3,0.1,0.01051327233906093,0.010341287007001525
2,P3,1.0,0.010511693359796992,0.010341287007001525
2,P3,10.0,0.010496616200194132,0.010341287007001525
2,P3,100.0,0.010391433010389188,0.010341287007001525
4,P1,0.1,0.010355207232216532,0.010395553213502225
4,P1,1.0,0.010352649549366924,0.010395553213502225
4,P1,10.0,0.010329347862697479,0.010395553213502225
4,P1,100.0,0.010200933028756836,0.010395553213502225
4,P2,0.1,0.010551398999087051,0.010395553213502225
4,P2,1.0,0.01055125800484597,0.010395553213502225
4,P2,10.0,0.01054985246201981,0.010395553213502225
4,P2,100.0,0.010536224312485496,0.010395553213502225
4,P3,0.1,0.010602319941952817,0.010395553213502225
4,P3,1.0,0.010599810390264032,0.010395553213502225
4,P3,10.0,0.010576947619794658,0.010395553213502225
4,P3,100.0,0.010449502299264344,0.010395553213502225
6,P1,0.1,0.010604340316062165,0.010658839555885464
6,P1,1.0,0.010601198514566597,0.010658839555885464
6,P1,10.0,0.010573858376225796,0.010658839555885464
6,P1,100.0,0.01042741869342532,0.010658839555885464
6,P2,0.1,0.010742841793145738,0.010658839555885464
6,P2,1.0,0.010742630482614035,0.010658839555885464
6,P2,10.0,0.01074052469463883,0.010658839555885464
6,P2,100.0,0.010720172477263274,0.010658839555885464
6,P3,0.1,0.011020978331452365,0.010658839555885464
6,P3,1.0,0.011017520730563819,0.010658839555885464
6,P3,10.0,0.010987581057275153,0.010658839555885464
6,P3,100.0,0.010828927496967795,0.010658839555885464
