alignment_shift_epochs,alignment_shift_s,predictor_history_lag_epochs,predictor_history_lag_s,validation_pearson
-6,-3.0,2,1.0,-0.12559897453922922
-5,-2.5,2,1.0,-0.20482665427123056
-4,-2.0,2,1.0,0.1531333003044135
-3,-1.5,2,1.0,-0.00869880663920294
-2,-1.0,2,1.0,-0.041985657389591306
-1,-0.5,2,1.0,0.05278360516389587
0,0.0,2,1.0,-0.0311097780000591
1,0.5,2,1.0,0.035183119625665366
2,1.0,2,1.0,-0.10173055439457818
3,1.5,2,1.0,0.022538995738798275
4,2.0,2,1.0,0.043521400890794155
5,2.5,2,1.0,0.10767681824406615
6,3.0,2,1.0,0.15990990251952977
