t,b0_end_s,b0_median,b0_q90,b0_q99,b0_energy,tracked_prns,b0_residual_vector_l2,m1_end_s,m1_ar_rmse,m1_ar_score,m1_level,m1_innov_0,m1_innov_1,m1_innov_2,m1_innov_3,m1_innov_4,m1_innov_5,m1_innov_6,m1_innov_7,available_s,b0_frac_exceed,S_B0,S_M1,S_joint,S_cross,S_cascade,S_full,p_S_B0,p_S_M1,S_mean,S_max,S_fisher
6.5,7.21602,1.2298415899276733,3.5561742782592773,4.268539810180664,380.9770985841751,11,1.961696557274238,6.51,1.6580091041212195,0.594453668016532,0.981143721999304,0.9772226036665561,2.6293357247720106,1.6665067022769304,-1.054296624541923,-2.5926344212794636,-1.1571875533227824,-1.4743158479594176,-0.018806577163564042,7.21602,1.0,115.70295924759894,0.4321917160996998,5.239704107881211,,,,0.008547008547008517,0.7927350427350427,58.06757548184932,115.70295924759894,9.988880336215942
7.0,7.71602,0.8541631102561951,3.6843886375427246,4.023216009140015,352.9287499189377,11,1.8881040361124655,7.01,1.7680051033570876,0.9077563316202556,1.2903242809362545,-3.223142196465182,3.0010122077011627,-0.7057568031348542,-0.48668009538330287,1.6240801569843466,0.029478150418222604,0.8533041802231366,-1.2289967259947254,7.71602,0.0,108.52129242684039,1.8795241638138969,4.900452388478005,,,,0.010683760683760646,0.07692307692307687,55.20040829532714,108.52129242684039,14.207959481890175
7.5,8.21602,0.7063724994659424,4.406657695770264,4.873667621612549,478.97443771362305,11,2.1995740157136967,7.51,0.9701497862003683,0.0,0.9299441303951317,1.0113569984026285,-1.9857351573922482,0.7649220412220583,0.3223752734091053,-1.077316175791407,-0.44696635099999726,0.6060317526593403,-0.3832005675400675,8.21602,1.0,143.5801432951392,1.0257597883528828,6.558464158230104,,,,0.0064102564102563875,0.33760683760683763,72.30295154174604,143.5801432951392,12.271458540280442
8.0,8.71602,0.8928767442703247,2.9203734397888184,6.802306222915651,636.635528922081,11,2.535874971939993,8.01,1.3802717676073568,0.0,0.9545688439317597,0.010630657539302923,-2.773232053023329,-0.3661413410548315,-2.500604104977665,-0.8357759410614667,0.22699470084880666,-0.0397035986369003,0.6415352085114843,8.71602,1.0,182.0004477008024,0.22452205835038325,8.376949320860636,,,,0.002136752136752129,0.9401709401709402,91.11248487957639,182.0004477008024,12.42032372984598
8.5,9.21602,0.7355635166168213,2.206552743911743,3.370359587669373,198.65284669399261,11,1.4165430981747806,8.51,1.1219331175947798,0.0,0.9186195889393511,-1.3489647053793563,1.4345028266881008,0.24658222638151472,0.4438819835835677,-1.236265531255404,-0.6688477581770178,-1.8616060889672292,-0.7023148860207441,9.21602,0.0,63.954084733504985,0.7682504687127372,2.7907233578133943,,,,0.02991452991452992,0.49786324786324787,32.36116760110886,63.954084733504985,8.413681617308669
9.0,9.71602,0.6776836514472961,1.4480316638946533,4.093389058113099,232.0119897723198,11,1.5308675027334686,9.01,2.3754955418287036,2.63807719609846,1.389809689624244,-2.1934300314217343,-3.313778778902504,0.5863718362330982,-4.105514817861491,-2.9491247726583314,-1.2163270344847217,1.4055938194349091,-0.0011139884810248413,9.71602,0.0,71.75784930440585,3.0097241346329158,3.16762627808898,,,,0.021367521367521403,0.004273504273504258,37.383786719519385,71.75784930440585,18.602408636562608
9.5,10.21602,0.8449783325195312,1.8839305639266968,4.193530213832856,268.53219747543335,11,1.6469506127450908,9.51,0.900364868098792,0.0,0.9512019391128054,-0.7878211400413391,-1.582258364503573,-0.12106939436900407,-1.3964409306858456,0.17920158312580248,-0.26313302901170105,0.9432342709188015,0.6366343735456538,10.21602,1.0,82.09837927892676,1.1343355807420241,3.649263456549454,4.224611455033203,392.3050782528983,7.350124369280017,0.017094017094017144,0.2713675213675214,41.61635742983439,82.09837927892676,10.746615927393727
10.0,10.71602,0.7377262115478516,2.194505214691162,3.4670382976531986,229.33908945322037,11,1.52202380301716,10.01,0.4993409112229024,0.0,1.022683758186153,-0.1573374379922159,-1.0443941819976585,0.2988936966329842,-0.4024830797263907,0.19343110245822645,0.5465397503732825,0.3616710520129166,0.4011971794883912,10.71602,0.0,71.1540274388607,1.948389367594612,3.1331599829293557,3.3141202789569393,339.785919960212,6.341917216535148,0.023504273504273532,0.05982905982905984,36.551208403227655,71.1540274388607,13.133673617723435
10.5,11.21602,0.838591992855072,1.8716766834259033,3.50903503894806,204.37728196382523,11,1.4368078888834217,10.51,0.9578625427487051,0.0,0.8691340408462612,-0.6068585880273005,1.2404510257946622,0.6416173023755325,-0.9835208874547602,1.8128233968048393,-0.3488885230536217,0.47068543143437125,-0.6514801374539458,11.21602,0.0,64.51988554651055,1.2043998869142372,2.8175567078565495,2.9834527999601144,307.95036192333015,5.730300424444166,0.02777777777777779,0.2286324786324786,32.86214271671239,64.51988554651055,10.1183167998237
11.0,11.71602,0.6831403970718384,1.1032549142837524,2.3268785595893866,100.59280699491501,11,1.0080124002656095,11.01,0.9525366926318648,0.0,0.9506696015933678,0.6314860911193798,1.726196874210153,0.2757441606412159,-0.0789684729808558,0.16395267510981348,0.2139416151558584,-1.7825616149152896,-0.7400206804387655,11.71602,0.0,32.95960765143396,1.0301132601199643,1.3240803701421253,1.0032038499517906,156.50062284744442,2.8222886380055936,0.038461538461538436,0.3354700854700855,16.994860455776962,32.95960765143396,8.700638057181642
