regime,target_domain,feature_group,source,run_id,block_id,samples,rmse,independence_note
S0,SYN-OAK,B0_residual_9D,synthetic,syn-oak-r4-028,1,8,0.11049376222053202,8-epoch block summary; blocks within one recording are not independent recording replicates
S0,SYN-OAK,B0_residual_9D,synthetic,syn-oak-r4-028,2,40,0.2602680763979695,8-epoch block summary; blocks within one recording are not independent recording replicates
S0,SYN-OAK,B0_residual_9D,synthetic,syn-oak-r4-028,3,52,0.27788373161119573,8-epoch block summary; blocks within one recording are not independent recording replicates
S0,SYN-OAK,B0_residual_9D,synthetic,syn-oak-r4-028,4,46,0.2765356067970865,8-epoch block summary; blocks within one recording are not independent recording replicates
S0,SYN-OAK,B0_residual_9D,synthetic,syn-oak-r4-028,5,30,0.19231050127605254,8-epoch block summary; blocks within one recording are not independent recording replicates
S0,SYN-OAK,B0_residual_9D,synthetic,syn-oak-r4-028,6,30,0.2007820685645727,8-epoch block summary; blocks within one recording are not independent recording replicates
S0,SYN-OAK,B0_residual_9D,synthetic,syn-oak-r4-028,7,44,0.29463519219848977,8-epoch block summary; blocks within one recording are not independent recording replicates
S0,SYN-OAK,B0_residual_9D,synthetic,syn-oak-r4-028,8,51,0.297153394293363,8-epoch block summary; blocks within one recording are not independent recording replicates
S0,SYN-OAK,B0_residual_9D,synthetic,syn-oak-r4-028,9,46,0.28815791683587094,8-epoch block summary; blocks within one recording are not independent recording replicates
S0,SYN-OAK,B0_residual_9D,synthetic,syn-oak-r4-028,10,36,0.24901567385502704,8-epoch block summary; blocks within one recording are not independent recording replicates
S0,SYN-OAK,B0_residual_9D,synthetic,syn-oak-r4-028,11,27,0.1844565054822791,8-epoch block summary; blocks within one recording are not independent recording replicates
S0,SYN-OAK,B0_residual_9D,synthetic,syn-oak-r4-028,12,34,0.2303541393566236,8-epoch block summary; blocks within one recording are not independent recording replicates
S0,SYN-OAK,B0_residual_9D,synthetic,syn-oak-r4-028,13,53,0.2880948699367534,8-epoch block summary; blocks within one recording are not independent recording replicates
