regime,target_domain,split,model,alpha,validation_mse,parameter_count,train_support,validation_support,s0_base_coef_hash,correction_coef_hash,correction_nonzero,mse,mae,samples,support_sha256,target_dimensions,improvement_vs_P1,incremental_r2_vs_P1,tap_E4_mse,tap_E3_mse,tap_E2_mse,tap_E_mse,tap_P_mse,tap_L_mse,tap_L2_mse,tap_L3_mse,tap_L4_mse,na_reason
S0,SYN-OAK,fit_audit,P1,0.1,0.0010325915154248,495.0,27937.0,2984.0,,d5470699c8c521063d0e30028a0e7d56cb6361a5b39ae8508c9f5620232fbf99,True,,,,,,,,,,,,,,,,,clean split metrics/support hash/per-tap errors not applicable to fit-audit row
S0,SYN-OAK,fit_audit,P2,0.1,0.0485782219326483,513.0,27937.0,2984.0,,d807558599a207e67b7fb0eedbd5f7535c12fd1f50823ed3412ca4cd48209842,True,,,,,,,,,,,,,,,,,clean split metrics/support hash/per-tap errors not applicable to fit-audit row
S0,SYN-OAK,fit_audit,P3,0.1,0.0010379712275879,999.0,27937.0,2984.0,,3a10eef1678367ea19d10ae0010f0ac33a05c11666f23aa68b1231b45e87e775,True,,,,,,,,,,,,,,,,,clean split metrics/support hash/per-tap errors not applicable to fit-audit row
S0,SYN-OAK,clean_validation,P0,,,,,,,,,0.0490146722929687,0.1568487744488761,2984.0,ebcf90d2de71ad026c209496a131e07560392548e861f6e8a1a85f0fd2607f7c,9.0,,,0.1208388939032722,0.0992111915674334,0.0611810720054646,0.0101897946694509,0.00317628052514,0.0134544162919858,0.0200927600698797,0.052519923750987,0.0604677178531049,P3-vs-P1 applies only to P3; incremental R2 applies only to P2/P3
S0,SYN-OAK,clean_validation,P1,,,,,,,,,0.0010325915154248,0.015692836826475,2984.0,ebcf90d2de71ad026c209496a131e07560392548e861f6e8a1a85f0fd2607f7c,9.0,,,0.0021314029644371,0.0017130547083945,0.0009913930948232,0.0005501508196785,6.863813126265966e-06,0.0004485882616139,0.0008118639826238,0.0011641989143911,0.0014758070797347,P3-vs-P1 applies only to P3; incremental R2 applies only to P2/P3
S0,SYN-OAK,clean_validation,P2,,,,,,,,,0.0485782219326483,0.1522602645572389,2984.0,ebcf90d2de71ad026c209496a131e07560392548e861f6e8a1a85f0fd2607f7c,9.0,,-46.0449555385526,0.1174273829239665,0.1013013953015513,0.0627439807844741,0.0098999138131376,0.0013864451174928,0.0136969813469541,0.0204681100971324,0.0518248522735789,0.0584549357355474,P3-vs-P1 applies only to P3; incremental R2 applies only to P2/P3
S0,SYN-OAK,clean_validation,P3,,,,,,,,,0.0010379712275879,0.0157808255364224,2984.0,ebcf90d2de71ad026c209496a131e07560392548e861f6e8a1a85f0fd2607f7c,9.0,-5.379712163121244e-06,-0.0052099131968055,0.0021413926410624,0.0017224067328552,0.0009968265961381,0.0005529005441824,6.887871441139843e-06,0.0004508621377675,0.0008145753629031,0.0011709717932732,0.0014849173686682,
S0,SYN-OAK,independent_clean_test,P0,,,,,,,,,0.0142938587023862,0.1079229392548922,3004.0,07fc1f07486a1d9472a707ca2b6ab2c73b2d783bdbb1b0e7f4bd8abc439e3393,9.0,,,0.0068208210167507,0.0352837880615093,0.0266544326877648,0.0028694204335025,0.0006132567415842,0.007364712307927,0.0151330287216644,0.0168254918827354,0.0170797764680379,P3-vs-P1 applies only to P3; incremental R2 applies only to P2/P3
S0,SYN-OAK,independent_clean_test,P1,,,,,,,,,0.000349474162689,0.0147272534383417,3004.0,07fc1f07486a1d9472a707ca2b6ab2c73b2d783bdbb1b0e7f4bd8abc439e3393,9.0,,,0.0001393290507583,0.0001121813421593,0.0001776248396537,0.0001901627486868,4.3926902437202057e-07,0.0002131537108666,0.0005743127208377,0.0007428576294519,0.000995206152762,P3-vs-P1 applies only to P3; incremental R2 applies only to P2/P3
S0,SYN-OAK,independent_clean_test,P2,,,,,,,,,0.0224050492977515,0.139467648415106,3004.0,07fc1f07486a1d9472a707ca2b6ab2c73b2d783bdbb1b0e7f4bd8abc439e3393,9.0,,-63.11074605732517,0.0283354700398881,0.0357845885048959,0.0315679819941369,0.0082215450645947,0.0011202642130987,0.0117720193852389,0.0164588825708916,0.0325515271304148,0.0358331647766042,P3-vs-P1 applies only to P3; incremental R2 applies only to P2/P3
S0,SYN-OAK,independent_clean_test,P3,,,,,,,,,0.0004844788874921,0.0175644856261905,3004.0,07fc1f07486a1d9472a707ca2b6ab2c73b2d783bdbb1b0e7f4bd8abc439e3393,9.0,-0.0001350047248031,-0.3863081715807888,0.0001579443837979,0.000120340763988,0.000234428930788,0.0002473380323323,7.088287438468576e-07,0.0003222925316278,0.0008738312967087,0.0011168805653269,0.0012865446541153,
S1,SYN-OAK,fit_audit,P1,100.0,8.849718500288438e-05,495.0,5071.0,1694.0,d5470699c8c521063d0e30028a0e7d56cb6361a5b39ae8508c9f5620232fbf99,52e340ca73c9d7d6597d4659651fcc07c2ff42234c4dce8c8cc8527686497672,True,,,,,,,,,,,,,,,,,clean split metrics/support hash/per-tap errors not applicable to fit-audit row
S1,SYN-OAK,fit_audit,P2,100.0,0.0003083999827043,513.0,5071.0,1694.0,d807558599a207e67b7fb0eedbd5f7535c12fd1f50823ed3412ca4cd48209842,7be71e61e720d9a4982355e763894d04fa87097c53505f818b73462ee73e4b94,True,,,,,,,,,,,,,,,,,clean split metrics/support hash/per-tap errors not applicable to fit-audit row
S1,SYN-OAK,fit_audit,P3,100.0,9.298135941477016e-05,999.0,5071.0,1694.0,3a10eef1678367ea19d10ae0010f0ac33a05c11666f23aa68b1231b45e87e775,1190722661d517432a2470d26702a5f035798d0d34ce0f9685bff1adbee674b7,True,,,,,,,,,,,,,,,,,clean split metrics/support hash/per-tap errors not applicable to fit-audit row
S1,SYN-OAK,clean_validation,P0,,,,,,,,,0.0132050668826367,0.1031565799767711,1694.0,1b5f2c2dbf8f85bc8e5ef38fa5d0f11f14458c604b3ff1b61017af7948f7f6e6,9.0,,,0.0061414329948929,0.033158445031642,0.0266432517267441,0.0027682397608409,0.000452070834934,0.0069287934588376,0.0134421868302964,0.014947531081818,0.0143636502237245,P3-vs-P1 applies only to P3; incremental R2 applies only to P2/P3
S1,SYN-OAK,clean_validation,P1,,,,,,,,,0.0052778014849404,0.0623833793927353,1694.0,1b5f2c2dbf8f85bc8e5ef38fa5d0f11f14458c604b3ff1b61017af7948f7f6e6,9.0,,,0.0066163282233164,0.0079468218326973,0.0080917932945659,0.0014155184556053,0.0005973859653656,0.0020813412851508,0.0038330644699895,0.0078872545961206,0.0090307052416517,P3-vs-P1 applies only to P3; incremental R2 applies only to P2/P3
