prn,window_bin_s,tap_E4_rel_prompt_mean,tap_E3_rel_prompt_mean,tap_E2_rel_prompt_mean,tap_E_rel_prompt_mean,tap_P_rel_prompt_mean,tap_L_rel_prompt_mean,tap_L2_rel_prompt_mean,tap_L3_rel_prompt_mean,tap_L4_rel_prompt_mean,window_start_s,window_end_s,tap_layout,label,run_id
1,257.5,1.2577553,1.179508,1.1936759,1.160778,1.0,1.1271358,1.1877134,1.2909878,1.4128505,257.5,258.0,"E4,E3,E2,E,P,L,L2,L3,L4",texbat_DS1_reconstructed_method_a_magnitude,DS1
1,258.0,1.264551,1.2503005,1.2182368,1.1157923,1.0,1.120672,1.2459185,1.3076506,1.3607274,258.0,258.5,"E4,E3,E2,E,P,L,L2,L3,L4",texbat_DS1_reconstructed_method_a_magnitude,DS1
1,258.5,1.3523926,1.3181657,1.2382137,1.1123308,1.0,1.1501125,1.2085639,1.3262734,1.3925773,258.5,259.0,"E4,E3,E2,E,P,L,L2,L3,L4",texbat_DS1_reconstructed_method_a_magnitude,DS1
1,259.0,1.591736,1.5149425,1.5006558,1.2143044,1.0,1.6290251,2.1573832,2.1884758,2.422894,259.0,259.5,"E4,E3,E2,E,P,L,L2,L3,L4",texbat_DS1_reconstructed_method_a_magnitude,DS1
1,259.5,1.5234606,1.4791142,1.3791677,1.1389269,1.0,1.0592806,1.2364964,1.3687841,1.4879105,259.5,260.0,"E4,E3,E2,E,P,L,L2,L3,L4",texbat_DS1_reconstructed_method_a_magnitude,DS1
1,260.0,1.2250838,1.1970471,1.1312704,1.0768803,1.0,1.0945832,1.1722547,1.2176579,1.2498741,260.0,260.5,"E4,E3,E2,E,P,L,L2,L3,L4",texbat_DS1_reconstructed_method_a_magnitude,DS1
1,260.5,1.5334904,1.4821198,1.3924409,1.197533,1.0,1.2007642,1.2906078,1.4600363,1.5893718,260.5,261.0,"E4,E3,E2,E,P,L,L2,L3,L4",texbat_DS1_reconstructed_method_a_magnitude,DS1
1,261.0,1.4360191,1.3078922,1.2405002,1.1874429,1.0,1.2374526,1.356276,1.4849017,1.5584055,261.0,261.5,"E4,E3,E2,E,P,L,L2,L3,L4",texbat_DS1_reconstructed_method_a_magnitude,DS1
1,261.5,1.5024906,1.3815182,1.239484,1.1571534,1.0,1.2121947,1.4378103,1.5333585,1.6155187,261.5,262.0,"E4,E3,E2,E,P,L,L2,L3,L4",texbat_DS1_reconstructed_method_a_magnitude,DS1
1,262.0,1.5861814,1.4645153,1.3457367,1.1579503,1.0,1.1657449,1.359917,1.4332474,1.581257,262.0,262.5,"E4,E3,E2,E,P,L,L2,L3,L4",texbat_DS1_reconstructed_method_a_magnitude,DS1
1,262.5,1.3776128,1.37756,1.2730434,1.0928233,1.0,1.1373277,1.254247,1.3415558,1.405881,262.5,263.0,"E4,E3,E2,E,P,L,L2,L3,L4",texbat_DS1_reconstructed_method_a_magnitude,DS1
1,263.0,1.4038137,1.271837,1.2249926,1.1717981,1.0,1.152291,1.2450478,1.3080695,1.344551,263.0,263.5,"E4,E3,E2,E,P,L,L2,L3,L4",texbat_DS1_reconstructed_method_a_magnitude,DS1
1,263.5,1.3964266,1.3164892,1.2388318,1.1190609,1.0,1.1322992,1.2445357,1.309823,1.3991657,263.5,264.0,"E4,E3,E2,E,P,L,L2,L3,L4",texbat_DS1_reconstructed_method_a_magnitude,DS1
