prn,window_bin_s,tap_E4_rel_prompt_mean,tap_E3_rel_prompt_mean,tap_E2_rel_prompt_mean,tap_E_rel_prompt_mean,tap_P_rel_prompt_mean,tap_L_rel_prompt_mean,tap_L2_rel_prompt_mean,tap_L3_rel_prompt_mean,tap_L4_rel_prompt_mean,window_start_s,window_end_s,tap_layout,label,run_id
1,232.5,1.5108384,1.3640794,1.2672377,1.1042063,1.0,1.1067302,1.1894035,1.3252999,1.4081757,232.5,233.0,"E4,E3,E2,E,P,L,L2,L3,L4",texbat_cleanStatic_reconstructed_method_a_magnitude,cleanStatic
1,233.0,1.1495142,1.1049718,1.084004,1.0384084,1.0,1.0487733,1.1059628,1.1525838,1.126796,233.0,233.5,"E4,E3,E2,E,P,L,L2,L3,L4",texbat_cleanStatic_reconstructed_method_a_magnitude,cleanStatic
1,233.5,1.1945803,1.1706276,1.1362691,1.1224939,1.0,1.0605302,1.1621553,1.2233111,1.258725,233.5,234.0,"E4,E3,E2,E,P,L,L2,L3,L4",texbat_cleanStatic_reconstructed_method_a_magnitude,cleanStatic
1,234.0,1.2884009,1.2391711,1.1896545,1.1007173,1.0,1.052947,1.096701,1.1187749,1.1651288,234.0,234.5,"E4,E3,E2,E,P,L,L2,L3,L4",texbat_cleanStatic_reconstructed_method_a_magnitude,cleanStatic
1,234.5,1.1856874,1.1569785,1.0976549,1.0836681,1.0,1.07568,1.1823287,1.2697902,1.3673551,234.5,235.0,"E4,E3,E2,E,P,L,L2,L3,L4",texbat_cleanStatic_reconstructed_method_a_magnitude,cleanStatic
1,235.0,1.2001054,1.1642815,1.1166645,1.0731373,1.0,1.0462617,1.0747105,1.0944949,1.1517881,235.0,235.5,"E4,E3,E2,E,P,L,L2,L3,L4",texbat_cleanStatic_reconstructed_method_a_magnitude,cleanStatic
1,235.5,1.4674618,1.3443197,1.2372372,1.1175634,1.0,1.1218803,1.2192153,1.2486144,1.301101,235.5,236.0,"E4,E3,E2,E,P,L,L2,L3,L4",texbat_cleanStatic_reconstructed_method_a_magnitude,cleanStatic
1,236.0,1.1797532,1.1177636,1.0860603,1.0445005,1.0,1.0761327,1.2084368,1.2101235,1.2196088,236.0,236.5,"E4,E3,E2,E,P,L,L2,L3,L4",texbat_cleanStatic_reconstructed_method_a_magnitude,cleanStatic
1,236.5,1.1688035,1.1226913,1.1306916,1.061873,1.0,1.1187418,1.1886777,1.2699742,1.3461499,236.5,237.0,"E4,E3,E2,E,P,L,L2,L3,L4",texbat_cleanStatic_reconstructed_method_a_magnitude,cleanStatic
1,237.0,1.1985798,1.1979064,1.1596637,1.0952239,1.0,1.0880628,1.1823753,1.2152867,1.2599503,237.0,237.5,"E4,E3,E2,E,P,L,L2,L3,L4",texbat_cleanStatic_reconstructed_method_a_magnitude,cleanStatic
1,237.5,1.3646214,1.2572304,1.170331,1.1203778,1.0,1.0837593,1.1075233,1.1993432,1.2754601,237.5,238.0,"E4,E3,E2,E,P,L,L2,L3,L4",texbat_cleanStatic_reconstructed_method_a_magnitude,cleanStatic
1,238.0,1.4430691,1.3500767,1.2232682,1.1357113,1.0,1.1892761,1.3348684,1.4646726,1.5654892,238.0,238.5,"E4,E3,E2,E,P,L,L2,L3,L4",texbat_cleanStatic_reconstructed_method_a_magnitude,cleanStatic
1,238.5,1.4961584,1.442351,1.3177898,1.1953423,1.0,1.1456517,1.279786,1.3712986,1.4125845,238.5,239.0,"E4,E3,E2,E,P,L,L2,L3,L4",texbat_cleanStatic_reconstructed_method_a_magnitude,cleanStatic
1,239.0,1.4645544,1.3720719,1.2421707,1.139053,1.0,1.0966429,1.1854279,1.2677883,1.3267914,239.0,239.5,"E4,E3,E2,E,P,L,L2,L3,L4",texbat_cleanStatic_reconstructed_method_a_magnitude,cleanStatic
1,239.5,1.6655141,1.5423858,1.3407519,1.2041919,1.0,1.1816827,1.3457043,1.4676608,1.5276542,239.5,240.0,"E4,E3,E2,E,P,L,L2,L3,L4",texbat_cleanStatic_reconstructed_method_a_magnitude,cleanStatic
1,240.0,1.2507387,1.2507558,1.1653804,1.110593,1.0,1.0793446,1.1430024,1.1737922,1.2166181,240.0,240.5,"E4,E3,E2,E,P,L,L2,L3,L4",texbat_cleanStatic_reconstructed_method_a_magnitude,cleanStatic
1,240.5,1.349326,1.2662704,1.1856829,1.1224384,1.0,1.1405052,1.2377874,1.3402201,1.4289933,240.5,241.0,"E4,E3,E2,E,P,L,L2,L3,L4",texbat_cleanStatic_reconstructed_method_a_magnitude,cleanStatic
1,241.0,1.3321098,1.2512356,1.2241968,1.1013343,1.0,1.0847747,1.183133,1.2648281,1.2969263,241.0,241.5,"E4,E3,E2,E,P,L,L2,L3,L4",texbat_cleanStatic_reconstructed_method_a_magnitude,cleanStatic
1,241.5,1.6146924,1.5808222,1.3679211,1.2058634,1.0,1.2463032,1.3481587,1.4706578,1.5440661,241.5,242.0,"E4,E3,E2,E,P,L,L2,L3,L4",texbat_cleanStatic_reconstructed_method_a_magnitude,cleanStatic
1,242.0,1.3115886,1.2615498,1.238725,1.1321877,1.0,1.1517613,1.3061676,1.4391036,1.570524,242.0,242.5,"E4,E3,E2,E,P,L,L2,L3,L4",texbat_cleanStatic_reconstructed_method_a_magnitude,cleanStatic
1,242.5,1.5791378,1.4105563,1.3120682,1.1482419,1.0,1.2269924,1.3896252,1.4751937,1.6476104,242.5,243.0,"E4,E3,E2,E,P,L,L2,L3,L4",texbat_cleanStatic_reconstructed_method_a_magnitude,cleanStatic
1,243.0,1.4261007,1.3686457,1.2292128,1.1150435,1.0,1.03985,1.0831684,1.0989759,1.1632047,243.0,243.5,"E4,E3,E2,E,P,L,L2,L3,L4",texbat_cleanStatic_reconstructed_method_a_magnitude,cleanStatic
1,243.5,1.1935683,1.148156,1.1340407,1.0556515,1.0,1.088616,1.1930058,1.2585796,1.2997211,243.5,244.0,"E4,E3,E2,E,P,L,L2,L3,L4",texbat_cleanStatic_reconstructed_method_a_magnitude,cleanStatic
1,244.0,1.663695,1.5269696,1.355864,1.1549726,1.0,1.2198346,1.3596438,1.4333612,1.5661671,244.0,244.5,"E4,E3,E2,E,P,L,L2,L3,L4",texbat_cleanStatic_reconstructed_method_a_magnitude,cleanStatic
1,244.5,1.5511538,1.5041193,1.3690157,1.2117852,1.0,1.1074053,1.1852334,1.2923293,1.3728323,244.5,245.0,"E4,E3,E2,E,P,L,L2,L3,L4",texbat_cleanStatic_reconstructed_method_a_magnitude,cleanStatic
1,245.0,1.1103522,1.0714804,1.0435019,1.0271817,1.0,1.0783542,1.1371101,1.1941429,1.2632158,245.0,245.5,"E4,E3,E2,E,P,L,L2,L3,L4",texbat_cleanStatic_reconstructed_method_a_magnitude,cleanStatic
1,245.5,1.3487854,1.2947913,1.2465563,1.1269032,1.0,1.1345026,1.2527294,1.3663647,1.4666915,245.5,246.0,"E4,E3,E2,E,P,L,L2,L3,L4",texbat_cleanStatic_reconstructed_method_a_magnitude,cleanStatic
1,246.0,1.4162277,1.3652741,1.2482752,1.129882,1.0,1.0559766,1.1132624,1.2089068,1.2362655,246.0,246.5,"E4,E3,E2,E,P,L,L2,L3,L4",texbat_cleanStatic_reconstructed_method_a_magnitude,cleanStatic
1,246.5,1.2825093,1.2305957,1.146388,1.068929,1.0,1.0567684,1.1407174,1.1875904,1.2135034,246.5,247.0,"E4,E3,E2,E,P,L,L2,L3,L4",texbat_cleanStatic_reconstructed_method_a_magnitude,cleanStatic
1,247.0,1.3307713,1.2973685,1.2343647,1.1132885,1.0,1.1564902,1.3011161,1.4456301,1.5839896,247.0,247.5,"E4,E3,E2,E,P,L,L2,L3,L4",texbat_cleanStatic_reconstructed_method_a_magnitude,cleanStatic
1,247.5,1.5788008,1.4010366,1.2748547,1.1233207,1.0,1.1744627,1.2934196,1.4719561,1.6043423,247.5,248.0,"E4,E3,E2,E,P,L,L2,L3,L4",texbat_cleanStatic_reconstructed_method_a_magnitude,cleanStatic
1,248.0,1.2979611,1.19808,1.1065866,1.0594078,1.0,1.1166657,1.2227318,1.259406,1.308605,248.0,248.5,"E4,E3,E2,E,P,L,L2,L3,L4",texbat_cleanStatic_reconstructed_method_a_magnitude,cleanStatic
10,0.5,0.51354307,0.6329293,0.75256336,0.8743086,1.0,0.9943395,0.86004674,0.7286289,0.5973231,0.5,1.0,"E4,E3,E2,E,P,L,L2,L3,L4",texbat_cleanStatic_reconstructed_method_a_magnitude,cleanStatic
10,1.0,0.52804697,0.64293,0.7589104,0.88022363,1.0,0.9073091,0.78081155,0.6626739,0.5425736,1.0,1.5,"E4,E3,E2,E,P,L,L2,L3,L4",texbat_cleanStatic_reconstructed_method_a_magnitude,cleanStatic
10,1.5,0.5543777,0.66843617,0.7813541,0.89721566,1.0,0.8779203,0.74953604,0.6304075,0.5106397,1.5,2.0,"E4,E3,E2,E,P,L,L2,L3,L4",texbat_cleanStatic_reconstructed_method_a_magnitude,cleanStatic
10,2.0,0.5450802,0.6661048,0.78092986,0.89807713,1.0,0.88616276,0.75983757,0.638058,0.51739055,2.0,2.5,"E4,E3,E2,E,P,L,L2,L3,L4",texbat_cleanStatic_reconstructed_method_a_magnitude,cleanStatic
