regime,target_domain,scenario,model,roc_auc,pr_auc,stable_pre_fpr,independent_clean_fpr,post_detection_rate,first_alarm_delay_s,persistent_detection_rate,threshold,threshold_source,transition_excluded,na_reason,independent_test_fpr,attack_detection_rate,persistent_delay_s,threshold_q99,threshold_q995,target_fpr_1pct_threshold,onset_time_basis
S0,SYN-OAK,os1,B0,0.47479729729729725,0.8693605039046672,0.008333333333333333,0.0364963503649635,0.043243243243243246,10.7152696,0.016216216216216217,0.13192205131053925,synthetic_validation,90--110 s,,,,,,,,
S0,SYN-OAK,os2,B0,0.021463963963963967,0.6844091899258735,0.05,0.0364963503649635,0.0,NA,0.0,0.13192205131053925,synthetic_validation,90--110 s,,,,,,,,
S0,SYN-OAK,os3,B0,0.20233108108108108,0.7396827313291567,0.016666666666666666,0.0364963503649635,0.0,NA,0.0,0.13192205131053925,synthetic_validation,90--110 s,,,,,,,,
S0,SYN-OAK,os4,B0,0.3611036036036036,0.8603384009834001,0.008333333333333333,0.0364963503649635,0.18243243243243243,18.181648999999993,0.012162162162162163,0.13192205131053925,synthetic_validation,90--110 s,,,,,,,,
S0,SYN-OAK,os1,M1,0.4708333333333333,0.8563967026253554,1.0,1.0,1.0,0.21526959999999917,0.9972972972972973,1.5629283719789224,synthetic_validation,90--110 s,,,,,,,,
S0,SYN-OAK,os2,M1,0.9878153153153154,0.9981808818138317,1.0,1.0,1.0,0.2332641999999936,0.9972972972972973,1.5629283719789224,synthetic_validation,90--110 s,,,,,,,,
S0,SYN-OAK,os3,M1,0.986813063063063,0.9980349412386206,1.0,1.0,1.0,0.1516222000000056,0.9972972972972973,1.5629283719789224,synthetic_validation,90--110 s,,,,,,,,
S0,SYN-OAK,os4,M1,0.6766666666666666,0.9435637335937967,1.0,1.0,0.995945945945946,0.18164899999999307,0.9851351351351352,1.5629283719789224,synthetic_validation,90--110 s,,,,,,,,
S0,SYN-OAK,os1,cal_mean,0.496677927927928,0.8730911509238943,1.0,1.0,1.0,0.21526959999999917,0.9972972972972973,1.290282016847975,synthetic_validation,90--110 s,,,,,,,,
S0,SYN-OAK,os2,cal_mean,0.9852590090090091,0.9978343905704838,1.0,1.0,1.0,0.2332641999999936,0.9972972972972973,1.290282016847975,synthetic_validation,90--110 s,,,,,,,,
S0,SYN-OAK,os3,cal_mean,0.985427927927928,0.9978485769171688,1.0,1.0,1.0,0.1516222000000056,0.9972972972972973,1.290282016847975,synthetic_validation,90--110 s,,,,,,,,
S0,SYN-OAK,os4,cal_mean,0.9813063063063063,0.9972213386251921,1.0,1.0,1.0,0.18164899999999307,0.9972972972972973,1.290282016847975,synthetic_validation,90--110 s,,,,,,,,
S0,SYN-OAK,os1,cal_max,0.4843581081081082,0.8666122396260496,1.0,1.0,1.0,0.21526959999999917,0.9972972972972973,2.35357206295789,synthetic_validation,90--110 s,,,,,,,,
S0,SYN-OAK,os2,cal_max,0.9878153153153154,0.9981808818138317,1.0,1.0,1.0,0.2332641999999936,0.9972972972972973,2.35357206295789,synthetic_validation,90--110 s,,,,,,,,
S0,SYN-OAK,os3,cal_max,0.986813063063063,0.9980349412386206,1.0,1.0,1.0,0.1516222000000056,0.9972972972972973,2.35357206295789,synthetic_validation,90--110 s,,,,,,,,
S0,SYN-OAK,os4,cal_max,0.9664076576576577,0.9949140203994113,1.0,1.0,1.0,0.18164899999999307,0.9972972972972973,2.35357206295789,synthetic_validation,90--110 s,,,,,,,,
S0,SYN-OAK,os1,P3,0.5358783783783784,0.8840971413407156,0.5166666666666667,0.5291970802919708,0.5283783783783784,0.21526959999999917,0.17702702702702702,0.00029860438916288963,synthetic_validation,90--110 s,,,,,,,,
S0,SYN-OAK,os2,P3,0.4563851351351352,0.8661579208991009,0.475,0.5291970802919708,0.4445945945945946,0.7332641999999936,0.0945945945945946,0.00029860438916288963,synthetic_validation,90--110 s,,,,,,,,
S0,SYN-OAK,os3,P3,0.6035698198198198,0.8995460653872499,0.5166666666666667,0.5291970802919708,0.6337837837837837,2.1516222000000056,0.2594594594594595,0.00029860438916288963,synthetic_validation,90--110 s,,,,,,,,
S0,SYN-OAK,os4,P3,0.9845382882882883,0.9977032985914536,0.44166666666666665,0.5291970802919708,0.9837837837837838,0.6816489999999931,0.9716216216216216,0.00029860438916288963,synthetic_validation,90--110 s,,,,,,,,
S0,SYN-OAK,os1,Full,0.49539414414414407,0.872280348036998,1.0,1.0,1.0,0.21526959999999917,0.9972972972972973,1.4119063214443395,synthetic_validation,90--110 s,,,,,,,,
S0,SYN-OAK,os2,Full,0.9871621621621621,0.9980875257793673,1.0,1.0,1.0,0.2332641999999936,0.9972972972972973,1.4119063214443395,synthetic_validation,90--110 s,,,,,,,,
