time_s,sample_count,channel,prn,carrier_doppler_hz,carrier_doppler_rate_hz,CN0_SNV_dB_Hz,Prompt_I,Prompt_Q,carrier_lock_test,carr_error_hz,code_error_chips
0.86989084,21747271,1,G26,696.821044921875,0.0,0.0,166618.03125,-56054.859375,1.0,-0.051650963723659515,0.10036298632621765
0.87089084,21772271,1,G26,707.0216064453125,0.0,0.0,335465.34375,293484.875,1.0,0.11439263075590134,-0.44526708126068115
0.87189084,21797271,1,G26,684.7308959960938,0.0,0.0,-10002.89453125,1031953.75,1.0,-0.24845732748508453,0.33032742142677307
0.87289084,21822271,1,G26,687.4823608398438,0.0,0.0,-88296.1953125,285605.46875,1.0,-0.2022799253463745,-0.29240450263023376
0.87389084,21847271,1,G26,709.4171142578125,0.0,0.0,522007.0625,771493.1875,1.0,0.15532490611076355,0.03897614777088165
0.87489084,21872271,1,G26,714.0527954101562,0.0,0.0,98200.703125,767534.8125,1.0,0.22974726557731628,-0.10442210733890533
0.87589084,21897271,1,G26,714.0250854492188,0.0,0.0,-126359.078125,-906104.4375,1.0,0.22794756293296814,0.23139779269695282
0.87689084,21922271,1,G26,705.5014038085938,0.0,0.0,-567940.0,-351000.1875,1.0,0.08810286968946457,0.02659321203827858
0.87789084,21947271,1,G26,708.7708740234375,0.0,0.0,-754090.9375,-919573.125,1.0,0.1406853348016739,-0.1886274665594101
0.87889084,21972271,1,G26,685.8386840820312,0.0,0.0,-47699.1171875,438831.4375,1.0,-0.23276817798614502,0.016646403819322586
0.87989084,21997271,1,G26,685.1537475585938,0.0,0.0,-16976.634765625,362082.3125,1.0,-0.2425432950258255,-0.09438071399927139
0.88089084,22022271,1,G26,707.9659423828125,0.0,0.0,444031.5,470048.5625,1.0,0.1295287311077118,0.35667967796325684
0.88189084,22047271,1,G26,699.720703125,0.0,0.0,108680.6875,-3555.408203125,1.0,-0.00520477956160903,-0.04481985792517662
0.88289084,22072271,1,G26,705.448974609375,0.0,0.0,647193.6875,398782.46875,1.0,0.08788944780826569,0.06625214219093323
0.88389084,22097271,1,G26,714.903076171875,0.0,0.0,35243.88671875,620344.5,1.0,0.24096757173538208,-0.01192538533359766
0.88489084,22122271,1,G26,707.1241455078125,0.0,0.0,684311.75,589179.6875,1.0,0.11313287913799286,-0.08937667310237885
0.88589084,22147271,1,G26,713.17919921875,0.0,0.0,243171.671875,967546.375,1.0,0.2108115553855896,-0.007172654382884502
0.88689084,22172271,1,G26,700.2371215820312,0.0,0.0,918328.875,-4369.833984375,1.0,-0.0007573272450827062,0.16098661720752716
0.88789084,22197271,1,G26,713.87841796875,0.0,0.0,296814.1875,1601612.0,1.0,0.22083593904972076,0.10739049315452576
0.88889084,22222271,1,G26,704.5939331054688,0.0,0.0,854136.0,392921.75,1.0,0.06862081587314606,0.18562465906143188
0.88989084,22247271,1,G26,690.1375122070312,0.0,31.764907836914062,-569938.75,988155.625,-0.5007534623146057,-0.1667359173297882,0.0351005494594574
0.89089084,22272271,1,G26,696.6385498046875,0.0,32.29329299926758,-599572.375,238209.15625,-0.5007534623146057,-0.06018846109509468,0.1514066755771637
0.89189084,22297271,1,G26,692.7633666992188,0.0,31.758499145507812,-534770.875,520539.5625,-0.5007534623146057,-0.1228538528084755,-0.03937186300754547
0.89289084,22322271,1,G26,690.2059326171875,0.0,33.07219314575195,435358.28125,-722934.8125,-0.5007534623146057,-0.16373124718666077,-0.22864371538162231
0.89389084,22347271,1,G26,705.083984375,0.0,31.70960807800293,-317694.125,-171882.9375,-0.5007534623146057,0.07893011718988419,0.012077400460839272
0.89489084,22372271,1,G26,695.16259765625,0.0,29.57840347290039,-1439886.875,824597.6875,-0.5007534623146057,-0.08277500420808792,0.208940789103508
0.89589084,22397271,1,G26,687.77685546875,0.0,29.775968551635742,-290761.375,941468.625,-0.5007534623146057,-0.20232588052749634,-0.003732734126970172
0.89689084,22422271,1,G26,685.0377197265625,0.0,30.845287322998047,-28670.931640625,1052087.25,-0.5007534623146057,-0.2456638664007187,-0.19510136544704437
0.89789084,22447271,1,G26,710.26123046875,0.0,28.501497268676758,-181651.875,-309813.78125,-0.5007534623146057,0.16559943556785583,0.5374148488044739
0.89889084,22472271,1,G26,686.513427734375,0.0,28.402183532714844,-74557.15625,408070.75,-0.5007534623146057,-0.22123859822750092,-0.35196712613105774
0.89989084,22497271,1,G26,715.1566772460938,0.0,30.55187225341797,40105.94140625,1401674.5,-0.5007534623146057,0.24544736742973328,0.01354131381958723
0.90089084,22522271,1,G26,712.9879760742188,0.0,31.047561645507812,-209945.625,-791839.0625,-0.5007534623146057,0.20875126123428345,0.1384192258119583
0.90189084,22547271,1,G26,700.4348754882812,0.0,32.37818908691406,-798346.125,-17726.48046875,-0.5007534623146057,0.0035332965198904276,0.5707995891571045
0.90289084,22572271,1,G26,712.0078125,0.0,32.17550277709961,242720.640625,630509.75,-0.5007534623146057,0.191514790058136,-0.1119242012500763
0.90389084,22597271,1,G26,700.8299560546875,0.0,31.690580368041992,-401564.4375,-22046.333984375,-0.5007534623146057,0.00872902013361454,-0.06453812122344971
0.90489084,22622271,1,G26,702.7910766601562,0.0,30.12293243408203,269920.875,70202.4609375,-0.5007534623146057,0.04049665480852127,0.4064313471317291
0.90589084,22647271,1,G26,704.756591796875,0.0,29.209476470947266,-641630.6875,-312558.71875,-0.5007534623146057,0.07214496284723282,0.10669426620006561
0.90689084,22672271,1,G26,700.507568359375,0.0,26.88404083251953,414005.5,6846.0205078125,-0.5007534623146057,0.0026315562427043915,0.1955699771642685
0.90789084,22697271,1,G26,695.3895263671875,0.0,27.964723587036133,575146.0,-318991.375,-0.5007534623146057,-0.08059423416852951,0.10899851471185684
0.90889084,22722271,1,G26,702.5038452148438,0.0,26.12666130065918,-1802704.875,-407983.40625,-0.5007534623146057,0.03542279452085495,-0.0704486072063446
0.90989084,22747271,1,G26,707.6099853515625,0.0,26.191204071044922,-270182.53125,-247799.328125,0.08626357465982437,0.11812682449817657,-0.13761869072914124
0.91089084,22772271,1,G26,692.7617797851562,0.0,26.015066146850586,-1281842.0,1263849.5,0.08626357465982437,-0.12387514114379883,0.0142104746773839
0.91189084,22797271,1,G26,689.2346801757812,0.0,25.73801040649414,231290.984375,-495592.3125,0.08626357465982437,-0.18050478398799896,0.1225995346903801
0.91289084,22822271,1,G26,703.4488525390625,0.0,26.28873062133789,1029274.375,344944.25,0.08626357465982437,0.051465898752212524,0.16368214786052704
0.91389084,22847271,1,G26,702.7305908203125,0.0,26.502113342285156,556896.6875,140943.4375,0.08626357465982437,0.03945167362689972,-0.05194450914859772
0.91489084,22872271,1,G26,687.1187744140625,0.0,25.753751754760742,-38296.8046875,168742.59375,-0.38241079449653625,-0.21448084712028503,0.13203294575214386
0.91589084,22897271,1,G26,704.3475952148438,0.0,26.147315979003906,-349134.0625,-155475.25,-0.38147345185279846,0.06667836755514145,0.06814923882484436
