run_id,domain,split,b0_rows,m1_rows,b0_sha256,m1_sha256,run_manifest_sha256,iq_sha256,iq_source_sha256,generator_sha256,receiver_manifest_sha256,receiver_config_sha256,tracked_rows,leaf_sha256
syn-oak-r4-001,SYN-OAK,train,1386,240,c2588b870a8a782106aa80a91e8b6020b9b2d1689e28370d74e1ba5183b3bd0b,dc6504b02abeff9ad321a644c926ea676d559f7a97881ba625375cac7a5e67a5,0454bea0c9eac49f87dcc8086e33ab293b1278eac5dc1f35ec951c5cf61566ea,fe59fdeb9bff49da6e7f89da6698aa2f1350539fa75b41e498253de475258bd8,c1443fcb069c4257ef6ef10426d4da8301d9e111ea876e91d125952936bbd9a6,27cd471d2023b8a26262584b14f71ebed602159da47b54172b22da9299011e28,2770ab371a38e34d662bcb5110b2e0698a8b69e5e46bcfd687ab93e232a76b76,b18354af4e4e74279a8b2d40912b32d60c58868ecbc65f037b24f59104b5d4ab,409983,997f0c27ff24a44401037bad2129e340152e4b907b47a41ffde47aa4ec0aa932
syn-oak-r4-002,SYN-OAK,train,1288,240,8adf6d66368c9705bcf5e2e3cdea71b502a73fcae2e8da093cfa9cda6992d6eb,72d260d519ddd8a583c5fdaa8ee61bf74be8dd5cf4e37180c8a7f445e302688f,5a3bde96cd85db737505604cf00de3dafa84af9052b093a65752ffc63738ca69,87591920331cba81529c68d3b153d30a7e153f769c80e127b81a8e7ee2b53027,1f6914ae0e31ec794d149abaa45a4ca8376983372622e234da3ff98cf1572f86,27cd471d2023b8a26262584b14f71ebed602159da47b54172b22da9299011e28,f2bf2a24191a234b24897d797933cd4564cb501e819eb5f6dcf3cad3a46ee7e8,2112076eb2ec62e56d90ab00379c7eb3a1d9ae7cb74b0c12b6b765f1a146746c,369514,cafa20d351791081af6df37aa0255a5e79ff304c0360dd976ebcff0767ee53d3
syn-oak-r4-003,SYN-OAK,train,1289,240,b6fd530bc51bc66c23cdec9b65212dca1a8d08b1b4d52111749762fd0d634411,1568e3971f582ee52cc4345dc3e447c4ccc65c9ff9cb3b689233e6bb3c8321dd,ad8cf1d9d33e1b9c17179fc5edd899269a567f4a6a0208364eb1db5e0d0b72f7,af4f59da08ce642075058a5f7e41025d78cc1a8d798905f7c4d4512e7524c119,88a4f70994e23c99472acfa524427fc7cdbdedc1e797ec9a500b9978df71433c,27cd471d2023b8a26262584b14f71ebed602159da47b54172b22da9299011e28,3fc53b22e10ff068bedd2b9dc360be4ff93b5cded49582ac844f3de687064b56,a41d409979b0ec0479ca61c2c7b7bab31d5bd2d70d9a143d691d6c4ffc8283a3,358436,66d6d166d8f70973f75a08702ca6e073ff61939dca3730cec5ea95919e057369
syn-oak-r4-004,SYN-OAK,train,1702,240,f6693a081b00c69a2c5f7b802527ff5d98d2cad2bdb206ea90abd40c0613252d,77054e07c1cd2edc3906ebdd568a50954fac1a826d9ab11f9c60669f4b065b84,bc7b2da45531424c2f661fe9d6a2bf84c7482e2975b7f6626e15d0537d8354fb,8ff5a5f63ca8650ca50f44910bc5c9179e791b48924c84116817e692144f9460,0043b51c4ebe095630945f24600fa13eeca6b40326cd724dec9bd38da8576833,27cd471d2023b8a26262584b14f71ebed602159da47b54172b22da9299011e28,0e161fc9b919a1900c3a1e10d7b42c61464f301e952cfd9229e3a18628379440,bdecc3ced270e96504c72b1f4ffe5fc89501b3e6cc96bd2401dac3de8674c7c6,276128,82dce19ffc2958de2c6256254e1e7610b7f9ff672e6e1edc8998e4b105bf0848
syn-oak-r4-005,SYN-OAK,train,1231,240,4d641ee383e2a0b9a1864055016efb0dfa00aeb768d778439780dec3965ca019,3d6e4469903ce555bcc2d6f24e6b948faf281dc3b91a9931f3a451dbb663fb5f,398aebbc02fdc50492dd8e4bf8ecf3b0d5fb96ec676dae12ade5b364f9497cb9,dd368bc4ff5bb2c839adb20f7839e1dd06a3579dbc773549c42ba0ecb4b2494a,9206e0d44843b7b0d2c3126642a6a2a9d3c642c74c0d466b1c526b57e8109b22,27cd471d2023b8a26262584b14f71ebed602159da47b54172b22da9299011e28,ba8ac2d4791abdd6f9da8c9b0c315c5af4445fa3c1c1fdb8c026f52a5c7a230c,2f9e1346bd68504b5405478926fe9af39a5e7c7ef732977d057fbe4ea0c4cb64,271535,2619209424b9653c0e4511b0a3753bc66dd200e7fcb79784e30879a9cd5218c4
syn-oak-r4-006,SYN-OAK,train,1161,240,9a42811d1418f3b27f40f5359465256329b1c2b77ed1cfa312f43598f32d9219,1f4f09921387aed440b73e5dfdc68b70fd7f68d13f3f068a2442e51a6cd3ec95,21afa6fc95295447a87ffe52eb6e3beac708931459d700e3b3086b5f1fe53c8a,945ce46def821486d135c5389018a715bfd178b590add6b5d25f55ab5488a539,0d944de2291d740e34c0a720499f27dcabf4832391a6bdfc8394d08b20bccb9a,27cd471d2023b8a26262584b14f71ebed602159da47b54172b22da9299011e28,0223ab8a044f2d65db29e9241ce9bfa67a1b35f1ddd8108cd2aa301fcbf230a4,48621e4d886ab7b8a88d0da3cae80b7bf42cebe5f926b843718166dcda4b5f1c,318248,bd5864c812cd13fd55ae588f52ed090969151d9325598df7efb4cdab6b36bf4b
syn-oak-r4-007,SYN-OAK,train,1283,240,a460be175fc0b2aaf9de11edc3cdaae3a478037fcbcb2985cfbdb27e313b52e5,5a9717f0ec9f3d622b8bbf38e56a99c5a70253692b36ed155525ba73be05d258,bf4aad1037100f73f4247b4efffb83f01e75e51482b378696de0cc6c88e4770f,d784e0d10709d3c5855f42f1641f00ea3fa6c141a3c0cf1bbfa335a3dd100593,9961cb6f88f632efc797f61c4923ca8db75491c34c4925ea69cc8e4b4e430ab4,27cd471d2023b8a26262584b14f71ebed602159da47b54172b22da9299011e28,9765b65e68b21448ad447681a9aa87a2c22a399e5d4b7485ac90bef5b08aa689,7353f427a15c5bfcb719744829f3a7d1e56720d7c1e37afd11199831dc8e4c1b,378266,f3b30f4103c08d384fe72cfdb904c79f3fc818610e7f53639137cab6dfa38bb9
syn-oak-r4-008,SYN-OAK,train,2091,240,9ae78a9e7d510ce796f63cee8bc036a5fc1536d2217ac07b344e9f0a3e9986d6,45e27c029a56bdb38674a443781a1dbba21dba4c74ee1663deb15b1601a160b2,38405953147316ef4599cca13181cd72a8265aae3836680b790f71b4b64c3995,ffd85d702016c2f1b173b28e5c2a00d0e4288d361831cc19bee2e54842f5c9df,6e7df5698eb8a406e371174080e8bd9e8a0bf56f119874d8c67533611f2db6df,27cd471d2023b8a26262584b14f71ebed602159da47b54172b22da9299011e28,2b4a5b1098bff03aa58b0e0d26d2ef5e2fe7537d853b218407c2666f206ee160,cf8b7ff7a3f8aae3e07cd5fd1e79a28e29d16c55a0659a993ee875a94f876d4a,259389,9648f7b188d2acf2791740249aaddd501e37cfc1c8392f72b4e4add5fbdd8e1f
syn-oak-r4-009,SYN-OAK,train,1866,240,a2e4006078fbbdf41cfa5211b58637319116f853deef9225a57f6b2516606f81,81d306fe10e987f6e24669306f21b2216b6c6b93ac62ef2e1b7da2e7443d1774,c8bfc87ed0fadbd534085c29dee18456af782ea9a1661082ce85c07ab35b2083,87dd0b6b875e938b64031748ba4840d21b88ee23a440d352292d7399d85b23c4,38272131585129ddb5f839ece52b4b2562c812875a6fc6131baaab8fe0b2d1d6,27cd471d2023b8a26262584b14f71ebed602159da47b54172b22da9299011e28,8501afbebdd5d64ef4f7772e26e3813c650bf872ed46416a28b52d8a8ed06c6e,80a8ace67180bcc68495745f0f40cb2f83b346d033abb43815f1cb0110261ea5,321795,cfdc662e8b1c42be90e708e422e187315b985acd9b34f4bed541884b8e24713a
syn-oak-r4-010,SYN-OAK,train,1948,240,3f42a038f52d6c6f9c87a9bf363a5484aebe8e5a599a1484450027b990fba5c1,e40af23a2f06aa89fda378ac90ca35680493160ef0e4f5516b49e530c292b3bf,54c4b65d0a5588b5f39dfb99a1fc09ad4cbd6498fb6ff6225be8b5b874daf2f1,34ce36e569fbdfb20a49da2d09af6e7f4c7ac3d304f29654e3a93d8efb1d0dec,7bb9ce4cdd390d4d2c0712a14d94001fc43a6bc1ec4c6d603174f09db7c60870,27cd471d2023b8a26262584b14f71ebed602159da47b54172b22da9299011e28,a74955540e0d1041f0752a9db217270404b4fcc0556cd79beeef5523f094a485,2fbe5eb27129bd13fe9962e1a234880a66fc599ba4d06a23cbec1a76c6da623b,315985,fa5bd955f17f0e47e6f13a911f4345eb5b220dd12c0c98844fffa421e4ad4699
