run_id,domain,split,label,location_id,latitude_deg,longitude_deg,altitude_m,utc,duration_s,impairment_seed,rinex_nav,sample_rate_hz,sample_format,impairments_json
syn-oak-r4-001,SYN-OAK,train,normal,KOR-Seoul,37.5665,126.978,50.0,2026-07-18T00:00:00Z,120,1733533576201908976,data/ephemeris/brdc1990.26n,5000000,s16le_iq,"{""agc_gain_db"":-0.3642643674683063,""attack"":false,""awgn_cn0_dbhz"":46.72196108281268,""cfo_drift_hz_s"":0.06568838199593884,""cfo_hz"":7.166091800102798,""clipping_fullscale"":30000,""dc_i"":-10.697303600720613,""dc_q"":10.319985836644275,""frontend_bw_hz"":1784320.262179706,""iq_gain_imbalance_db"":0.12214367903402296,""iq_phase_imbalance_deg"":1.0479618099271735,""phase_noise_std_rad"":6.037755024212742e-05,""profile"":""open_sky_normal"",""quantization_bits"":16,""spoofing"":false}"
syn-oak-r4-002,SYN-OAK,train,normal,JPN-Tokyo,35.6762,139.6503,40.0,2026-07-18T00:40:00Z,120,1643725287668146524,data/ephemeris/brdc1990.26n,5000000,s16le_iq,"{""agc_gain_db"":-0.09671623438244681,""attack"":false,""awgn_cn0_dbhz"":44.800509710243404,""cfo_drift_hz_s"":-0.06408480589780716,""cfo_hz"":11.942519328673377,""clipping_fullscale"":30000,""dc_i"":3.342622401425169,""dc_q"":6.202720829677951,""frontend_bw_hz"":1842274.6995460049,""iq_gain_imbalance_db"":-0.055535832748550285,""iq_phase_imbalance_deg"":1.143928907693746,""phase_noise_std_rad"":4.160704125089011e-05,""profile"":""open_sky_normal"",""quantization_bits"":16,""spoofing"":false}"
syn-oak-r4-003,SYN-OAK,train,normal,CHN-Beijing,39.9042,116.4074,45.0,2026-07-18T01:20:00Z,120,11659641000740733184,data/ephemeris/brdc1990.26n,5000000,s16le_iq,"{""agc_gain_db"":0.21812197729420824,""attack"":false,""awgn_cn0_dbhz"":44.11728406999668,""cfo_drift_hz_s"":0.0620216444907221,""cfo_hz"":-16.82621410352103,""clipping_fullscale"":30000,""dc_i"":-6.090937893558018,""dc_q"":-7.920916605888717,""frontend_bw_hz"":2158084.499376988,""iq_gain_imbalance_db"":-0.18759862692739193,""iq_phase_imbalance_deg"":-0.20720083896766506,""phase_noise_std_rad"":2.96766828835753e-05,""profile"":""open_sky_normal"",""quantization_bits"":16,""spoofing"":false}"
syn-oak-r4-004,SYN-OAK,train,normal,TWN-Taipei,25.033,121.5654,20.0,2026-07-18T02:00:00Z,120,5499213821122426820,data/ephemeris/brdc1990.26n,5000000,s16le_iq,"{""agc_gain_db"":0.4165472901614822,""attack"":false,""awgn_cn0_dbhz"":49.24989541675126,""cfo_drift_hz_s"":0.00811987541784219,""cfo_hz"":3.929289750229813,""clipping_fullscale"":30000,""dc_i"":1.4961165350925185,""dc_q"":5.205434679471644,""frontend_bw_hz"":2214772.05795682,""iq_gain_imbalance_db"":-0.24877700130551933,""iq_phase_imbalance_deg"":-1.1389429594672584,""phase_noise_std_rad"":0.00010361307845681754,""profile"":""open_sky_normal"",""quantization_bits"":16,""spoofing"":false}"
syn-oak-r4-005,SYN-OAK,train,normal,MNG-Ulaanbaatar,47.8864,106.9057,1350.0,2026-07-18T02:40:00Z,120,17250995530853350129,data/ephemeris/brdc1990.26n,5000000,s16le_iq,"{""agc_gain_db"":0.6175250233034282,""attack"":false,""awgn_cn0_dbhz"":46.80694838912009,""cfo_drift_hz_s"":0.025199793865838954,""cfo_hz"":-10.601116689854656,""clipping_fullscale"":30000,""dc_i"":5.215275099206423,""dc_q"":-5.060408390785442,""frontend_bw_hz"":1777239.3746617932,""iq_gain_imbalance_db"":-0.15900354127762695,""iq_phase_imbalance_deg"":-0.8254909611397245,""phase_noise_std_rad"":3.751977138254643e-05,""profile"":""open_sky_normal"",""quantization_bits"":16,""spoofing"":false}"
syn-oak-r4-006,SYN-OAK,train,normal,THA-Bangkok,13.7563,100.5018,5.0,2026-07-18T03:20:00Z,120,9875594328093802006,data/ephemeris/brdc1990.26n,5000000,s16le_iq,"{""agc_gain_db"":-0.2486178002637741,""attack"":false,""awgn_cn0_dbhz"":44.23581693859021,""cfo_drift_hz_s"":-0.03256746799452451,""cfo_hz"":-31.245694829780774,""clipping_fullscale"":30000,""dc_i"":-10.175402581552827,""dc_q"":-5.762989871229941,""frontend_bw_hz"":1968252.8791924703,""iq_gain_imbalance_db"":-0.1304941547726982,""iq_phase_imbalance_deg"":-0.9928529778910004,""phase_noise_std_rad"":8.18138543634121e-05,""profile"":""open_sky_normal"",""quantization_bits"":16,""spoofing"":false}"
syn-oak-r4-007,SYN-OAK,train,normal,VNM-Hanoi,21.0278,105.8342,20.0,2026-07-18T04:00:00Z,120,13743639988815233246,data/ephemeris/brdc1990.26n,5000000,s16le_iq,"{""agc_gain_db"":-0.3493980484730818,""attack"":false,""awgn_cn0_dbhz"":45.641268775853796,""cfo_drift_hz_s"":-0.011714686664349397,""cfo_hz"":-32.75390869383716,""clipping_fullscale"":30000,""dc_i"":-4.889135730267227,""dc_q"":-7.122265871391275,""frontend_bw_hz"":2254140.5124145127,""iq_gain_imbalance_db"":0.2394357184584392,""iq_phase_imbalance_deg"":-0.5366500474361114,""phase_noise_std_rad"":0.00013980761302844445,""profile"":""open_sky_normal"",""quantization_bits"":16,""spoofing"":false}"
syn-oak-r4-008,SYN-OAK,train,normal,KHM-PhnomPenh,11.5564,104.9282,12.0,2026-07-18T04:40:00Z,120,2718466776760988103,data/ephemeris/brdc1990.26n,5000000,s16le_iq,"{""agc_gain_db"":-0.17583668992393575,""attack"":false,""awgn_cn0_dbhz"":48.31736543728614,""cfo_drift_hz_s"":-0.0002593286504411485,""cfo_hz"":-21.937427219724945,""clipping_fullscale"":30000,""dc_i"":10.596566224708148,""dc_q"":-8.67857391828954,""frontend_bw_hz"":2274603.0257192818,""iq_gain_imbalance_db"":-0.19514239310193487,""iq_phase_imbalance_deg"":-0.1381156378697197,""phase_noise_std_rad"":2.0747662890464223e-05,""profile"":""open_sky_normal"",""quantization_bits"":16,""spoofing"":false}"
syn-oak-r4-009,SYN-OAK,train,normal,LAO-Vientiane,17.9757,102.6331,174.0,2026-07-18T05:20:00Z,120,12128184293544636109,data/ephemeris/brdc1990.26n,5000000,s16le_iq,"{""agc_gain_db"":0.6465248385344593,""attack"":false,""awgn_cn0_dbhz"":47.26031619191407,""cfo_drift_hz_s"":-0.025435911956185095,""cfo_hz"":25.7678472953872,""clipping_fullscale"":30000,""dc_i"":-11.038734263473835,""dc_q"":-5.21891795311292,""frontend_bw_hz"":1797405.437983642,""iq_gain_imbalance_db"":0.02015435571756019,""iq_phase_imbalance_deg"":0.2790328385201979,""phase_noise_std_rad"":7.876317746031792e-05,""profile"":""open_sky_normal"",""quantization_bits"":16,""spoofing"":false}"
syn-oak-r4-010,SYN-OAK,train,normal,MMR-Naypyidaw,19.7633,96.0785,115.0,2026-07-18T06:00:00Z,120,18188009791556106177,data/ephemeris/brdc1990.26n,5000000,s16le_iq,"{""agc_gain_db"":-0.048848886190483,""attack"":false,""awgn_cn0_dbhz"":49.89297037166055,""cfo_drift_hz_s"":0.011510346089318002,""cfo_hz"":-26.58896794929857,""clipping_fullscale"":30000,""dc_i"":-0.998214095371468,""dc_q"":2.8723845726953776,""frontend_bw_hz"":2184672.68772203,""iq_gain_imbalance_db"":0.14490941244192868,""iq_phase_imbalance_deg"":1.0062911843984483,""phase_noise_std_rad"":0.00014212907826746413,""profile"":""open_sky_normal"",""quantization_bits"":16,""spoofing"":false}"
