tier,scenario,model,metric,low,high,reason,reps,seed,limitation,method,iid_fallback,block_epochs,cadence_s,phase_anchor,resampled_original_block_count,boundary_or_gap_crossing,point_estimate_uses_all_eligible_epochs,block_boundary_dimensions,point,stratum_epoch_counts,stratum_complete_block_counts
development,DS1,CMTE-A2,roc_auc,0.9634580514705884,0.9871343658088236,,2000.0,20260802.0,conditional temporal CI; one recording,moving_block,False,20,0.5,fixed_chunk_start,True,False,True,"['scenario', 'phase', 'physical_recording_id', 'producer_chain_id', 'cadence_chain_id', 'cadence_gap']",0.9478955723472322,"{'stable_pre': 1016, 'post': 7310}","{'stable_pre': 40, 'post': 340}"
development,DS1,CMTE-A2,stable_pre_fpr,0.0,0.0,,2000.0,20260802.0,conditional temporal CI; one recording,moving_block,False,20,0.5,fixed_chunk_start,True,False,True,"['scenario', 'phase', 'physical_recording_id', 'producer_chain_id', 'cadence_chain_id', 'cadence_gap']",0.0196850393700787,{'stable_pre': 1016},{'stable_pre': 40}
development,DS1,CMTE-A2,persistent_detection_rate,0.50937109375,0.59140625,,2000.0,20260802.0,conditional temporal CI; one recording,moving_block,False,20,0.5,fixed_chunk_start,True,False,True,"['scenario', 'phase', 'physical_recording_id', 'producer_chain_id', 'cadence_chain_id', 'cadence_gap']",0.5487692307692308,{'persistent': 6500},{'persistent': 320}
development,DS1,CMTE-A2,post_detection_rate,0.4802941176470588,0.5608933823529412,,2000.0,20260802.0,conditional temporal CI; one recording,moving_block,False,20,0.5,fixed_chunk_start,True,False,True,"['scenario', 'phase', 'physical_recording_id', 'producer_chain_id', 'cadence_chain_id', 'cadence_gap']",0.5042407660738714,{'post': 7310},{'post': 340}
development,DS1,A0,roc_auc,0.965151677389706,0.9878618244485295,,2000.0,20260802.0,conditional temporal CI; one recording,moving_block,False,20,0.5,fixed_chunk_start,True,False,True,"['scenario', 'phase', 'physical_recording_id', 'producer_chain_id', 'cadence_chain_id', 'cadence_gap']",0.9503138565442656,"{'stable_pre': 1016, 'post': 7310}","{'stable_pre': 40, 'post': 340}"
development,DS1,A0,stable_pre_fpr,0.0075,0.0325,,2000.0,20260802.0,conditional temporal CI; one recording,moving_block,False,20,0.5,fixed_chunk_start,True,False,True,"['scenario', 'phase', 'physical_recording_id', 'producer_chain_id', 'cadence_chain_id', 'cadence_gap']",0.0521653543307086,{'stable_pre': 1016},{'stable_pre': 40}
development,DS1,A0,persistent_detection_rate,0.9965625,0.99921875,,2000.0,20260802.0,conditional temporal CI; one recording,moving_block,False,20,0.5,fixed_chunk_start,True,False,True,"['scenario', 'phase', 'physical_recording_id', 'producer_chain_id', 'cadence_chain_id', 'cadence_gap']",0.9973846153846154,{'persistent': 6500},{'persistent': 320}
development,DS1,A0,post_detection_rate,0.9317647058823528,0.970735294117647,,2000.0,20260802.0,conditional temporal CI; one recording,moving_block,False,20,0.5,fixed_chunk_start,True,False,True,"['scenario', 'phase', 'physical_recording_id', 'producer_chain_id', 'cadence_chain_id', 'cadence_gap']",0.929001367989056,{'post': 7310},{'post': 340}
development,DS1,B0-Exact,roc_auc,0.9664552022058824,0.988305818014706,,2000.0,20260802.0,conditional temporal CI; one recording,moving_block,False,20,0.5,fixed_chunk_start,True,False,True,"['scenario', 'phase', 'physical_recording_id', 'producer_chain_id', 'cadence_chain_id', 'cadence_gap']",0.9662915917145104,"{'stable_pre': 1016, 'post': 7310}","{'stable_pre': 40, 'post': 340}"
development,DS1,B0-Exact,stable_pre_fpr,0.00125,0.01,,2000.0,20260802.0,conditional temporal CI; one recording,moving_block,False,20,0.5,fixed_chunk_start,True,False,True,"['scenario', 'phase', 'physical_recording_id', 'producer_chain_id', 'cadence_chain_id', 'cadence_gap']",0.0039370078740157,{'stable_pre': 1016},{'stable_pre': 40}
development,DS1,B0-Exact,persistent_detection_rate,1.0,1.0,,2000.0,20260802.0,conditional temporal CI; one recording,moving_block,False,20,0.5,fixed_chunk_start,True,False,True,"['scenario', 'phase', 'physical_recording_id', 'producer_chain_id', 'cadence_chain_id', 'cadence_gap']",1.0,{'persistent': 6500},{'persistent': 320}
development,DS1,B0-Exact,post_detection_rate,0.9351213235294118,0.9733823529411764,,2000.0,20260802.0,conditional temporal CI; one recording,moving_block,False,20,0.5,fixed_chunk_start,True,False,True,"['scenario', 'phase', 'physical_recording_id', 'producer_chain_id', 'cadence_chain_id', 'cadence_gap']",0.9305061559507524,{'post': 7310},{'post': 340}
development,DS1,B0-Enhanced,roc_auc,0.9660469071691176,0.98848578125,,2000.0,20260802.0,conditional temporal CI; one recording,moving_block,False,20,0.5,fixed_chunk_start,True,False,True,"['scenario', 'phase', 'physical_recording_id', 'producer_chain_id', 'cadence_chain_id', 'cadence_gap']",0.9656584928422935,"{'stable_pre': 1016, 'post': 7310}","{'stable_pre': 40, 'post': 340}"
