dataset,phase,N,epochs,full_score_mean,full_score_median,full_epoch_occupancy,catastrophic_predeclared
DS1,stable_pre,10,84,39.452819986858486,34.765586709571025,1.0,True
DS1,stable_pre,11,36,34.55020841297211,34.542839142142086,1.0,True
DS1,all_scenario,8,3,0.0,0.0,0.0,False
DS1,all_scenario,9,3,0.0,0.0,0.0,False
DS1,all_scenario,10,751,786.4435031802467,753.2960241042083,1.0,False
DS1,all_scenario,11,153,266.38389875982335,158.32857742932362,0.9803921568627451,False
DS2,stable_pre,9,88,6.841581377768545,0.0,0.4090909090909091,True
DS2,stable_pre,10,32,6.38132679952482,3.1554973649526215,0.5,True
DS2,all_scenario,7,1,0.0,0.0,0.0,False
DS2,all_scenario,8,17,0.0034339389090505363,0.0,0.0,False
DS2,all_scenario,9,753,590.4683556578087,614.3955640064099,0.8871181938911022,False
DS2,all_scenario,10,130,281.33616206559805,336.02855130974945,0.8769230769230769,False
DS3,stable_pre,2,98,15.508203418866811,13.77147431723176,0.7040816326530612,True
DS3,stable_pre,3,14,9.649316439806743,1.176297302586915,0.21428571428571427,False
DS3,stable_pre,4,3,43.56228461673732,43.56279599269716,1.0,False
DS3,stable_pre,6,5,41.56304744376918,41.56485382029095,1.0,False
DS3,all_scenario,2,216,28.277356215237322,9.13902002171234,0.5694444444444444,False
DS3,all_scenario,3,90,111.45871392746383,83.4797803353243,0.8777777777777778,False
DS3,all_scenario,4,499,1082.6069999545662,1114.5590089361197,1.0,False
DS3,all_scenario,5,65,485.4171121618716,503.91512165685026,1.0,False
DS3,all_scenario,6,9,38.389660052792095,38.31721221425018,1.0,False
DS3,all_scenario,7,4,20.325680404160018,20.332928521782392,1.0,False
DS3,all_scenario,8,8,15.749781386919938,17.051536112839017,0.875,False
DS3,all_scenario,9,6,4.431036774516211,4.430542761599382,0.6666666666666666,False
DS3,all_scenario,10,1,8.77522930444288,8.77522930444288,1.0,False
DS3,all_scenario,11,4,11.528378184921799,11.529085935199216,1.0,False
DS4,stable_pre,10,94,11.742125731358069,11.693668224886423,1.0,True
DS4,stable_pre,11,26,3.8732846367202387,3.80481083244284,0.5384615384615384,True
DS4,all_scenario,8,2,0.0,0.0,0.0,False
DS4,all_scenario,10,142,14.438299024174265,13.802805882418921,0.9788732394366197,False
DS4,all_scenario,11,99,5.20984624609496,2.862148427980244,0.3838383838383838,False
independent_clean_test,clean,8,1,0.0,0.0,0.0,False
independent_clean_test,clean,9,1,6.527995653621486,6.527995653621486,1.0,False
independent_clean_test,clean,10,218,20.46187534699818,18.748115105986614,1.0,True
independent_clean_test,clean,11,47,19.56918599268561,22.74604839742979,0.9574468085106383,True
