method,operating_point,threshold,epoch_fpr,alarm_epoch_count,alarm_epoch_occupancy_per_min,false_alarm_events,false_alarms_per_min,sequence_any_alarm_fraction,first_crossing_epoch,first_crossing_censored,censored_run_length_epochs,censored_arl_epochs,block_any_fraction,blocks
A0,q99,0.35194873809814453,0.13108614232209737,35,15.730337078651685,10,4.4943820224719095,1.0,2,False,2.0,2.0,0.625,8
A0,q995,0.3682686388492584,0.12734082397003746,34,15.280898876404494,9,4.044943820224719,1.0,2,False,2.0,2.0,0.625,8
A0,target1,0.35194873809814453,0.13108614232209737,35,15.730337078651685,10,4.4943820224719095,1.0,2,False,2.0,2.0,0.625,8
A1,q99,2.959124947792766,0.00749063670411985,2,0.898876404494382,2,0.898876404494382,1.0,16,False,16.0,16.0,0.25,8
A1,q995,3.6266467613498405,0.003745318352059925,1,0.449438202247191,1,0.449438202247191,1.0,30,False,30.0,30.0,0.125,8
A1,target1,2.959124947792766,0.00749063670411985,2,0.898876404494382,2,0.898876404494382,1.0,16,False,16.0,16.0,0.25,8
A2,q99,1.619448445563424,0.033707865168539325,9,4.044943820224719,4,1.797752808988764,1.0,7,False,7.0,7.0,0.25,8
A2,q995,2.653551098051885,0.0,0,0.0,0,0.0,0.0,267,True,267.0,267.0,0.0,8
A2,target1,1.619448445563424,0.033707865168539325,9,4.044943820224719,4,1.797752808988764,1.0,7,False,7.0,7.0,0.25,8
A3,q99,0.15721452988006848,0.9887640449438202,264,118.65168539325842,1,0.449438202247191,1.0,4,False,4.0,4.0,1.0,8
A3,q995,0.15979958369650618,0.9887640449438202,264,118.65168539325842,1,0.449438202247191,1.0,4,False,4.0,4.0,1.0,8
A3,target1,0.15721452988006848,0.9887640449438202,264,118.65168539325842,1,0.449438202247191,1.0,4,False,4.0,4.0,1.0,8
A4,q99,2.067049237638354,0.13108614232209737,35,15.730337078651685,5,2.2471910112359548,1.0,2,False,2.0,2.0,0.5,8
A4,q995,2.5606663272854315,0.13108614232209737,35,15.730337078651685,5,2.2471910112359548,1.0,2,False,2.0,2.0,0.5,8
A4,target1,2.067049237638354,0.13108614232209737,35,15.730337078651685,5,2.2471910112359548,1.0,2,False,2.0,2.0,0.5,8
Full,q99,3.606925652969479,0.9887640449438202,264,118.65168539325842,1,0.449438202247191,1.0,4,False,4.0,4.0,1.0,8
Full,q995,3.606925652969479,0.9887640449438202,264,118.65168539325842,1,0.449438202247191,1.0,4,False,4.0,4.0,1.0,8
Full,target1,3.606925652969479,0.9887640449438202,264,118.65168539325842,1,0.449438202247191,1.0,4,False,4.0,4.0,1.0,8
