scenario,method,operating_point,threshold,roc_auc,pr_auc,cmte_calibration_independent_clean_fpr,independent_clean_fpr,independent_clean_fpr_caveat,stable_pre_fpr,alarm_epoch_count,alarm_epoch_occupancy_per_min,false_alarm_events,false_alarms_per_min,sequence_any_alarm_fraction,first_crossing_epoch,first_crossing_censored,censored_run_length_epochs,censored_arl_epochs,detection,first_alarm_censored,first_alarm_availability_s,first_alarm_delay_s,persistent_detection,pre_summary,post_summary
DS1,A0,q99,0.35194873809814453,0.7884351325757576,0.9162286039551593,0.13108614232209737,0.13108614232209737,CMTE calibration independent; frozen B0 was trained across cleanStatic with PRN holdout,0.25833333333333336,31,31.0,7,7.0,1.0,6,False,6.0,6.0,True,False,126.14809752,26.148097519999993,0.9247159090909091,"{""median"": 0.23375603556632996, ""n"": 120, ""q90"": 0.9354882419109354, ""q99"": 2.4289459633827213}","{""median"": 0.477793350815773, ""n"": 704, ""q90"": 0.9335770428180702, ""q99"": 2.6451734709739707}"
DS1,A0,q995,0.3682686388492584,0.7884351325757576,0.9162286039551593,0.12734082397003746,0.12734082397003746,CMTE calibration independent; frozen B0 was trained across cleanStatic with PRN holdout,0.25833333333333336,31,31.0,7,7.0,1.0,6,False,6.0,6.0,True,False,126.14809752,26.148097519999993,0.8821022727272727,"{""median"": 0.23375603556632996, ""n"": 120, ""q90"": 0.9354882419109354, ""q99"": 2.4289459633827213}","{""median"": 0.477793350815773, ""n"": 704, ""q90"": 0.9335770428180702, ""q99"": 2.6451734709739707}"
DS1,A0,target1,0.35194873809814453,0.7884351325757576,0.9162286039551593,0.13108614232209737,0.13108614232209737,CMTE calibration independent; frozen B0 was trained across cleanStatic with PRN holdout,0.25833333333333336,31,31.0,7,7.0,1.0,6,False,6.0,6.0,True,False,126.14809752,26.148097519999993,0.9247159090909091,"{""median"": 0.23375603556632996, ""n"": 120, ""q90"": 0.9354882419109354, ""q99"": 2.4289459633827213}","{""median"": 0.477793350815773, ""n"": 704, ""q90"": 0.9335770428180702, ""q99"": 2.6451734709739707}"
DS1,A1,q99,2.959124947792766,0.9793442234848484,0.9967752055848964,0.00749063670411985,0.00749063670411985,CMTE calibration independent; frozen B0 was trained across cleanStatic with PRN holdout,0.0,0,0.0,0,0.0,0.0,120,True,120.0,120.0,True,False,119.14809752,19.148097519999993,0.9559659090909091,"{""median"": 1.009776935092445, ""n"": 120, ""q90"": 1.7774636529682368, ""q99"": 2.6352052279044402}","{""median"": 16.0985711176952, ""n"": 704, ""q90"": 17.66062815820599, ""q99"": 17.708428229362543}"
DS1,A1,q995,3.6266467613498405,0.9793442234848484,0.9967752055848964,0.003745318352059925,0.003745318352059925,CMTE calibration independent; frozen B0 was trained across cleanStatic with PRN holdout,0.0,0,0.0,0,0.0,0.0,120,True,120.0,120.0,True,False,126.14809752,26.148097519999993,0.9545454545454546,"{""median"": 1.009776935092445, ""n"": 120, ""q90"": 1.7774636529682368, ""q99"": 2.6352052279044402}","{""median"": 16.0985711176952, ""n"": 704, ""q90"": 17.66062815820599, ""q99"": 17.708428229362543}"
DS1,A1,target1,2.959124947792766,0.9793442234848484,0.9967752055848964,0.00749063670411985,0.00749063670411985,CMTE calibration independent; frozen B0 was trained across cleanStatic with PRN holdout,0.0,0,0.0,0,0.0,0.0,120,True,120.0,120.0,True,False,119.14809752,19.148097519999993,0.9559659090909091,"{""median"": 1.009776935092445, ""n"": 120, ""q90"": 1.7774636529682368, ""q99"": 2.6352052279044402}","{""median"": 16.0985711176952, ""n"": 704, ""q90"": 17.66062815820599, ""q99"": 17.708428229362543}"
DS1,A2,q99,1.619448445563424,0.9745028409090908,0.9960091583935822,0.033707865168539325,0.033707865168539325,CMTE calibration independent; frozen B0 was trained across cleanStatic with PRN holdout,0.10833333333333334,13,13.0,7,7.0,1.0,8,False,8.0,8.0,True,False,126.14809752,26.148097519999993,0.9545454545454546,"{""median"": 1.1104518318557397, ""n"": 120, ""q90"": 1.6264560922422355, ""q99"": 1.7920409426623927}","{""median"": 5.6057546897679735, ""n"": 704, ""q90"": 6.0581272691249, ""q99"": 6.4218838910124365}"
DS1,A2,q995,2.653551098051885,0.9745028409090908,0.9960091583935822,0.0,0.0,CMTE calibration independent; frozen B0 was trained across cleanStatic with PRN holdout,0.0,0,0.0,0,0.0,0.0,120,True,120.0,120.0,True,False,126.14809752,26.148097519999993,0.9545454545454546,"{""median"": 1.1104518318557397, ""n"": 120, ""q90"": 1.6264560922422355, ""q99"": 1.7920409426623927}","{""median"": 5.6057546897679735, ""n"": 704, ""q90"": 6.0581272691249, ""q99"": 6.4218838910124365}"
DS1,A2,target1,1.619448445563424,0.9745028409090908,0.9960091583935822,0.033707865168539325,0.033707865168539325,CMTE calibration independent; frozen B0 was trained across cleanStatic with PRN holdout,0.10833333333333334,13,13.0,7,7.0,1.0,8,False,8.0,8.0,True,False,126.14809752,26.148097519999993,0.9545454545454546,"{""median"": 1.1104518318557397, ""n"": 120, ""q90"": 1.6264560922422355, ""q99"": 1.7920409426623927}","{""median"": 5.6057546897679735, ""n"": 704, ""q90"": 6.0581272691249, ""q99"": 6.4218838910124365}"
DS1,A3,q99,0.15721452988006848,1.0,1.0,0.9887640449438202,0.9887640449438202,CMTE calibration independent; frozen B0 was trained across cleanStatic with PRN holdout,1.0,120,120.0,1,1.0,1.0,1,False,1.0,1.0,True,False,110.14809752,10.148097519999993,1.0,"{""median"": 1.8474486272528057, ""n"": 120, ""q90"": 3.5019268075122687, ""q99"": 3.5392200858841827}","{""median"": 84.53437289919897, ""n"": 704, ""q90"": 149.9230035686698, ""q99"": 164.15290306118735}"
DS1,A3,q995,0.15979958369650618,1.0,1.0,0.9887640449438202,0.9887640449438202,CMTE calibration independent; frozen B0 was trained across cleanStatic with PRN holdout,1.0,120,120.0,1,1.0,1.0,1,False,1.0,1.0,True,False,110.14809752,10.148097519999993,1.0,"{""median"": 1.8474486272528057, ""n"": 120, ""q90"": 3.5019268075122687, ""q99"": 3.5392200858841827}","{""median"": 84.53437289919897, ""n"": 704, ""q90"": 149.9230035686698, ""q99"": 164.15290306118735}"
DS1,A3,target1,0.15721452988006848,1.0,1.0,0.9887640449438202,0.9887640449438202,CMTE calibration independent; frozen B0 was trained across cleanStatic with PRN holdout,1.0,120,120.0,1,1.0,1.0,1,False,1.0,1.0,True,False,110.14809752,10.148097519999993,1.0,"{""median"": 1.8474486272528057, ""n"": 120, ""q90"": 3.5019268075122687, ""q99"": 3.5392200858841827}","{""median"": 84.53437289919897, ""n"": 704, ""q90"": 149.9230035686698, ""q99"": 164.15290306118735}"
DS1,A4,q99,2.067049237638354,0.9765624999999999,0.9963127197213716,0.13108614232209737,0.13108614232209737,CMTE calibration independent; frozen B0 was trained across cleanStatic with PRN holdout,0.3,36,36.0,2,2.0,1.0,6,False,6.0,6.0,True,False,119.14809752,19.148097519999993,0.9559659090909091,"{""median"": 0.94425383392047, ""n"": 120, ""q90"": 3.3563518261826832, ""q99"": 3.5179339093264184}","{""median"": 12.980772034290922, ""n"": 704, ""q90"": 16.477857669162145, ""q99"": 19.405321587945807}"
DS1,A4,q995,2.5606663272854315,0.9765624999999999,0.9963127197213716,0.13108614232209737,0.13108614232209737,CMTE calibration independent; frozen B0 was trained across cleanStatic with PRN holdout,0.2916666666666667,35,35.0,3,3.0,1.0,6,False,6.0,6.0,True,False,119.14809752,19.148097519999993,0.9559659090909091,"{""median"": 0.94425383392047, ""n"": 120, ""q90"": 3.3563518261826832, ""q99"": 3.5179339093264184}","{""median"": 12.980772034290922, ""n"": 704, ""q90"": 16.477857669162145, ""q99"": 19.405321587945807}"
DS1,A4,target1,2.067049237638354,0.9765624999999999,0.9963127197213716,0.13108614232209737,0.13108614232209737,CMTE calibration independent; frozen B0 was trained across cleanStatic with PRN holdout,0.3,36,36.0,2,2.0,1.0,6,False,6.0,6.0,True,False,119.14809752,19.148097519999993,0.9559659090909091,"{""median"": 0.94425383392047, ""n"": 120, ""q90"": 3.3563518261826832, ""q99"": 3.5179339093264184}","{""median"": 12.980772034290922, ""n"": 704, ""q90"": 16.477857669162145, ""q99"": 19.405321587945807}"
DS1,Full,q99,3.606925652969479,1.0,1.0,0.9887640449438202,0.9887640449438202,CMTE calibration independent; frozen B0 was trained across cleanStatic with PRN holdout,1.0,120,120.0,1,1.0,1.0,1,False,1.0,1.0,True,False,110.14809752,10.148097519999993,1.0,"{""median"": 34.765586709571025, ""n"": 120, ""q90"": 51.49587719343815, ""q99"": 53.093619749476105}","{""median"": 885.5126854391501, ""n"": 704, ""q90"": 1605.4296769275802, ""q99"": 1768.2416574212264}"
DS1,Full,q995,3.606925652969479,1.0,1.0,0.9887640449438202,0.9887640449438202,CMTE calibration independent; frozen B0 was trained across cleanStatic with PRN holdout,1.0,120,120.0,1,1.0,1.0,1,False,1.0,1.0,True,False,110.14809752,10.148097519999993,1.0,"{""median"": 34.765586709571025, ""n"": 120, ""q90"": 51.49587719343815, ""q99"": 53.093619749476105}","{""median"": 885.5126854391501, ""n"": 704, ""q90"": 1605.4296769275802, ""q99"": 1768.2416574212264}"
