dataset,dropped_prn,status,pauc_0_05,detection_rate,pauc_delta,detection_delta,stable
oakbat_os3,10,COMPUTED,0.48717948717948717,0.016666666666666666,0.0,0.0,True
oakbat_os4,10,COMPUTED,0.49572649572649574,0.016666666666666666,0.0,-0.05,True
oakbat_os3,11,COMPUTED,0.48717948717948717,0.03333333333333333,0.0,0.016666666666666666,True
oakbat_os4,11,COMPUTED,0.49572649572649574,0.05,0.0,-0.016666666666666663,True
oakbat_os3,20,COMPUTED,0.5299145299145299,0.0,0.04273504273504275,-0.016666666666666666,True
oakbat_os4,20,COMPUTED,0.5213675213675214,0.03333333333333333,0.02564102564102566,-0.03333333333333333,True
oakbat_os3,21,COMPUTED,0.5042735042735043,0.016666666666666666,0.01709401709401709,0.0,True
oakbat_os4,21,COMPUTED,0.49572649572649574,0.05,0.0,-0.016666666666666663,True
oakbat_os3,24,COMPUTED,0.48717948717948717,0.0,0.0,-0.016666666666666666,True
oakbat_os4,24,COMPUTED,0.5213675213675214,0.06666666666666667,0.02564102564102566,0.0,True
texbat_ds1,3,COMPUTED,0.512400168137873,0.03278688524590164,-0.02522068095838592,-0.016393442622950817,True
texbat_ds3,3,UNAVAILABLE_MINIMUM_4_PRNS,,,,,False
texbat_ds7,3,COMPUTED,0.5780590717299579,0.189873417721519,-0.019474196689386547,-0.03797468354430378,True
texbat_ds8,3,COMPUTED,0.5,0.0,-0.0064102564102563875,-0.0125,True
texbat_ds1,13,COMPUTED,0.5208070617906684,0.01639344262295082,-0.016813787305590577,-0.032786885245901634,True
texbat_ds3,13,UNAVAILABLE_MINIMUM_4_PRNS,,,,,False
texbat_ds7,13,COMPUTED,0.9156118143459915,0.22784810126582278,0.3180785459266471,0.0,False
texbat_ds8,13,COMPUTED,0.5192307692307693,0.0,0.012820512820512886,-0.0125,True
texbat_ds1,16,COMPUTED,0.537620849096259,0.06557377049180328,0.0,0.016393442622950824,True
texbat_ds7,16,COMPUTED,0.5520934761441091,0.13924050632911392,-0.04543979227523531,-0.08860759493670886,True
texbat_ds8,16,COMPUTED,0.48717948717948717,0.0,-0.019230769230769218,-0.0125,True
texbat_ds1,19,COMPUTED,0.512400168137873,0.03278688524590164,-0.02522068095838592,-0.016393442622950817,True
texbat_ds3,19,UNAVAILABLE_MINIMUM_4_PRNS,,,,,False
texbat_ds7,19,COMPUTED,0.8247322297955209,0.16455696202531644,0.22719896137617646,-0.06329113924050633,False
texbat_ds8,19,COMPUTED,0.4935897435897436,0.0,-0.012820512820512775,-0.0125,True
texbat_ds1,23,COMPUTED,0.537620849096259,0.09836065573770492,0.0,0.04918032786885246,True
texbat_ds3,23,UNAVAILABLE_MINIMUM_4_PRNS,,,,,False
texbat_ds7,23,COMPUTED,0.58455047062642,0.24050632911392406,-0.012982797792924439,0.012658227848101278,True
texbat_ds8,23,COMPUTED,0.5384615384615384,0.05,0.03205128205128205,0.037500000000000006,True
