scope,method,status,pauc_0_05,delta_full
TEX_DS3,A0,NOT_EVALUATED_PHASE_A_BLOCKED,,
TEX_DS3,A1,NOT_EVALUATED_PHASE_A_BLOCKED,,
TEX_DS3,A2,NOT_EVALUATED_PHASE_A_BLOCKED,,
TEX_DS3,A3,NOT_EVALUATED_PHASE_A_BLOCKED,,
TEX_DS3,A4,NOT_EVALUATED_PHASE_A_BLOCKED,,
TEX_DS3,A5,NOT_EVALUATED_PHASE_A_BLOCKED,,
TEX_DS3,Full,NOT_EVALUATED_PHASE_A_BLOCKED,,
TEX_DS7_DS8,A0,NOT_EVALUATED_PHASE_A_BLOCKED,,
TEX_DS7_DS8,A1,NOT_EVALUATED_PHASE_A_BLOCKED,,
TEX_DS7_DS8,A2,NOT_EVALUATED_PHASE_A_BLOCKED,,
TEX_DS7_DS8,A3,NOT_EVALUATED_PHASE_A_BLOCKED,,
TEX_DS7_DS8,A4,NOT_EVALUATED_PHASE_A_BLOCKED,,
TEX_DS7_DS8,A5,NOT_EVALUATED_PHASE_A_BLOCKED,,
TEX_DS7_DS8,Full,NOT_EVALUATED_PHASE_A_BLOCKED,,
OAK_OS3_OS4,A0,NOT_EVALUATED_PHASE_A_BLOCKED,,
OAK_OS3_OS4,A1,NOT_EVALUATED_PHASE_A_BLOCKED,,
OAK_OS3_OS4,A2,NOT_EVALUATED_PHASE_A_BLOCKED,,
OAK_OS3_OS4,A3,NOT_EVALUATED_PHASE_A_BLOCKED,,
OAK_OS3_OS4,A4,NOT_EVALUATED_PHASE_A_BLOCKED,,
OAK_OS3_OS4,A5,NOT_EVALUATED_PHASE_A_BLOCKED,,
OAK_OS3_OS4,Full,NOT_EVALUATED_PHASE_A_BLOCKED,,
