domain,case_id,clipped_samples,clipped_components,clipping_fraction,status
OAK,OAK.negative.bitwise_nav_sign,0,0,0.0,PASS
OAK,OAK.negative.byte_identical,0,0,0.0,PASS
OAK,OAK.negative.cn0_reduction,0,0,0.0,PASS
OAK,OAK.negative.common_receiver_clock_drift,0,0,0.0,PASS
OAK,OAK.negative.empirical_awgn_0p5sigma,0,0,0.0,PASS
OAK,OAK.negative.empirical_awgn_1sigma,0,0,0.0,PASS
OAK,OAK.negative.empirical_awgn_2sigma,0,0,0.0,PASS
OAK,OAK.negative.gain,0,0,0.0,PASS
OAK,OAK.negative.global_phase,0,0,0.0,PASS
OAK,OAK.negative.independent_multipath,0,0,0.0,PASS
OAK,OAK.negative.prn_drop_add,0,0,0.0,PASS
OAK,OAK.negative.single_prn_disturbance,0,0,0.0,PASS
OAK,OAK.negative.single_source_code_ramp,0,0,0.0,PASS
OAK,OAK.negative.single_source_doppler_ramp,0,0,0.0,PASS
OAK,OAK.negative.zero_delay_collapsed_duplicate,0,0,0.0,PASS
OAK,OAK.positive.d050.p+00.four,0,0,0.0,PASS
OAK,OAK.positive.d050.p+00.single,0,0,0.0,PASS
OAK,OAK.positive.d050.p-03.four,0,0,0.0,PASS
OAK,OAK.positive.d050.p-03.single,0,0,0.0,PASS
OAK,OAK.positive.d050.p-06.four,0,0,0.0,PASS
OAK,OAK.positive.d050.p-06.single,0,0,0.0,PASS
OAK,OAK.positive.d150.p+00.four,0,0,0.0,PASS
OAK,OAK.positive.d150.p+00.single,0,0,0.0,PASS
OAK,OAK.positive.d150.p-03.four,0,0,0.0,PASS
OAK,OAK.positive.d150.p-03.single,0,0,0.0,PASS
OAK,OAK.positive.d150.p-06.four,0,0,0.0,PASS
OAK,OAK.positive.d150.p-06.single,0,0,0.0,PASS
OAK,OAK.positive.d300.p+00.four,0,0,0.0,PASS
OAK,OAK.positive.d300.p+00.single,0,0,0.0,PASS
OAK,OAK.positive.d300.p-03.four,0,0,0.0,PASS
OAK,OAK.positive.d300.p-03.single,0,0,0.0,PASS
OAK,OAK.positive.d300.p-06.four,0,0,0.0,PASS
OAK,OAK.positive.d300.p-06.single,0,0,0.0,PASS
TEX,TEX.negative.bitwise_nav_sign,0,0,0.0,PASS
TEX,TEX.negative.byte_identical,0,0,0.0,PASS
TEX,TEX.negative.cn0_reduction,0,0,0.0,PASS
TEX,TEX.negative.common_receiver_clock_drift,0,0,0.0,PASS
TEX,TEX.negative.empirical_awgn_0p5sigma,0,0,0.0,PASS
TEX,TEX.negative.empirical_awgn_1sigma,0,0,0.0,PASS
TEX,TEX.negative.empirical_awgn_2sigma,1,1,1.668325349095244e-09,PASS
TEX,TEX.negative.gain,0,0,0.0,PASS
TEX,TEX.negative.global_phase,0,0,0.0,PASS
TEX,TEX.negative.independent_multipath,0,0,0.0,PASS
TEX,TEX.negative.prn_drop_add,0,0,0.0,PASS
TEX,TEX.negative.single_prn_disturbance,0,0,0.0,PASS
TEX,TEX.negative.single_source_code_ramp,0,0,0.0,PASS
TEX,TEX.negative.single_source_doppler_ramp,0,0,0.0,PASS
TEX,TEX.negative.zero_delay_collapsed_duplicate,0,0,0.0,PASS
TEX,TEX.positive.d050.p+00.four,0,0,0.0,PASS
TEX,TEX.positive.d050.p+00.single,0,0,0.0,PASS
TEX,TEX.positive.d050.p-03.four,0,0,0.0,PASS
TEX,TEX.positive.d050.p-03.single,0,0,0.0,PASS
TEX,TEX.positive.d050.p-06.four,0,0,0.0,PASS
TEX,TEX.positive.d050.p-06.single,0,0,0.0,PASS
TEX,TEX.positive.d150.p+00.four,0,0,0.0,PASS
TEX,TEX.positive.d150.p+00.single,0,0,0.0,PASS
TEX,TEX.positive.d150.p-03.four,0,0,0.0,PASS
TEX,TEX.positive.d150.p-03.single,0,0,0.0,PASS
TEX,TEX.positive.d150.p-06.four,0,0,0.0,PASS
TEX,TEX.positive.d150.p-06.single,0,0,0.0,PASS
TEX,TEX.positive.d300.p+00.four,0,0,0.0,PASS
TEX,TEX.positive.d300.p+00.single,0,0,0.0,PASS
TEX,TEX.positive.d300.p-03.four,0,0,0.0,PASS
TEX,TEX.positive.d300.p-03.single,0,0,0.0,PASS
TEX,TEX.positive.d300.p-06.four,0,0,0.0,PASS
TEX,TEX.positive.d300.p-06.single,0,0,0.0,PASS
