domain,case_id,control,target_count,changed_bytes,clipping_fraction,measurement_json,status
OAK,OAK.negative.bitwise_nav_sign,bitwise_nav_sign,1,110824550,0.0,{},PASS
OAK,OAK.negative.byte_identical,byte_identical,2,0,0.0,"{""bytes"": 239707908, ""changed_bytes"": 0, ""output_sha256"": ""af1f209947947f482ac5216d4e726c4ce2867d12e5ebe6eac9a59c98549a7a64"", ""source_window_sha256"": ""af1f209947947f482ac5216d4e726c4ce2867d12e5ebe6eac9a59c98549a7a64""}",PASS
OAK,OAK.negative.cn0_reduction,cn0_reduction,0,232168939,0.0,"{""expected_component_sigma"": 1728.3030485912632, ""measured_component_sigma"": 1727.77366486282, ""relative_error"": 0.0003063026064061713}",PASS
OAK,OAK.negative.common_receiver_clock_drift,common_receiver_clock_drift,0,197709935,0.0,{},PASS
OAK,OAK.negative.empirical_awgn_0p5sigma,empirical_awgn_0p5sigma,0,225214687,0.0,"{""expected_component_sigma"": 866.205865671847, ""measured_component_sigma"": 865.8293567366494, ""relative_error"": 0.0004346644950338918}",PASS
OAK,OAK.negative.empirical_awgn_1sigma,empirical_awgn_1sigma,0,232188439,0.0,"{""expected_component_sigma"": 1732.411731343694, ""measured_component_sigma"": 1732.6156009721255, ""relative_error"": 0.00011767966283241619}",PASS
OAK,OAK.negative.empirical_awgn_2sigma,empirical_awgn_2sigma,0,235709820,0.0,"{""expected_component_sigma"": 3464.823462687388, ""measured_component_sigma"": 3463.177908957898, ""relative_error"": 0.0004749314783887286}",PASS
OAK,OAK.negative.gain,gain,0,207524701,0.0,"{""complex_gain_imag"": -2.863168123481778e-07, ""complex_gain_real"": 0.8000000066793812, ""magnitude"": 0.8000000066794324, ""phase_rad"": -3.5789601244705206e-07}",PASS
OAK,OAK.negative.global_phase,global_phase,0,226607537,0.0,"{""complex_gain_imag"": 0.4999997986006975, ""complex_gain_real"": 0.8660248539546729, ""magnitude"": 0.9999994231338089, ""phase_rad"": 0.5235988760963274}",PASS
OAK,OAK.negative.independent_multipath,independent_multipath,4,163414313,0.0,{},PASS
OAK,OAK.negative.prn_drop_add,prn_drop_add,2,202185699,0.0,{},PASS
OAK,OAK.negative.single_prn_disturbance,single_prn_disturbance,1,54840437,0.0,{},PASS
OAK,OAK.negative.single_source_code_ramp,single_source_code_ramp,1,4313515,0.0,{},PASS
OAK,OAK.negative.single_source_doppler_ramp,single_source_doppler_ramp,1,179204467,0.0,{},PASS
OAK,OAK.negative.zero_delay_collapsed_duplicate,zero_delay_collapsed_duplicate,1,168513244,0.0,{},PASS
TEX,TEX.negative.bitwise_nav_sign,bitwise_nav_sign,1,514151014,0.0,{},PASS
TEX,TEX.negative.byte_identical,byte_identical,2,0,0.0,"{""bytes"": 1198806936, ""changed_bytes"": 0, ""output_sha256"": ""a3f8f3b88099b215f6b3570be2d8b34f58b04d16441cf78583fd4eacf475abed"", ""source_window_sha256"": ""a3f8f3b88099b215f6b3570be2d8b34f58b04d16441cf78583fd4eacf475abed""}",PASS
TEX,TEX.negative.cn0_reduction,cn0_reduction,0,1154900018,0.0,"{""expected_component_sigma"": 1469.4497932046745, ""measured_component_sigma"": 1468.2350530136514, ""relative_error"": 0.0008266632835232324}",PASS
TEX,TEX.negative.common_receiver_clock_drift,common_receiver_clock_drift,0,971234024,0.0,{},PASS
TEX,TEX.negative.empirical_awgn_0p5sigma,empirical_awgn_0p5sigma,0,1114159597,0.0,"{""expected_component_sigma"": 736.4715529615402, ""measured_component_sigma"": 735.964564634059, ""relative_error"": 0.0006884017793252676}",PASS
TEX,TEX.negative.empirical_awgn_1sigma,empirical_awgn_1sigma,0,1155009525,0.0,"{""expected_component_sigma"": 1472.9431059230803, ""measured_component_sigma"": 1472.5067718861262, ""relative_error"": 0.00029623278400877224}",PASS
TEX,TEX.negative.empirical_awgn_2sigma,empirical_awgn_2sigma,0,1175706566,1.668325349095244e-09,"{""expected_component_sigma"": 2945.8862118461607, ""measured_component_sigma"": 2945.9450974321467, ""relative_error"": 1.9989090464253677e-05}",PASS
TEX,TEX.negative.gain,gain,0,1021183627,0.0,"{""complex_gain_imag"": -9.602924175742441e-08, ""complex_gain_real"": 0.8000000745923574, ""magnitude"": 0.8000000745923632, ""phase_rad"": -1.2003654100451922e-07}",PASS
TEX,TEX.negative.global_phase,global_phase,0,1126130465,0.0,"{""complex_gain_imag"": 0.49999972338549836, ""complex_gain_real"": 0.8660254531833982, ""magnitude"": 0.9999999044735379, ""phase_rad"": 0.5235985113436084}",PASS
TEX,TEX.negative.independent_multipath,independent_multipath,4,814374435,0.0,{},PASS
TEX,TEX.negative.prn_drop_add,prn_drop_add,2,1036402889,0.0,{},PASS
TEX,TEX.negative.single_prn_disturbance,single_prn_disturbance,1,274271459,0.0,{},PASS
TEX,TEX.negative.single_source_code_ramp,single_source_code_ramp,1,21570560,0.0,{},PASS
TEX,TEX.negative.single_source_doppler_ramp,single_source_doppler_ramp,1,896470790,0.0,{},PASS
TEX,TEX.negative.zero_delay_collapsed_duplicate,zero_delay_collapsed_duplicate,1,842940311,0.0,{},PASS
