domain,case_id,non_target_relative_energy_pass,status
OAK,OAK.positive.d050.p+00.four,True,PASS
OAK,OAK.positive.d050.p+00.single,True,PASS
OAK,OAK.positive.d050.p-03.four,True,PASS
OAK,OAK.positive.d050.p-03.single,True,PASS
OAK,OAK.positive.d050.p-06.four,True,PASS
OAK,OAK.positive.d050.p-06.single,True,PASS
OAK,OAK.positive.d150.p+00.four,True,PASS
OAK,OAK.positive.d150.p+00.single,True,PASS
OAK,OAK.positive.d150.p-03.four,True,PASS
OAK,OAK.positive.d150.p-03.single,True,PASS
OAK,OAK.positive.d150.p-06.four,True,PASS
OAK,OAK.positive.d150.p-06.single,True,PASS
OAK,OAK.positive.d300.p+00.four,True,PASS
OAK,OAK.positive.d300.p+00.single,True,PASS
OAK,OAK.positive.d300.p-03.four,True,PASS
OAK,OAK.positive.d300.p-03.single,True,PASS
OAK,OAK.positive.d300.p-06.four,True,PASS
OAK,OAK.positive.d300.p-06.single,True,PASS
TEX,TEX.positive.d050.p+00.four,True,PASS
TEX,TEX.positive.d050.p+00.single,True,PASS
TEX,TEX.positive.d050.p-03.four,True,PASS
TEX,TEX.positive.d050.p-03.single,True,PASS
TEX,TEX.positive.d050.p-06.four,True,PASS
TEX,TEX.positive.d050.p-06.single,True,PASS
TEX,TEX.positive.d150.p+00.four,True,PASS
TEX,TEX.positive.d150.p+00.single,True,PASS
TEX,TEX.positive.d150.p-03.four,True,PASS
TEX,TEX.positive.d150.p-03.single,True,PASS
TEX,TEX.positive.d150.p-06.four,True,PASS
TEX,TEX.positive.d150.p-06.single,True,PASS
TEX,TEX.positive.d300.p+00.four,True,PASS
TEX,TEX.positive.d300.p+00.single,True,PASS
TEX,TEX.positive.d300.p-03.four,True,PASS
TEX,TEX.positive.d300.p-03.single,True,PASS
TEX,TEX.positive.d300.p-06.four,True,PASS
TEX,TEX.positive.d300.p-06.single,True,PASS
