domain,case_id,mode,delay_chips,power_db,targets,target_count,changed_bytes,clipping_fraction,correlator_status,status
OAK,OAK.positive.d050.p+00.four,four,0.05,0,"10,11,21,24",4,201625533,0.0,FAIL,PASS
OAK,OAK.positive.d050.p+00.single,single,0.05,0,27,1,185511790,0.0,PASS,PASS
OAK,OAK.positive.d050.p-03.four,four,0.05,-3,"10,11,24,27",4,189842729,0.0,PASS,PASS
OAK,OAK.positive.d050.p-03.single,single,0.05,-3,21,1,165207087,0.0,FAIL,PASS
OAK,OAK.positive.d050.p-06.four,four,0.05,-6,"11,21,24,27",4,175476136,0.0,FAIL,PASS
OAK,OAK.positive.d050.p-06.single,single,0.05,-6,10,1,152017154,0.0,PASS,PASS
OAK,OAK.positive.d150.p+00.four,four,0.15,0,"11,21,24,27",4,201641393,0.0,FAIL,PASS
OAK,OAK.positive.d150.p+00.single,single,0.15,0,10,1,185372111,0.0,PASS,PASS
OAK,OAK.positive.d150.p-03.four,four,0.15,-3,"10,11,21,27",4,189441691,0.0,FAIL,PASS
OAK,OAK.positive.d150.p-03.single,single,0.15,-3,24,1,167151569,0.0,PASS,PASS
OAK,OAK.positive.d150.p-06.four,four,0.15,-6,"10,21,24,27",4,175371331,0.0,FAIL,PASS
OAK,OAK.positive.d150.p-06.single,single,0.15,-6,11,1,152332745,0.0,PASS,PASS
OAK,OAK.positive.d300.p+00.four,four,0.3,0,"10,21,24,27",4,201574438,0.0,FAIL,PASS
OAK,OAK.positive.d300.p+00.single,single,0.3,0,11,1,186003432,0.0,PASS,PASS
OAK,OAK.positive.d300.p-03.four,four,0.3,-3,"10,11,21,24",4,189691428,0.0,FAIL,PASS
OAK,OAK.positive.d300.p-03.single,single,0.3,-3,27,1,165978892,0.0,PASS,PASS
OAK,OAK.positive.d300.p-06.four,four,0.3,-6,"10,11,24,27",4,175619375,0.0,PASS,PASS
OAK,OAK.positive.d300.p-06.single,single,0.3,-6,21,1,151512874,0.0,FAIL,PASS
TEX,TEX.positive.d050.p+00.four,four,0.05,0,"3,13,16,19",4,1007017742,0.0,PASS,PASS
TEX,TEX.positive.d050.p+00.single,single,0.05,0,30,1,721172818,0.0,PASS,PASS
TEX,TEX.positive.d050.p-03.four,four,0.05,-3,"3,13,19,30",4,926218303,0.0,PASS,PASS
TEX,TEX.positive.d050.p-03.single,single,0.05,-3,16,1,822903441,0.0,PASS,PASS
TEX,TEX.positive.d050.p-06.four,four,0.05,-6,"13,16,19,30",4,850724252,0.0,PASS,PASS
TEX,TEX.positive.d050.p-06.single,single,0.05,-6,3,1,760428713,0.0,PASS,PASS
TEX,TEX.positive.d150.p+00.four,four,0.15,0,"13,16,19,30",4,990121135,0.0,PASS,PASS
TEX,TEX.positive.d150.p+00.single,single,0.15,0,3,1,927414785,0.0,PASS,PASS
TEX,TEX.positive.d150.p-03.four,four,0.15,-3,"3,13,16,30",4,935687698,0.0,PASS,PASS
TEX,TEX.positive.d150.p-03.single,single,0.15,-3,19,1,780318850,0.0,PASS,PASS
TEX,TEX.positive.d150.p-06.four,four,0.15,-6,"3,16,19,30",4,837759755,0.0,PASS,PASS
TEX,TEX.positive.d150.p-06.single,single,0.15,-6,13,1,786468902,0.0,PASS,PASS
TEX,TEX.positive.d300.p+00.four,four,0.3,0,"3,16,19,30",4,979317413,0.0,PASS,PASS
TEX,TEX.positive.d300.p+00.single,single,0.3,0,13,1,971044041,0.0,PASS,PASS
TEX,TEX.positive.d300.p-03.four,four,0.3,-3,"3,13,16,19",4,946352029,0.0,PASS,PASS
TEX,TEX.positive.d300.p-03.single,single,0.3,-3,30,1,682330982,0.0,PASS,PASS
TEX,TEX.positive.d300.p-06.four,four,0.3,-6,"3,13,19,30",4,852708902,0.0,PASS,PASS
TEX,TEX.positive.d300.p-06.single,single,0.3,-6,16,1,755471096,0.0,PASS,PASS
