domain,case_id,family,target_count,truth_records,truth_sha256,truth_status
OAK,OAK.negative.bitwise_nav_sign,negative,1,11986,7c5b93ca597d5aea02834e0c3eea15d5018d92ae3a936f04f05f99159cdd5a45,PASS
OAK,OAK.negative.byte_identical,negative,2,23972,345241db33947c7b27ac869f4d62b6ec36ebfb93296932d529dfcfa4cae250d9,PASS
OAK,OAK.negative.cn0_reduction,negative,0,11986,a7197a6a5d47cfd01c4f3f303e7e409c94ac3dd293410550c3263a7338f03f08,PASS
OAK,OAK.negative.common_receiver_clock_drift,negative,0,11986,a7197a6a5d47cfd01c4f3f303e7e409c94ac3dd293410550c3263a7338f03f08,PASS
OAK,OAK.negative.empirical_awgn_0p5sigma,negative,0,11986,a7197a6a5d47cfd01c4f3f303e7e409c94ac3dd293410550c3263a7338f03f08,PASS
OAK,OAK.negative.empirical_awgn_1sigma,negative,0,11986,a7197a6a5d47cfd01c4f3f303e7e409c94ac3dd293410550c3263a7338f03f08,PASS
OAK,OAK.negative.empirical_awgn_2sigma,negative,0,11986,a7197a6a5d47cfd01c4f3f303e7e409c94ac3dd293410550c3263a7338f03f08,PASS
OAK,OAK.negative.gain,negative,0,11986,a7197a6a5d47cfd01c4f3f303e7e409c94ac3dd293410550c3263a7338f03f08,PASS
OAK,OAK.negative.global_phase,negative,0,11986,a7197a6a5d47cfd01c4f3f303e7e409c94ac3dd293410550c3263a7338f03f08,PASS
OAK,OAK.negative.independent_multipath,negative,4,47944,016b4b6aed47bca8bddb2f4e2d08548ec48b4356b82508956b8cd520069417bc,PASS
OAK,OAK.negative.prn_drop_add,negative,2,23972,345241db33947c7b27ac869f4d62b6ec36ebfb93296932d529dfcfa4cae250d9,PASS
OAK,OAK.negative.single_prn_disturbance,negative,1,11986,7c5b93ca597d5aea02834e0c3eea15d5018d92ae3a936f04f05f99159cdd5a45,PASS
OAK,OAK.negative.single_source_code_ramp,negative,1,11986,7b6e53fa655f7fc0573de9205bf72bdb438c7772d981d756052e2d395c4a31df,PASS
OAK,OAK.negative.single_source_doppler_ramp,negative,1,11986,3591641cad4ce2420775ec306dcb023b0c042a21b60776fb9b9e20aa17661d62,PASS
OAK,OAK.negative.zero_delay_collapsed_duplicate,negative,1,11986,17e42ed18c31cee874fe2751a81741c8c72040925478044d401c127c8730d7dd,PASS
OAK,OAK.positive.d050.p+00.four,positive,4,47944,86f8ee7ff0c4db8030b0a69392dab78375389cd429445416989f636ea81b03d1,PASS
