domain,PRN,single_projection_authentic_magnitude,joint_ls_authentic_magnitude,frozen_generator_truth_magnitude_comparison_only,single_minus_joint_db,fit_interval,rank,condition_number
OAK,10,229.23334293584205,231.6465771717788,231.64657717177866,-0.09096199204032343,single=10x1ms@5.0:0.1:5.9s;joint=first1000_complete_1ms_epochs,5,1.0048278599039748
OAK,11,224.64346443237213,233.86402196802527,233.8640219680255,-0.34939252410305566,single=10x1ms@5.0:0.1:5.9s;joint=first1000_complete_1ms_epochs,5,1.0048278599039748
OAK,21,259.02062327131716,228.27974173261686,228.27974173261757,1.097339430699107,single=10x1ms@5.0:0.1:5.9s;joint=first1000_complete_1ms_epochs,5,1.0048278599039748
OAK,24,222.89997546712587,237.83725024995616,237.837250249958,-0.5633970891833526,single=10x1ms@5.0:0.1:5.9s;joint=first1000_complete_1ms_epochs,5,1.0048278599039748
OAK,27,242.86584829381576,232.1153550514382,232.11535505143877,0.39325155241669657,single=10x1ms@5.0:0.1:5.9s;joint=first1000_complete_1ms_epochs,5,1.0048278599039748
TEX,3,238.97673757578687,231.88727490456395,231.88727490456398,0.2615742229270668,single=10x1ms@5.0:0.1:5.9s;joint=first1000_complete_1ms_epochs,5,1.002214689467091
TEX,13,271.1729840921288,267.6503853474705,267.65038534747026,0.11357094582280146,single=10x1ms@5.0:0.1:5.9s;joint=first1000_complete_1ms_epochs,5,1.002214689467091
TEX,16,231.65286453068387,225.05770054894248,225.0577005489425,0.25087595183890843,single=10x1ms@5.0:0.1:5.9s;joint=first1000_complete_1ms_epochs,5,1.002214689467091
TEX,19,184.70194469097223,183.49056496207595,183.49056496207623,0.057154604313927576,single=10x1ms@5.0:0.1:5.9s;joint=first1000_complete_1ms_epochs,5,1.002214689467091
TEX,30,94.35429256235052,89.39597546457705,89.39597546457681,0.4688739027175375,single=10x1ms@5.0:0.1:5.9s;joint=first1000_complete_1ms_epochs,5,1.002214689467091
