domain,case_id,delay_chips,rank,condition_number,residual_norm,coefficients_json,status
OAK,AUTHENTIC_FIRST_1000_EPOCHS,0.0,5,1.0048278599039748,5767993.71729985,"{""10"": [-231.49357158788868, -8.418018109028234], ""11"": [-233.81341794203394, -4.864808457151308], ""21"": [-227.9893329705223, -11.511061513456095], ""24"": [-237.8372261591585, 0.10704848231465673], ""27"": [-232.11207026541103, 1.2348634580814377]}",PASS
OAK,OAK.positive.d050.p+00.four,-0.4,5,1.0354057362070894,85971.20722229162,"{""10"": [112.10211758587504, -56.12705967200424], ""11"": [-8.893496415761845, 127.39820961872658], ""21"": [-32.581188869565196, 129.67132620190768], ""24"": [-136.3730276413147, -19.126603397542635], ""27"": [-1.4480387487560598, 0.23027589454906294]}",PASS
OAK,OAK.positive.d050.p+00.four,-0.39,5,1.0351805873492932,85297.23470555006,"{""10"": [114.07078895197061, -57.35276710952559], ""11"": [-9.034884579632292, 129.78113078208625], ""21"": [-33.129198383599224, 131.78740867922124], ""24"": [-138.3507227445037, -19.401694618657764], ""27"": [-1.254572190121515, 0.1482535031839685]}",PASS
OAK,OAK.positive.d050.p+00.four,-0.38,5,1.0328595754645253,84566.97840069482,"{""10"": [116.08540312548688, -58.45261037915254], ""11"": [-9.014591272582717, 131.88712341496645], ""21"": [-33.81612636295015, 134.04313234097614], ""24"": [-140.7718741706129, -19.648151949235647], ""27"": [-1.3426546625218467, -0.08748512684225143]}",PASS
OAK,OAK.positive.d050.p+00.four,-0.37,5,1.032160089631504,83810.97573281375,"{""10"": [118.18015556118738, -59.47820125260387], ""11"": [-9.38321179801304, 134.39858979638484], ""21"": [-34.31073238001376, 135.9095468774766], ""24"": [-143.05933437330336, -20.129546938305165], ""27"": [-1.4019425568408377, -0.41629265792536835]}",PASS
OAK,OAK.positive.d050.p+00.four,-0.36,5,1.032382525243705,83013.66172065667,"{""10"": [120.52122597250985, -60.6552820412743], ""11"": [-9.943841788561086, 136.64400403259486], ""21"": [-34.91754853890217, 138.08708791512439], ""24"": [-145.5380374887617, -20.520653287888145], ""27"": [-1.2019529325590683, -0.5352977330981765]}",PASS
OAK,OAK.positive.d050.p+00.four,-0.35,5,1.0323638239202295,82241.74909868458,"{""10"": [122.79058184491913, -61.75569233915012], ""11"": [-10.302460890458415, 139.12392307379602], ""21"": [-35.764119015373154, 140.1680388175595], ""24"": [-147.4675110403022, -20.783976373320215], ""27"": [-1.5551545837185743, -0.16697533984138324]}",PASS
OAK,OAK.positive.d050.p+00.four,-0.34,5,1.0351597857162456,81477.01765421618,"{""10"": [124.46638085346565, -62.56147882413809], ""11"": [-10.194600516845059, 141.7734136545776], ""21"": [-36.33572473825935, 142.183456756491], ""24"": [-149.48357847459144, -21.082910403157513], ""27"": [-1.2464603173294244, 0.007821121529775777]}",PASS
OAK,OAK.positive.d050.p+00.four,-0.33,5,1.033566296413186,80645.63152404253,"{""10"": [126.73567029747154, -63.81920448881771], ""11"": [-10.296753976617488, 144.19568164408815], ""21"": [-36.861317130397616, 144.2189377910534], ""24"": [-151.66312299280824, -21.146830489574107], ""27"": [-1.2715307769969233, -0.28005423985819755]}",PASS
OAK,OAK.positive.d050.p+00.four,-0.32,5,1.0340229412078719,79847.55991772046,"{""10"": [128.85634052900363, -64.7761420284127], ""11"": [-10.450537994896576, 146.2661635090388], ""21"": [-37.14563672729066, 146.06077634351448], ""24"": [-153.6840772995885, -21.59154016648925], ""27"": [-1.3397979552308097, -0.5485086111352585]}",PASS
