domain,case_id,config,status,exit_code,terminal_drain_status,native_trace_status,target_tracking_pass,tracked_prns,input_sha256,config_sha256,receiver_sha256,output_set_sha256,dump_count,output_bytes,manifest_path,manifest_sha256,common_support_status,common_valid_epochs
OAK,OAK.negative.bitwise_nav_sign,C0,PASS,0,PASS,PASS,True,"8,10,11,12,14,18,20,21,24,25,27",3a22b704060b5adfc606586e19721d7146a26173b8d928d66512d8147e361f77,9ff4a248de4c73d67e963b507faad60f2ca917d64a4c4186578685742bc4996c,2f6e8e969e525bb48b4d94f016af8fd24f433b0be26b51837f316f60a6b911e0,7bf6587a97753557b7b25e0d6c5a772b36459dd8a3092037f19545569d180226,11,68632960,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/crid-stage0-r4b-phase-a-physical-identifiability-execution/replays/OAK/OAK.negative.bitwise_nav_sign/C0/manifest.json,d27c28d322334616d6533ea71bcc91f6e8f33786149adea9245af944383da1b2,PASS,14885
OAK,OAK.negative.bitwise_nav_sign,C1,PASS,0,PASS,PASS,True,"8,10,11,12,14,18,20,21,24,25,27",3a22b704060b5adfc606586e19721d7146a26173b8d928d66512d8147e361f77,60f003059fc509c68d7c4cbdd415800e9b5376866ad39f27931d344bea774c63,2f6e8e969e525bb48b4d94f016af8fd24f433b0be26b51837f316f60a6b911e0,284c040988e9646eea2bf4cb72177a062b805a5e7c430b7ef55c24eec871674e,11,68632960,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/crid-stage0-r4b-phase-a-physical-identifiability-execution/replays/OAK/OAK.negative.bitwise_nav_sign/C1/manifest.json,86a96bbaa0312ddcc70c287acf016b7532511ab2ea9bb80cae321ee282b18fe9,PASS,14885
OAK,OAK.negative.bitwise_nav_sign,C2,PASS,0,PASS,PASS,True,"8,10,11,12,14,18,20,21,24,25,27",3a22b704060b5adfc606586e19721d7146a26173b8d928d66512d8147e361f77,67bf46ff28f07dc48394723bac6dcfcffe806280cbbac7e50501e1ccbb37698e,2f6e8e969e525bb48b4d94f016af8fd24f433b0be26b51837f316f60a6b911e0,0683d76275137a794a49e67f682ae39d325b14ab07b13d17ec63ad899e360e4e,11,68632960,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/crid-stage0-r4b-phase-a-physical-identifiability-execution/replays/OAK/OAK.negative.bitwise_nav_sign/C2/manifest.json,722ba2128cf016605ea684eaec396a34011c45d2535fc49ecb1e0a52c5ac9bd5,PASS,14885
OAK,OAK.negative.bitwise_nav_sign,C3,PASS,0,PASS,PASS,True,"8,10,11,12,14,18,20,21,24,25,27",3a22b704060b5adfc606586e19721d7146a26173b8d928d66512d8147e361f77,9a0a95e78dc574de438c712119db4696299e70a756b3a61978dde27cc3cc224f,2f6e8e969e525bb48b4d94f016af8fd24f433b0be26b51837f316f60a6b911e0,2ab06d1d3d0bf23c4c8de01c0f23d2b5cadcdd70d6f5b3e07ae52726337e8f6c,11,68632960,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/crid-stage0-r4b-phase-a-physical-identifiability-execution/replays/OAK/OAK.negative.bitwise_nav_sign/C3/manifest.json,143eaabc5023d65b54bf01c160405483b1afd44fd1fbfc1f33f365c2a9b7400c,PASS,14885
OAK,OAK.negative.byte_identical,C0,PASS,0,PASS,PASS,True,"8,10,11,12,14,18,20,21,24,25,27",8f1ecbbc1b1007a7c213a168f8ada2dbcdda0994a90da85e56b798997a86a1bc,381c3f73431891b449c0fc780a9a21d496ebbd99b0af7bef9a1622bd526af45e,2f6e8e969e525bb48b4d94f016af8fd24f433b0be26b51837f316f60a6b911e0,2a9923a63bb3e900f29a84adfe31187d36f46feb8afd47c97a52beca2148fae3,11,68632960,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/crid-stage0-r4b-phase-a-physical-identifiability-execution/replays/OAK/OAK.negative.byte_identical/C0/manifest.json,9664a8e4f919248edbf1879beae50d76ad5344ad0793a3d12c9fe19464ea3236,PASS,14894
OAK,OAK.negative.byte_identical,C1,PASS,0,PASS,PASS,True,"8,10,11,12,14,18,20,21,24,25,27",8f1ecbbc1b1007a7c213a168f8ada2dbcdda0994a90da85e56b798997a86a1bc,b8463abe80b21b1097f638b2060d9c20762e2ad89cc35e2973816025ca94da4b,2f6e8e969e525bb48b4d94f016af8fd24f433b0be26b51837f316f60a6b911e0,29f53fb52ee2912557071321d4b619b37f83a06b5e563981ca6cdf7660ebc4a3,11,68632960,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/crid-stage0-r4b-phase-a-physical-identifiability-execution/replays/OAK/OAK.negative.byte_identical/C1/manifest.json,e102826a77af843c025da1a772664efdf1bca07508426dd1104a20b65dd6963c,PASS,14894
OAK,OAK.negative.byte_identical,C2,PASS,0,PASS,PASS,True,"8,10,11,12,14,18,20,21,24,25,27",8f1ecbbc1b1007a7c213a168f8ada2dbcdda0994a90da85e56b798997a86a1bc,72e1b00ef5563bf4d49f47306b253b595fec035c2e9eb75aa8c8a9e73fc1c26b,2f6e8e969e525bb48b4d94f016af8fd24f433b0be26b51837f316f60a6b911e0,f4ed04a5abe7fa35b4b9491a9cf3f74a6f4d5d240b5e0c754a2b2fa4814edeef,11,68632960,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/crid-stage0-r4b-phase-a-physical-identifiability-execution/replays/OAK/OAK.negative.byte_identical/C2/manifest.json,4931e3f1da67d5c4137cd271320f94f11e7465abaf3c65055b3755ff64b3f51a,PASS,14894
OAK,OAK.negative.byte_identical,C3,PASS,0,PASS,PASS,True,"8,10,11,12,14,18,20,21,24,25,27",8f1ecbbc1b1007a7c213a168f8ada2dbcdda0994a90da85e56b798997a86a1bc,dfcf328e573888016e29dcc4ce7b9ba691a37202f81b215376fcbec556002b4d,2f6e8e969e525bb48b4d94f016af8fd24f433b0be26b51837f316f60a6b911e0,0e97381e791666c33b53592d6ad653c46334c92d35986e32688eed70302861fc,11,68632960,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/crid-stage0-r4b-phase-a-physical-identifiability-execution/replays/OAK/OAK.negative.byte_identical/C3/manifest.json,bb5b3ea020c1fd5510a414b90fd0af254b12cb9c7440dcd41f469ade23efdf55,PASS,14894
OAK,OAK.negative.cn0_reduction,C0,PASS,0,PASS,PASS,True,"8,10,11,12,14,18,20,21,24,25,27",ed7e8822d9f5c0370a013c016246ffeba86844f1ea87f70a72cc72430bb4ea1a,7e4e7d83f371188dfc78f0a482516627da5bdd68329e62854a5db8dabec3105b,2f6e8e969e525bb48b4d94f016af8fd24f433b0be26b51837f316f60a6b911e0,6da7d8419c40401c72faf1223c238bf56200c24144de68b502b1bbd00319b7f7,11,68632960,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/crid-stage0-r4b-phase-a-physical-identifiability-execution/replays/OAK/OAK.negative.cn0_reduction/C0/manifest.json,88bd7026276adb7edac685953e7a3ba87ce97ca69b256cf7b49c9b64f460e8d4,PASS,14852
OAK,OAK.negative.cn0_reduction,C1,PASS,0,PASS,PASS,True,"8,10,11,12,14,18,20,21,24,25,27",ed7e8822d9f5c0370a013c016246ffeba86844f1ea87f70a72cc72430bb4ea1a,e6f44b9041a3530d8a52e4753324d078bfe2958893b75f6b78d9bf0a5795b135,2f6e8e969e525bb48b4d94f016af8fd24f433b0be26b51837f316f60a6b911e0,382355eb91662076aa2dd60594dd31ed860b9589a0d24577edd4b738db39ffef,11,68632960,/home/ubuntu/ssd_data/gnss-early-detection/artifacts/crid-stage0-r4b-phase-a-physical-identifiability-execution/replays/OAK/OAK.negative.cn0_reduction/C1/manifest.json,031901ca2303108114143485e3dc9ba8bc824555e5dae8c9cfac68b3d6a482cc,PASS,14852
