scenario,method,roc_auc,pauc_fpr_le_0_05,pr_auc
TEXBAT.DS3,A0,0.3559024497654173,0.018802543206662834,0.9479546541044755
TEXBAT.DS3,A1,0.32275800490111695,0.07588240864753709,0.9518288861085357
TEXBAT.DS3,A2,0.45490016061817706,0.04987280701140561,0.9621127315281274
TEXBAT.DS3,A3,0.29504500154646895,0.09027599922186721,0.9499183639901237
TEXBAT.DS3,A4,0.6389879981880888,0.31763025910235754,0.9811223864185714
TEXBAT.DS3,A5,0.8851892126910286,0.43272720147901217,0.9946009061552514
TEXBAT.DS3,A6,0.2957104263729169,0.08941809382657998,0.9500071501811711
TEXBAT.DS3,Full,0.6572554584755596,0.32093125887236984,0.9822336437374033
TEXBAT.DS7,A0,0.5749925252273577,0.03332502803039741,0.9806290091165558
TEXBAT.DS7,A1,0.59759623769777,0.10505792948797807,0.9838925011102201
TEXBAT.DS7,A2,0.5909985050454716,0.053631493708733026,0.9821108564910442
TEXBAT.DS7,A3,0.6875868942319672,0.21603338731780242,0.9892260040883262
TEXBAT.DS7,A4,0.7688389186495578,0.4720941821352934,0.9931836388651097
TEXBAT.DS7,A5,0.5369359661143641,0.10107138407873427,0.9812561767672242
TEXBAT.DS7,A6,0.6933001121215896,0.2159586395913791,0.9894797646675543
TEXBAT.DS7,Full,0.7679525351937211,0.4734147253021054,0.9931495159203537
OAKBAT.OS3,A0,0.810114952566189,0.2278490056761799,0.9896724437504019
OAKBAT.OS3,A1,0.8737581867979201,0.29783352518556744,0.9933505463403833
OAKBAT.OS3,A2,0.8067691819156115,0.2048870718056603,0.9893489763338068
OAKBAT.OS3,A3,0.9389912277219863,0.49196522843647045,0.996920342586822
OAKBAT.OS3,A4,0.9839287897431828,0.7960147660064304,0.9992968204954047
OAKBAT.OS3,A5,0.9213948318977493,0.45535029571706426,0.9962149279246221
OAKBAT.OS3,A6,0.9376321994204739,0.4871337276227523,0.9968758428309339
OAKBAT.OS3,Full,0.9847871234072957,0.8118937800182591,0.9993382607958555
OAKBAT.OS4,A0,0.6147080068900372,0.08435850419514364,0.976055466705388
OAKBAT.OS4,A1,0.80965017979187,0.32615753419220667,0.9907211096232424
OAKBAT.OS4,A2,0.7241413251414919,0.18368458235102678,0.9848505066444512
OAKBAT.OS4,A3,0.8632045023376912,0.455209201533589,0.9937236666481475
OAKBAT.OS4,A4,0.9989506187539193,0.979012375078386,0.9999504621267742
OAKBAT.OS4,A5,0.9934372395399234,0.9381785853197755,0.99972316256637
OAKBAT.OS4,A6,0.8605201660594226,0.4553631954532104,0.993602920405386
OAKBAT.OS4,Full,0.9989589534763731,0.979179069527461,0.9999506032272139
