scenario,comparison,estimate,ci_lower,ci_upper,resamples,block_seconds
TEXBAT.DS3,Full-A1,0.24504885022483275,0.1363134866246746,0.36739117961532486,855,10
TEXBAT.DS3,Full-A2,0.2710584518609642,0.16087820211278264,0.4133623979532962,874,10
TEXBAT.DS3,Full-A3,0.23065525965050263,0.12167350461687503,0.3428268576895679,875,10
TEXBAT.DS3,Full-A4,0.003300999770012303,-0.01128561387724781,0.0045089538174957885,863,10
TEXBAT.DS7,Full-A1,0.3683567958141273,0.1768227416725237,0.5468009347358915,646,10
TEXBAT.DS7,Full-A2,0.41978323159337233,0.18656087506137375,0.6448401818494933,646,10
TEXBAT.DS7,Full-A3,0.25738133798430296,0.10100941176470589,0.41111951802537605,663,10
TEXBAT.DS7,Full-A4,0.0013205431668119605,0.0007996412913511552,0.0018587880885272065,636,10
OAKBAT.OS3,Full-A1,0.5140602548326916,0.4827991871454597,0.5615615665888762,863,10
OAKBAT.OS3,Full-A2,0.6070067082125987,0.5846928085410246,0.6197746907063977,858,10
OAKBAT.OS3,Full-A3,0.3199285515817886,0.2564002195514237,0.4393409742120344,845,10
OAKBAT.OS3,Full-A4,0.015879014011828674,0.014295711427180918,0.016831591282857876,879,10
OAKBAT.OS4,Full-A1,0.6530215353352544,0.610672595556036,0.728840839681989,864,10
OAKBAT.OS4,Full-A2,0.7954944871764342,0.7757281774327337,0.8332489624080253,871,10
OAKBAT.OS4,Full-A3,0.523969867993872,0.501282831597684,0.5389426575086316,867,10
OAKBAT.OS4,Full-A4,0.00016669444907502218,-3.611428571430597e-05,0.0004427106740010787,865,10
