scenario,event_index,window_start_s,window_end_s,availability_s,prn,a,z,activation,degree
DS1,0,0.0,1.0,1.0,3,10.264492064886335,47.38139257522937,1.0,7
DS1,0,0.0,1.0,1.0,6,7.675813147192097,34.53528572887096,0.999999999996497,7
DS1,0,0.0,1.0,1.0,7,11.541760901946889,53.719734437656456,1.0,7
DS1,0,0.0,1.0,1.0,10,7.535524758792521,33.83911610568355,0.9999999999929727,7
DS1,0,0.0,1.0,1.0,13,10.136558105885168,46.746530794815726,1.0,7
DS1,0,0.0,1.0,1.0,16,8.95432990087387,40.87982027519636,0.9999999999999938,7
DS1,0,0.0,1.0,1.0,19,11.21263397170003,52.0864690361168,1.0,7
DS1,0,0.0,1.0,1.0,23,6.10489072480704,26.739712030116014,0.9999999914881551,7
DS1,1,0.5,1.5,1.5,3,6.745636338384894,29.919359593626165,0.9999999996459046,7
DS1,1,0.5,1.5,1.5,6,5.631521346579238,24.390655308966153,0.9999999108326121,7
DS1,1,0.5,1.5,1.5,7,5.279958071701633,22.646051387072266,0.9999994896387199,7
DS1,1,0.5,1.5,1.5,10,5.279958071701633,22.646051387072266,0.9999994896387199,7
DS1,1,0.5,1.5,1.5,13,5.878205160520716,25.6148035065271,0.9999999737840701,7
DS1,1,0.5,1.5,1.5,16,4.9560648464523025,21.038757817396746,0.9999974536648687,7
DS1,1,0.5,1.5,1.5,19,4.9870315420569336,21.192427504933768,0.9999978163761851,7
DS1,1,0.5,1.5,1.5,23,4.9870315420569336,21.192427504933768,0.9999978163761851,7
DS1,2,1.0,2.0,2.0,3,3.2021898003607667,12.335296726392938,0.9848932530175639,8
DS1,2,1.0,2.0,2.0,6,3.19137284634957,12.281618479148683,0.9840734584761388,8
DS1,2,1.0,2.0,2.0,7,4.743918067421852,19.98599682339778,0.99999270337899,8
DS1,2,1.0,2.0,2.0,10,2.5760619307135,9.228188518421048,0.7446508431961286,8
DS1,2,1.0,2.0,2.0,13,5.128855348417009,21.896216513839338,0.9999989197441713,8
DS1,2,1.0,2.0,2.0,16,2.146306152239772,7.095560709549802,0.25686172648571826,8
DS1,2,1.0,2.0,2.0,19,2.0405245947006705,6.570628404800368,0.16976741616756555,8
DS1,2,1.0,2.0,2.0,20,2.356747435656454,8.139858321423349,0.4954884708680744,8
DS1,2,1.0,2.0,2.0,23,3.5912447838885333,14.265950177983424,0.997780043492547,8
DS1,3,1.5,2.5,2.5,3,3.5010010586748264,13.818123091980317,0.996530323351365,8
DS1,3,1.5,2.5,2.5,6,3.2525671399622107,12.585290143008645,0.9881953305895915,8
DS1,3,1.5,2.5,2.5,7,3.3596219813584822,13.116541014484586,0.9930264722110255,8
DS1,3,1.5,2.5,2.5,10,2.8298099356924356,10.487392184711618,0.9112898950218018,8
DS1,3,1.5,2.5,2.5,13,3.851269187794723,15.556299959259045,0.9993881400116248,8
DS1,3,1.5,2.5,2.5,16,2.250162630652423,7.610939966998916,0.36656884754036795,8
DS1,3,1.5,2.5,2.5,19,2.55802483622557,9.138680916143281,0.7272621622677885,8
DS1,3,1.5,2.5,2.5,20,3.217615138578563,12.411843702355306,0.9859908829789864,8
DS1,3,1.5,2.5,2.5,23,3.4545416361750703,13.587572017695843,0.9956345851802323,8
DS1,4,2.0,3.0,3.0,3,3.2122898855853834,12.385417571070082,0.9856211353843455,8
DS1,4,2.0,3.0,3.0,6,2.536755328305934,9.033132727282347,0.7058323287731513,8
DS1,4,2.0,3.0,3.0,7,2.716100290214911,9.923117393704745,0.8538612835672315,8
DS1,4,2.0,3.0,3.0,10,6.237597594709799,27.398258989479775,0.9999999955942445,8
DS1,4,2.0,3.0,3.0,13,3.0782747850363306,11.72037862440457,0.9724140121955128,8
DS1,4,2.0,3.0,3.0,16,2.548439925778021,9.091116584050809,0.7177264064327059,8
DS1,4,2.0,3.0,3.0,19,2.9451625395965566,11.059820022180887,0.9479410257209173,8
DS1,4,2.0,3.0,3.0,20,3.092218594765919,11.789573636735852,0.9742107196359321,8
DS1,4,2.0,3.0,3.0,23,2.9541692605820256,11.104515136481785,0.9501030326968641,8
DS1,5,2.5,3.5,3.5,3,1.8424680390929893,5.587788989078546,0.07108664788826106,8
DS1,5,2.5,3.5,3.5,6,1.2745633105418896,2.769608344250778,0.004548963269870966,8
DS1,5,2.5,3.5,3.5,7,1.7845039829477054,5.300147113757111,0.054281688555044054,8
DS1,5,2.5,3.5,3.5,10,4.510643826123323,18.828392530435384,0.9999767803306727,8
DS1,5,2.5,3.5,3.5,13,2.3922292694772462,8.3159340120975,0.539425257348866,8
DS1,5,2.5,3.5,3.5,16,1.6058345525686986,4.413514717155727,0.023103643952972847,8
DS1,5,2.5,3.5,3.5,19,1.7701181037546676,5.22875836796504,0.05073140892368663,8
DS1,5,2.5,3.5,3.5,20,2.803318706647148,10.355931632968014,0.9000721683528925,8
DS1,5,2.5,3.5,3.5,23,2.064619015514992,6.690194992246286,0.1872909420647219,8
DS1,6,3.0,4.0,4.0,3,2.782622591451663,10.253228858480034,0.8904478581884863,9
DS1,6,3.0,4.0,4.0,6,1.6946672083688028,4.854339486907534,0.03544907602469794,9
DS1,6,3.0,4.0,4.0,7,2.349059483304962,8.101707488323912,0.4859543364850123,9
DS1,6,3.0,4.0,4.0,10,5.029915806178429,21.40523714894434,0.9999982349543189,9
DS1,6,3.0,4.0,4.0,13,2.1421937297829463,7.075153150343965,0.2529856216514654,9
DS1,6,3.0,4.0,4.0,16,1.8043728200412914,5.398744588504746,0.05957138859667691,9
DS1,6,3.0,4.0,4.0,19,1.8564325140588172,5.65708655095003,0.07580082867843496,9
DS1,6,3.0,4.0,4.0,20,2.377767725235653,8.244169784706829,0.521552850217383,9
DS1,6,3.0,4.0,4.0,23,2.1421937297829463,7.075153150343965,0.2529856216514654,9
DS1,6,3.0,4.0,4.0,30,19.774258274293537,94.57282754807103,1.0,9
