scenario,event_index,window_start_s,window_end_s,availability_s,prn_i,prn_j,e
DS4,0,0.0,1.0,1.0,3,6,8.675977559201652
DS4,0,0.0,1.0,1.0,3,7,9.06368380106964
DS4,0,0.0,1.0,1.0,3,10,51.52086538164745
DS4,0,0.0,1.0,1.0,3,13,9.336031425698533
DS4,0,0.0,1.0,1.0,3,16,6.925513296422284
DS4,0,0.0,1.0,1.0,3,19,12.994118670233643
DS4,0,0.0,1.0,1.0,3,23,9.75527449661492
DS4,0,0.0,1.0,1.0,6,7,3.9369407921064488
DS4,0,0.0,1.0,1.0,6,10,49.84031840645015
DS4,0,0.0,1.0,1.0,6,13,3.1184344390280367
DS4,0,0.0,1.0,1.0,6,16,5.721844181599637
DS4,0,0.0,1.0,1.0,6,19,6.132393638572417
DS4,0,0.0,1.0,1.0,6,23,5.74279222220441
DS4,0,0.0,1.0,1.0,7,10,46.104673657306655
DS4,0,0.0,1.0,1.0,7,13,16.12077234102292
DS4,0,0.0,1.0,1.0,7,16,6.171957017101906
DS4,0,0.0,1.0,1.0,7,19,12.785176850228481
DS4,0,0.0,1.0,1.0,7,23,9.147411800616933
DS4,0,0.0,1.0,1.0,10,13,71.4127485726692
DS4,0,0.0,1.0,1.0,10,16,49.261719086986496
DS4,0,0.0,1.0,1.0,10,19,56.68927772704029
DS4,0,0.0,1.0,1.0,10,23,51.76070849257453
DS4,0,0.0,1.0,1.0,13,16,6.879634223189615
DS4,0,0.0,1.0,1.0,13,19,12.096973912811679
DS4,0,0.0,1.0,1.0,13,23,8.919284921106584
DS4,0,0.0,1.0,1.0,16,19,9.622838021596927
DS4,0,0.0,1.0,1.0,16,23,7.228982976559704
DS4,0,0.0,1.0,1.0,19,23,10.808560206231098
DS4,1,0.5,1.5,1.5,3,6,4.2324723624421186
DS4,1,0.5,1.5,1.5,3,7,3.0492502744111993
DS4,1,0.5,1.5,1.5,3,10,43.95624720562369
DS4,1,0.5,1.5,1.5,3,13,3.0030011329573236
DS4,1,0.5,1.5,1.5,3,16,2.8905163610487294
DS4,1,0.5,1.5,1.5,3,19,3.3499479670925845
DS4,1,0.5,1.5,1.5,3,23,4.343260405842099
DS4,1,0.5,1.5,1.5,3,30,3.906642107721767
DS4,1,0.5,1.5,1.5,6,7,3.2056676475169956
DS4,1,0.5,1.5,1.5,6,10,39.62072027282211
DS4,1,0.5,1.5,1.5,6,13,3.1500953737978232
DS4,1,0.5,1.5,1.5,6,16,2.8187377580671162
DS4,1,0.5,1.5,1.5,6,19,3.2741528138974942
DS4,1,0.5,1.5,1.5,6,23,4.144614019254822
DS4,1,0.5,1.5,1.5,6,30,4.651093373866392
DS4,1,0.5,1.5,1.5,7,10,54.22267053607334
DS4,1,0.5,1.5,1.5,7,13,7.854772525766004
DS4,1,0.5,1.5,1.5,7,16,4.421621305277522
DS4,1,0.5,1.5,1.5,7,19,5.532952560659692
DS4,1,0.5,1.5,1.5,7,23,4.51889258710364
DS4,1,0.5,1.5,1.5,7,30,5.913296931330963
DS4,1,0.5,1.5,1.5,10,13,48.97486153539268
DS4,1,0.5,1.5,1.5,10,16,41.785406103808576
DS4,1,0.5,1.5,1.5,10,19,48.96917378079422
DS4,1,0.5,1.5,1.5,10,23,43.639836272643755
DS4,1,0.5,1.5,1.5,10,30,56.11817135336422
DS4,1,0.5,1.5,1.5,13,16,4.271119133092177
DS4,1,0.5,1.5,1.5,13,19,5.097410149154905
DS4,1,0.5,1.5,1.5,13,23,5.37921464380679
DS4,1,0.5,1.5,1.5,13,30,5.270206259206151
DS4,1,0.5,1.5,1.5,16,19,5.841303705529443
DS4,1,0.5,1.5,1.5,16,23,3.7142288773722947
DS4,1,0.5,1.5,1.5,16,30,7.9531920672424405
DS4,1,0.5,1.5,1.5,19,23,4.418916069814224
DS4,1,0.5,1.5,1.5,19,30,5.3856396453109365
DS4,1,0.5,1.5,1.5,23,30,3.8452568729303946
DS4,2,1.0,2.0,2.0,3,6,4.531092556790393
DS4,2,1.0,2.0,2.0,3,7,2.662499162127259
DS4,2,1.0,2.0,2.0,3,10,41.91269925322574
DS4,2,1.0,2.0,2.0,3,13,3.1187394589973314
DS4,2,1.0,2.0,2.0,3,16,2.2821315974499026
DS4,2,1.0,2.0,2.0,3,19,4.083020465408881
DS4,2,1.0,2.0,2.0,3,23,4.050729034529629
DS4,2,1.0,2.0,2.0,3,30,3.41579351850771
DS4,2,1.0,2.0,2.0,6,7,3.150386806960209
DS4,2,1.0,2.0,2.0,6,10,38.009719505876646
DS4,2,1.0,2.0,2.0,6,13,3.320062372075803
DS4,2,1.0,2.0,2.0,6,16,1.826040524178227
DS4,2,1.0,2.0,2.0,6,19,4.042649673120954
DS4,2,1.0,2.0,2.0,6,23,3.8778065111431443
DS4,2,1.0,2.0,2.0,6,30,3.7016324335535655
DS4,2,1.0,2.0,2.0,7,10,50.87615305610532
DS4,2,1.0,2.0,2.0,7,13,6.94155910077767
DS4,2,1.0,2.0,2.0,7,16,5.2560801891557904
DS4,2,1.0,2.0,2.0,7,19,4.3632804538906225
DS4,2,1.0,2.0,2.0,7,23,2.299855452560265
DS4,2,1.0,2.0,2.0,7,30,6.164852598308045
DS4,2,1.0,2.0,2.0,10,13,44.07697337040682
DS4,2,1.0,2.0,2.0,10,16,39.59109035858544
DS4,2,1.0,2.0,2.0,10,19,45.32365932494086
DS4,2,1.0,2.0,2.0,10,23,40.57346851198822
DS4,2,1.0,2.0,2.0,10,30,48.59963677357861
DS4,2,1.0,2.0,2.0,13,16,3.441365684270253
DS4,2,1.0,2.0,2.0,13,19,3.8724332495479947
DS4,2,1.0,2.0,2.0,13,23,2.817837474210663
DS4,2,1.0,2.0,2.0,13,30,5.87692820534691
DS4,2,1.0,2.0,2.0,16,19,4.509243333154141
DS4,2,1.0,2.0,2.0,16,23,2.99470936212115
DS4,2,1.0,2.0,2.0,16,30,5.000871116111641
DS4,2,1.0,2.0,2.0,19,23,2.67890712459469
DS4,2,1.0,2.0,2.0,19,30,5.744517971874343
DS4,2,1.0,2.0,2.0,23,30,1.8145257001543496
DS4,3,1.5,2.5,2.5,3,6,3.7226575663105463
DS4,3,1.5,2.5,2.5,3,7,2.7951456727981063
DS4,3,1.5,2.5,2.5,3,10,29.65467038465049
DS4,3,1.5,2.5,2.5,3,13,4.890387357297524
DS4,3,1.5,2.5,2.5,3,16,1.8022855807464346
DS4,3,1.5,2.5,2.5,3,19,1.9984966901067107
DS4,3,1.5,2.5,2.5,3,23,3.9308649203698556
DS4,3,1.5,2.5,2.5,3,30,3.319409957281979
DS4,3,1.5,2.5,2.5,6,7,2.101049440878981
DS4,3,1.5,2.5,2.5,6,10,29.260328887254833
DS4,3,1.5,2.5,2.5,6,13,3.6559518862654303
DS4,3,1.5,2.5,2.5,6,16,1.5583990716649165
DS4,3,1.5,2.5,2.5,6,19,1.870577147548985
DS4,3,1.5,2.5,2.5,6,23,2.9319896268353767
DS4,3,1.5,2.5,2.5,6,30,2.792693459423664
DS4,3,1.5,2.5,2.5,7,10,36.83891457783689
DS4,3,1.5,2.5,2.5,7,13,2.962775774025021
DS4,3,1.5,2.5,2.5,7,16,3.425388658108269
DS4,3,1.5,2.5,2.5,7,19,1.8762691839740513
DS4,3,1.5,2.5,2.5,7,23,1.8839324960658632
DS4,3,1.5,2.5,2.5,7,30,2.5432738918291515
DS4,3,1.5,2.5,2.5,10,13,38.05148269270239
DS4,3,1.5,2.5,2.5,10,16,31.052407103033307
DS4,3,1.5,2.5,2.5,10,19,34.875134519089784
DS4,3,1.5,2.5,2.5,10,23,31.2931253121284
DS4,3,1.5,2.5,2.5,10,30,40.25805037211531
DS4,3,1.5,2.5,2.5,13,16,3.045580324019743
DS4,3,1.5,2.5,2.5,13,19,3.0981641993926754
DS4,3,1.5,2.5,2.5,13,23,3.8883980177256188
DS4,3,1.5,2.5,2.5,13,30,2.6646503013789666
DS4,3,1.5,2.5,2.5,16,19,2.7515046418656794
DS4,3,1.5,2.5,2.5,16,23,1.5066815761589107
DS4,3,1.5,2.5,2.5,16,30,4.195049428152024
DS4,3,1.5,2.5,2.5,19,23,1.894662910499704
DS4,3,1.5,2.5,2.5,19,30,2.275539303703021
DS4,3,1.5,2.5,2.5,23,30,3.0775491722963997
DS4,4,2.0,3.0,3.0,3,6,2.927954129277313
DS4,4,2.0,3.0,3.0,3,7,2.1369142680954263
DS4,4,2.0,3.0,3.0,3,10,18.39859917834919
DS4,4,2.0,3.0,3.0,3,13,3.2008319733174364
DS4,4,2.0,3.0,3.0,3,16,1.128811057790703
DS4,4,2.0,3.0,3.0,3,19,1.6476490065514402
DS4,4,2.0,3.0,3.0,3,23,4.254655472770919
DS4,4,2.0,3.0,3.0,3,30,2.002082609375263
DS4,4,2.0,3.0,3.0,6,7,2.4275283590114407
DS4,4,2.0,3.0,3.0,6,10,17.59673478853572
