scenario,event_index,window_start_s,window_end_s,availability_s,prn_i,prn_j,e
clean-calibration,0,340.0,341.0,341.0,3,6,0.8369701254384841
clean-calibration,0,340.0,341.0,341.0,3,7,0.5536294840142606
clean-calibration,0,340.0,341.0,341.0,3,8,202007.19601047138
clean-calibration,0,340.0,341.0,341.0,3,10,0.5864808047379994
clean-calibration,0,340.0,341.0,341.0,3,13,0.4094863747854946
clean-calibration,0,340.0,341.0,341.0,3,16,0.5928537043903177
clean-calibration,0,340.0,341.0,341.0,3,19,0.8390139229416738
clean-calibration,0,340.0,341.0,341.0,3,20,0.7745881719059389
clean-calibration,0,340.0,341.0,341.0,3,23,0.827011825885565
clean-calibration,0,340.0,341.0,341.0,3,30,0.24057666548907877
clean-calibration,0,340.0,341.0,341.0,6,7,1.0780894880639977
clean-calibration,0,340.0,341.0,341.0,6,8,201943.24678772085
clean-calibration,0,340.0,341.0,341.0,6,10,0.4946497536612243
clean-calibration,0,340.0,341.0,341.0,6,13,0.8241510101628282
clean-calibration,0,340.0,341.0,341.0,6,16,1.0105554833635793
clean-calibration,0,340.0,341.0,341.0,6,19,2.3894016866736747
clean-calibration,0,340.0,341.0,341.0,6,20,1.1875665780812017
clean-calibration,0,340.0,341.0,341.0,6,23,1.43512058920049
clean-calibration,0,340.0,341.0,341.0,6,30,2.0242712879975597
clean-calibration,0,340.0,341.0,341.0,7,8,201403.22485718894
clean-calibration,0,340.0,341.0,341.0,7,10,1.6473158434441248
clean-calibration,0,340.0,341.0,341.0,7,13,0.7128302728516588
clean-calibration,0,340.0,341.0,341.0,7,16,0.6695688876082719
clean-calibration,0,340.0,341.0,341.0,7,19,1.0699897620550594
clean-calibration,0,340.0,341.0,341.0,7,20,0.3238859331078446
clean-calibration,0,340.0,341.0,341.0,7,23,1.2136226129473273
clean-calibration,0,340.0,341.0,341.0,7,30,0.4974402437447335
clean-calibration,0,340.0,341.0,341.0,8,10,201881.737758152
clean-calibration,0,340.0,341.0,341.0,8,13,201814.24195428105
clean-calibration,0,340.0,341.0,341.0,8,16,201528.4576733175
clean-calibration,0,340.0,341.0,341.0,8,19,201757.5017034833
clean-calibration,0,340.0,341.0,341.0,8,20,201343.01580296078
clean-calibration,0,340.0,341.0,341.0,8,23,201920.77702111873
clean-calibration,0,340.0,341.0,341.0,8,30,201396.61001015978
clean-calibration,0,340.0,341.0,341.0,10,13,0.3508565095000463
clean-calibration,0,340.0,341.0,341.0,10,16,0.6137403657369956
clean-calibration,0,340.0,341.0,341.0,10,19,0.6778935743038204
clean-calibration,0,340.0,341.0,341.0,10,20,0.8165781810419853
clean-calibration,0,340.0,341.0,341.0,10,23,1.0390573919577535
clean-calibration,0,340.0,341.0,341.0,10,30,0.5412190843709215
clean-calibration,0,340.0,341.0,341.0,13,16,0.5038182938604894
clean-calibration,0,340.0,341.0,341.0,13,19,1.6073817515776394
