scenario,event_index,window_start_s,window_end_s,availability_s,prn,a,z,activation,degree
clean-reference,0,270.0,271.0,271.0,3,0.6631394280233562,-0.2645325333843602,0.0002198297191899113,10
clean-reference,0,270.0,271.0,271.0,6,0.5388875289349353,-0.8811223934256002,0.00011867213915999802,10
clean-reference,0,270.0,271.0,271.0,7,0.933876962443997,1.0789802795468821,0.0008419693278170413,10
clean-reference,0,270.0,271.0,271.0,10,0.6027100145572762,-0.5644085422404436,0.00016288333224004928,10
clean-reference,0,270.0,271.0,271.0,11,1.3648416954247289,3.2176074260197134,0.007101675660304776,10
clean-reference,0,270.0,271.0,271.0,13,0.7056938436172594,-0.05335973564297989,0.0002715033164055717,10
clean-reference,0,270.0,271.0,271.0,16,0.5928688116530442,-0.6132447046321327,0.0001551210519643155,10
clean-reference,0,270.0,271.0,271.0,19,0.6459296899109501,-0.34993444749533537,0.00020183879284925237,10
clean-reference,0,270.0,271.0,271.0,20,0.7223198350485565,0.029145383432706274,0.00029484686602314965,10
clean-reference,0,270.0,271.0,271.0,23,0.982828284123471,1.3218971991643576,0.0010732310196980848,10
clean-reference,0,270.0,271.0,271.0,30,0.6730542857283861,-0.21533086508371943,0.0002309136485529931,10
clean-reference,1,270.5,271.5,271.5,3,0.5794376074617613,-0.6798959540154121,0.00014512051645609148,10
clean-reference,1,270.5,271.5,271.5,6,0.8849950205045485,0.8364076511998492,0.0006607346542093561,10
clean-reference,1,270.5,271.5,271.5,7,0.7380659738764652,0.10728430611573973,0.00031880227507351315,10
clean-reference,1,270.5,271.5,271.5,10,0.7286525017901762,0.06057072283234351,0.0003042567903647376,10
clean-reference,1,270.5,271.5,271.5,11,1.6310050526239144,4.5384212595915026,0.02609719509450194,10
clean-reference,1,270.5,271.5,271.5,13,0.7994927672163065,0.4121097308059647,0.0004323705161983519,10
clean-reference,1,270.5,271.5,271.5,16,1.0857735034733902,1.8327544082417895,0.0017874958326421332,10
clean-reference,1,270.5,271.5,271.5,19,0.6976793808925035,-0.09313084969449544,0.00026091999467245044,10
clean-reference,1,270.5,271.5,271.5,20,0.8647276004613489,0.7358322412502557,0.000597551302226888,10
clean-reference,1,270.5,271.5,271.5,23,0.6840268305993267,-0.16088051095710024,0.00024383243732692612,10
clean-reference,1,270.5,271.5,271.5,30,1.2764346748514472,2.7788948361771117,0.00459120908402701,10
clean-reference,2,271.0,272.0,272.0,3,0.7253174672020835,0.04402088717597724,0.00029926432360590595,10
clean-reference,2,271.0,272.0,272.0,6,0.6631322033232578,-0.2645683853661423,0.0002198218397325601,10
