scenario,event_index,window_start_s,window_end_s,availability_s,prn_i,prn_j,e
clean-reference,0,270.0,271.0,271.0,3,6,0.8314306203050956
clean-reference,0,270.0,271.0,271.0,3,7,1.0897109648416914
clean-reference,0,270.0,271.0,271.0,3,10,0.6615365400859365
clean-reference,0,270.0,271.0,271.0,3,11,1.1946838338478962
clean-reference,0,270.0,271.0,271.0,3,13,0.3862586172161398
clean-reference,0,270.0,271.0,271.0,3,16,0.6647423159607759
clean-reference,0,270.0,271.0,271.0,3,19,0.5315534693366564
clean-reference,0,270.0,271.0,271.0,3,20,0.29275358414993563
clean-reference,0,270.0,271.0,271.0,3,23,1.990840764999921
clean-reference,0,270.0,271.0,271.0,3,30,0.26704020463927247
clean-reference,0,270.0,271.0,271.0,6,7,0.4580783391774646
clean-reference,0,270.0,271.0,271.0,6,10,1.486548863471005
clean-reference,0,270.0,271.0,271.0,6,11,1.4788745796495526
clean-reference,0,270.0,271.0,271.0,6,13,0.2764022895513758
clean-reference,0,270.0,271.0,271.0,6,16,0.4502792253654884
clean-reference,0,270.0,271.0,271.0,6,19,0.23893639563157754
clean-reference,0,270.0,271.0,271.0,6,20,0.44460017148065767
clean-reference,0,270.0,271.0,271.0,6,23,0.7228636231834312
clean-reference,0,270.0,271.0,271.0,6,30,0.619696718692406
clean-reference,0,270.0,271.0,271.0,7,10,0.968969700741018
clean-reference,0,270.0,271.0,271.0,7,11,1.2508088111999052
clean-reference,0,270.0,271.0,271.0,7,13,0.898784224146976
clean-reference,0,270.0,271.0,271.0,7,16,0.3598738870936382
clean-reference,0,270.0,271.0,271.0,7,19,1.0292069657748006
clean-reference,0,270.0,271.0,271.0,7,20,0.5794199258669566
clean-reference,0,270.0,271.0,271.0,7,23,1.0901718980142516
clean-reference,0,270.0,271.0,271.0,7,30,0.7264118527643662
clean-reference,0,270.0,271.0,271.0,10,11,1.8465083375749092
clean-reference,0,270.0,271.0,271.0,10,13,0.09355994509087905
clean-reference,0,270.0,271.0,271.0,10,16,0.27116619294036637
clean-reference,0,270.0,271.0,271.0,10,19,0.6101413219421283
clean-reference,0,270.0,271.0,271.0,10,20,0.3367721537699858
clean-reference,0,270.0,271.0,271.0,10,23,0.37041740655394995
clean-reference,0,270.0,271.0,271.0,10,30,0.5952787071724241
clean-reference,0,270.0,271.0,271.0,11,13,0.9743843399412648
clean-reference,0,270.0,271.0,271.0,11,16,0.67083368810184
clean-reference,0,270.0,271.0,271.0,11,19,1.2157834415693447
clean-reference,0,270.0,271.0,271.0,11,20,1.5128744496610396
clean-reference,0,270.0,271.0,271.0,11,23,1.8787848295727159
clean-reference,0,270.0,271.0,271.0,11,30,1.8073068752380987
clean-reference,0,270.0,271.0,271.0,13,16,0.5461679430043624
